family_ordinal	family_id	normalized_recipe	normalized_state_projection	carrier_envelope	relation_variant_count	relation_variants	family_status	event_count	al_event_count	ar_event_count	l_event_count	air_event_count	physical_page_count	register_count	contains_dy	statement_final_event_count	statement_final_percent	surfaces_by_relation	event_ids	family_reading_de	scope_result
1	G560-F01	REL+OL	REL+OL	START>R<OL	3	AL|AR|L	OBSERVED_THREE_RELATION_FRAME	18	2	4	12	0	10	5	NO	0	0.000000	AL:alol|dalol || AR:arol|darolg || L:chlol|lol	G407-E0555|G407-E1093|G407-E1139|G407-E1483|G407-E1762|G407-E2151|G407-E2257|G407-E2263|G407-E2456|G407-E2464|G407-E2473|G407-E2572|G407-E2660|G407-E2801|G407-E2845|G407-E3774|G407-E4115|G515-E0569	REL · FORTSETZEN	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
2	G560-F02	OT+REL	OT+REL	OT>R<END	2	AL|AR	OBSERVED_TWO_RELATION_FRAME	41	17	24	0	0	14	4	NO	0	0.000000	AL:chotal|otal|qotal || AR:otar|qotar	G407-E0302|G407-E0750|G407-E0773|G407-E1079|G407-E1120|G407-E1192|G407-E1202|G407-E1238|G407-E1282|G407-E1430|G407-E1504|G407-E1551|G407-E1661|G407-E1718|G407-E1737|G407-E1754|G407-E1800|G407-E1808|G407-E2175|G407-E2244|G407-E2333|G407-E2565|G407-E2655|G407-E2726|G407-E2846|G407-E3121|G407-E3240|G407-E3254|G407-E3474|G407-E3481|G407-E3561|G407-E3679|G407-E3765|G407-E3786|G407-E4472|G407-E4475|G407-E4500|G407-E4520|G515-E0175|G515-E0416|G515-E0550	DANACH · REL	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
3	G560-F03	REL+CHD+DY	REL+DY	START>R<DY	2	AL|L	OBSERVED_TWO_RELATION_FRAME	40	5	0	35	0	10	4	YES	40	100.000000	AL:alchdy|dalchdy|dalchedy|dalchom || L:lchedy	G407-E1276|G407-E1512|G407-E1644|G407-E1972|G407-E2013|G407-E2021|G407-E2024|G407-E2062|G407-E2069|G407-E2223|G407-E2242|G407-E2289|G407-E2455|G407-E2501|G407-E2512|G407-E2523|G407-E2547|G407-E2626|G407-E2916|G407-E3127|G407-E3283|G407-E3293|G407-E3364|G407-E3382|G407-E3414|G407-E3416|G407-E3434|G407-E3479|G407-E3509|G407-E3557|G407-E3583|G407-E3594|G407-E3596|G407-E3630|G407-E3713|G407-E3722|G407-E3738|G407-E3753|G407-E4121|G515-E0566	REL · ABSCHLIESSEN	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
4	G560-F04	REL+DY	REL+DY	START>R<DY	2	AL|L	OBSERVED_TWO_RELATION_FRAME	12	4	0	8	0	8	3	YES	12	100.000000	AL:daldy || L:ldy	G407-E0439|G407-E1710|G407-E1720|G407-E1768|G407-E2985|G407-E3202|G407-E3397|G407-E3658|G407-E3710|G407-E4453|G515-E0203|G515-E0561	REL · ABSCHLIESSEN	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
5	G560-F05	REL+SH+E+DY	REL+DY	START>R<DY	2	AL|L	OBSERVED_TWO_RELATION_FRAME	11	2	0	9	0	6	2	YES	11	100.000000	AL:dalshedy || L:lshedy	G407-E1492|G407-E2007|G407-E2047|G407-E2132|G407-E3072|G407-E3115|G407-E3116|G407-E3428|G407-E3734|G515-E0508|G515-E0565	REL · ABSCHLIESSEN	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
6	G560-F06	OL+K+REL	OL+REL	OL>R<END	2	AL|AR	OBSERVED_TWO_RELATION_FRAME	4	1	3	0	0	3	2	NO	0	0.000000	AL:olkal || AR:olkar	G407-E1447|G407-E2732|G407-E2909|G407-E4517	FORTSETZEN · REL	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
7	G560-F07	OL+REL	OL+REL	OL>R<END	2	AL|AR	OBSERVED_TWO_RELATION_FRAME	4	3	1	0	0	3	2	NO	0	0.000000	AL:qolal|qoolkal || AR:olar	G407-E1014|G407-E2067|G407-E2158|G407-E2437	FORTSETZEN · REL	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
8	G560-F08	OT+REL+Y	OT+REL	OT>R<END	2	AL|AR	OBSERVED_TWO_RELATION_FRAME	4	3	1	0	0	4	2	NO	0	0.000000	AL:otaly|qotaly || AR:qotary	G407-E1123|G407-E1273|G407-E2029|G407-E2578	DANACH · REL	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
9	G560-F09	REL+OL+Y	REL+OL	START>R<OL	2	AR|L	OBSERVED_TWO_RELATION_FRAME	4	0	1	3	0	3	2	NO	0	0.000000	AR:aroly || L:loly	G407-E1207|G407-E2401|G407-E2683|G407-E2790	REL · FORTSETZEN	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
10	G560-F10	OK+REL+DY	REL+DY	START>R<DY	2	AL|AR	OBSERVED_TWO_RELATION_FRAME	2	1	1	0	0	1	1	YES	2	100.000000	AL:okaldy || AR:qokardy	G407-E1488|G407-E1659	REL · ABSCHLIESSEN	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
11	G560-F11	OT+E+REL	OT+REL	OT>R<END	2	AL|AR	OBSERVED_TWO_RELATION_FRAME	2	1	1	0	0	2	2	NO	0	0.000000	AL:qotedal || AR:otear	G407-E1198|G515-E0332	DANACH · REL	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
12	G560-F12	OT+REL+DY	OT+REL+DY	OT>R<DY	2	AL|AR	OBSERVED_TWO_RELATION_FRAME	2	1	1	0	0	1	1	YES	2	100.000000	AL:otaldy || AR:otardy	G407-E4494|G407-E4524	DANACH · REL · ABSCHLIESSEN	RELATION_VALUE_SUBSTITUTES_WITHOUT_CHANGING_CONTROL_SCOPE
