assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	relation_state_projection	relation_argument_state_projection	relation_occurrence_in_recipe	relation_multiplicity_in_recipe	relation_sequence	relation	relation_value_de	relation_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	envelope_role	content_block	relation_position_in_block	block_left_edge	block_right_edge	left_content_before_relation	right_content_after_relation	visible_left_actions	visible_right_actions	visible_left_arguments	visible_right_arguments	local_payload_geometry	root_geometry_default	compact_relation_reading_de	literal_rich_projection_de	statement_position	statement_final	current_reading_de	guard	substitution_family_id
1	OLD26_GDT407	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	OT+AIR	OT+AIR	1	1	AIR	AIR	BAHN	2	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	AIR+IIN	1	YES	NO	NONE	IIN	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SPARSE_PATH_DESCRIPTOR__NO_STATE_SUBSTITUTION	DANACH · BAHN	DANACH · BAHN	STATEMENT_INTERNAL	NO	DANACH · LAUF · STUFE	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
2	OLD26_GDT407	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	ctholdar	CH+T+OL+D_ADDR+AR	OL+AR	OL+AR	1	1	AR	AR	AUSGANG	5	5	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	D_ADDR+AR	2	NO	YES	D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG	STATEMENT_INTERNAL	NO	NEHMEN · EINSTELLEN · FORTSETZEN · HIER · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
3	OLD26_GDT407	G407-E0302	G407-S009	f10r	HERBAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
4	OLD26_GDT407	G407-E0439	G407-S015	f13r	HERBAL	daldy	AL+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	ZIELORT · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
5	OLD26_GDT407	G407-E0483	G407-S021	f17r	HERBAL	cphaldy	CH+P+AL+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	3	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	CH+P+AL	3	NO	YES	CH+P	NONE	CH+P	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	NEHMEN · EINSETZEN · ZIELORT · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
6	OLD26_GDT407	G407-E0521	G407-S025	f18r	HERBAL	pdrairdy	P+D_ADDR+R+AIR+DY	AIR+DY	AIR+DY	1	1	AIR	AIR	BAHN	4	5	START	DY	START>R<DY	RELATION_THEN_CLOSE	P+D_ADDR+R+AIR	4	NO	YES	P+D_ADDR+R	NONE	P+R	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SPARSE_PATH_DESCRIPTOR__NO_STATE_SUBSTITUTION	BAHN · ABSCHLIESSEN	BAHN · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	EINSETZEN · HIER · MARKIEREN · LAUF · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
7	OLD26_GDT407	G407-E0555	G407-S027	f18r	HERBAL	chlol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
8	OLD26_GDT407	G407-E0679	G407-S032	f24v	HERBAL	otolodal	OT+OL+O+D_ADDR+AL	OT+OL+AL	OT+OL+AL	1	1	AL	AL	ZIELORT	5	5	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	O+D_ADDR+AL	3	NO	YES	O+D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT	DANACH · FORTSETZEN · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · FORTSETZEN · AUSFÜHRUNG · HIER · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
9	OLD26_GDT407	G407-E0750	G407-S036	f55v	HERBAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
10	OLD26_GDT407	G407-E0773	G407-S036	f55v	HERBAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
