projection_ordinal	relation_state_projection	event_count	relation_occurrence_count	physical_page_count	register_count	exact_recipe_count	statement_final_event_count	literal_working_reading_de	example_events	example_surfaces
1	L+DY	64	64	11	4	10	64	VERBINDUNG · ABSCHLIESSEN	G407-E1122|G407-E1492|G407-E1512|G407-E1644|G407-E1720	shldy|lshedy|lchedy|lchedy|ldy
2	OT+AR	33	33	13	4	8	0	DANACH · AUSGANG	G407-E0302|G407-E0750|G407-E0773|G407-E1079|G407-E1081	otar|otar|otar|otar|oteodar
3	OT+AL	25	25	9	4	7	0	DANACH · ZIELORT	G407-E1076|G407-E1120|G407-E1123|G407-E1273|G407-E1282	otcheodal|otal|otaly|otaly|chotal
4	L+OL	18	18	9	5	5	0	VERBINDUNG · FORTSETZEN	G407-E0555|G407-E1139|G407-E1483|G407-E1762|G407-E2151	chlol|chlol|lol|lol|lol
5	AL+DY	17	17	13	4	9	17	ZIELORT · ABSCHLIESSEN	G407-E0439|G407-E0483|G407-E1077|G407-E1276|G407-E1659	daldy|cphaldy|sheealody|dalchdy|okaldy
6	OL+AR	10	10	9	4	8	0	FORTSETZEN · AUSGANG	G407-E0189|G407-E1014|G407-E1447|G407-E1633|G407-E2259	ctholdar|olar|olkar|qolkary|poleedaran
7	OL+AL	8	8	6	3	6	1	FORTSETZEN · ZIELORT	G407-E1394|G407-E2067|G407-E2158|G407-E2437|G407-E2732	opcholalaiin|qolal|qoolkal|qolal|olkal
8	AR+OL	6	6	6	3	3	0	AUSGANG · FORTSETZEN	G407-E1093|G407-E1207|G407-E1818|G407-E2660|G407-E2801	arol|aroly|sarol|arol|arol
9	AL+OL	4	4	4	2	3	0	ZIELORT · FORTSETZEN	G407-E1698|G407-E2263|G407-E2427|G515-E0569	kalol|alol|shealol|dalol
10	AIR+DY	3	3	3	3	3	3	BAHN · ABSCHLIESSEN	G407-E0521|G407-E3744|G515-E0425	pdrairdy|dairydy|dairody
11	AR+DY	3	3	2	2	3	3	AUSGANG · ABSCHLIESSEN	G407-E1488|G515-E0394|G515-E0456	qokardy|kardy|ytarody
12	OL+L	3	3	3	2	3	0	FORTSETZEN · VERBINDUNG	G407-E2163|G407-E2616|G407-E3897	ollchy|dolchl|oldal
13	L+OL+OL	2	2	2	1	1	0	VERBINDUNG · FORTSETZEN · FORTSETZEN	G407-E2345|G407-E3262	rorol|lolol
14	OL+AIR	2	2	2	1	1	0	FORTSETZEN · BAHN	G407-E1669|G407-E1974	oldair|qolair
15	AL+AL+DY	1	2	1	1	1	1	ZIELORT · ZIELORT · ABSCHLIESSEN	G515-E0379	dalalshedy
16	AR+AR+DY	1	2	1	1	1	1	AUSGANG · AUSGANG · ABSCHLIESSEN	G407-E1755	dardardy
17	DY+L	1	1	1	1	1	1	ABSCHLIESSEN · VERBINDUNG	G407-E2236	qokchdyl
18	L+OL+DY	1	1	1	1	1	1	VERBINDUNG · FORTSETZEN · ABSCHLIESSEN	G407-E1675	lolchedy
19	OL+AL+DY	1	1	1	1	1	1	FORTSETZEN · ZIELORT · ABSCHLIESSEN	G407-E2201	polalchdy
20	OL+AR+L	1	2	1	1	1	0	FORTSETZEN · AUSGANG · VERBINDUNG	G407-E1420	octheolarl
21	OL+AR+OL	1	1	1	1	1	0	FORTSETZEN · AUSGANG · FORTSETZEN	G407-E3272	solarol
22	OT+AIR	1	1	1	1	1	0	DANACH · BAHN	G407-E0082	otairin
23	OT+AL+AR	1	2	1	1	1	0	DANACH · ZIELORT · AUSGANG	G407-E2865	qotaldar
24	OT+AL+DY	1	1	1	1	1	1	DANACH · ZIELORT · ABSCHLIESSEN	G407-E4494	otaldy
25	OT+AR+DY	1	1	1	1	1	1	DANACH · AUSGANG · ABSCHLIESSEN	G407-E4524	otardy
26	OT+DY+L	1	1	1	1	1	1	DANACH · ABSCHLIESSEN · VERBINDUNG	G407-E2009	otedyl
27	OT+L	1	1	1	1	1	0	DANACH · VERBINDUNG	G407-E1038	otchl
28	OT+OL+AL	1	1	1	1	1	0	DANACH · FORTSETZEN · ZIELORT	G407-E0679	otolodal
