projection_ordinal	relation_argument_state_projection	event_count	physical_page_count	register_count	statement_final_event_count	literal_working_reading_de	example_events	example_surfaces
1	L+DY	63	11	4	63	VERBINDUNG · ABSCHLIESSEN	G407-E1122|G407-E1492|G407-E1512|G407-E1644|G407-E1720	shldy|lshedy|lchedy|lchedy|ldy
2	OT+AR	31	12	4	0	DANACH · AUSGANG	G407-E0302|G407-E0750|G407-E0773|G407-E1079|G407-E1081	otar|otar|otar|otar|oteodar
3	OT+AL	20	9	4	0	DANACH · ZIELORT	G407-E1076|G407-E1120|G407-E1282|G407-E2244|G407-E2248	otcheodal|otal|chotal|qotal|otalam
4	AL+DY	16	13	4	16	ZIELORT · ABSCHLIESSEN	G407-E0439|G407-E0483|G407-E1077|G407-E1276|G407-E1659	daldy|cphaldy|sheealody|dalchdy|okaldy
5	L+OL	14	9	5	0	VERBINDUNG · FORTSETZEN	G407-E0555|G407-E1139|G407-E1483|G407-E1762|G407-E2151	chlol|chlol|lol|lol|lol
6	OL+AR	8	8	4	0	FORTSETZEN · AUSGANG	G407-E0189|G407-E1014|G407-E1447|G407-E2259|G407-E2393	ctholdar|olar|olkar|poleedaran|poldarais
7	AR+OL	5	5	3	0	AUSGANG · FORTSETZEN	G407-E1093|G407-E1818|G407-E2660|G407-E2801|G407-E4115	arol|sarol|arol|arol|darolg
8	OL+AL	5	4	1	0	FORTSETZEN · ZIELORT	G407-E2067|G407-E2158|G407-E2437|G407-E2732|G407-E3784	qolal|qoolkal|qolal|olkal|solchkal
9	AL+OL	4	4	2	0	ZIELORT · FORTSETZEN	G407-E1698|G407-E2263|G407-E2427|G515-E0569	kalol|alol|shealol|dalol
10	L+OL+Y	4	3	2	0	VERBINDUNG · FORTSETZEN · POSTEN	G407-E2401|G407-E2683|G407-E2790|G515-E0539	loly|loly|loly|ltsholy
11	OT+AL+Y	3	3	2	0	DANACH · ZIELORT · POSTEN	G407-E1123|G407-E1273|G407-E2029	otaly|otaly|qotaly
12	AIR+DY	2	2	2	2	BAHN · ABSCHLIESSEN	G407-E0521|G515-E0425	pdrairdy|dairody
13	AR+DY	2	2	2	2	AUSGANG · ABSCHLIESSEN	G407-E1488|G515-E0394	qokardy|kardy
14	L+OL+OL	2	2	1	0	VERBINDUNG · FORTSETZEN · FORTSETZEN	G407-E2345|G407-E3262	rorol|lolol
15	OL+AIR	2	2	1	0	FORTSETZEN · BAHN	G407-E1669|G407-E1974	oldair|qolair
16	OL+AR+Y	2	2	2	0	FORTSETZEN · AUSGANG · POSTEN	G407-E1633|G515-E0470	qolkary|dolarshy
17	OL+L	2	2	2	0	FORTSETZEN · VERBINDUNG	G407-E2616|G407-E3897	dolchl|oldal
18	AIN+AL+DY	1	1	1	1	ANTEIL · ZIELORT · ABSCHLIESSEN	G407-E4140	dainaldy
19	AIR+Y+DY	1	1	1	1	BAHN · POSTEN · ABSCHLIESSEN	G407-E3744	dairydy
20	AL+AL+DY	1	1	1	1	ZIELORT · ZIELORT · ABSCHLIESSEN	G515-E0379	dalalshedy
21	AR+AR+DY	1	1	1	1	AUSGANG · AUSGANG · ABSCHLIESSEN	G407-E1755	dardardy
22	AR+OL+Y	1	1	1	0	AUSGANG · FORTSETZEN · POSTEN	G407-E1207	aroly
23	DY+L	1	1	1	1	ABSCHLIESSEN · VERBINDUNG	G407-E2236	qokchdyl
24	L+OL+DY	1	1	1	1	VERBINDUNG · FORTSETZEN · ABSCHLIESSEN	G407-E1675	lolchedy
25	OL+AL+AIIN	1	1	1	0	FORTSETZEN · ZIELORT · WERT	G407-E1394	opcholalaiin
26	OL+AL+DY	1	1	1	1	FORTSETZEN · ZIELORT · ABSCHLIESSEN	G407-E2201	polalchdy
27	OL+AL+Y	1	1	1	0	FORTSETZEN · ZIELORT · POSTEN	G407-E3672	olsaly
28	OL+AR+L	1	1	1	0	FORTSETZEN · AUSGANG · VERBINDUNG	G407-E1420	octheolarl
29	OL+AR+OL	1	1	1	0	FORTSETZEN · AUSGANG · FORTSETZEN	G407-E3272	solarol
30	OL+L+Y	1	1	1	0	FORTSETZEN · VERBINDUNG · POSTEN	G407-E2163	ollchy
31	OR+OL+AL	1	1	1	1	EINHEIT · FORTSETZEN · ZIELORT	G407-E3881	chorcholsal
32	OT+AIR	1	1	1	0	DANACH · BAHN	G407-E0082	otairin
33	OT+AL+AIN	1	1	1	0	DANACH · ZIELORT · ANTEIL	G407-E4443	otalain
34	OT+AL+AR	1	1	1	0	DANACH · ZIELORT · AUSGANG	G407-E2865	qotaldar
35	OT+AL+DY	1	1	1	1	DANACH · ZIELORT · ABSCHLIESSEN	G407-E4494	otaldy
36	OT+AL+OR	1	1	1	0	DANACH · ZIELORT · EINHEIT	G515-E0417	otalor
37	OT+AR+DY	1	1	1	1	DANACH · AUSGANG · ABSCHLIESSEN	G407-E4524	otardy
38	OT+AR+Y	1	1	1	0	DANACH · AUSGANG · POSTEN	G407-E2578	qotary
39	OT+DY+L	1	1	1	1	DANACH · ABSCHLIESSEN · VERBINDUNG	G407-E2009	otedyl
40	OT+L	1	1	1	0	DANACH · VERBINDUNG	G407-E1038	otchl
41	OT+OL+AL	1	1	1	0	DANACH · FORTSETZEN · ZIELORT	G407-E0679	otolodal
42	OT+Y+AR	1	1	1	0	DANACH · POSTEN · AUSGANG	G407-E1846	qotddyar
43	Y+AR+DY	1	1	1	1	POSTEN · AUSGANG · ABSCHLIESSEN	G515-E0456	ytarody
44	Y+L+DY	1	1	1	1	POSTEN · VERBINDUNG · ABSCHLIESSEN	G407-E3685	qokylddy
