contact_ordinal	event_id	physical_page	register	surface	recipe	relation	relation_value_de	carrier_envelope	visible_left_arguments	visible_right_arguments	relation_argument_state_projection	literal_working_reading_de	statement_final	interpretation
1	G407-E1123	f71v	CELESTIAL	otaly	OT+AL+Y	AL	ZIELORT	OT>R<END	NONE	Y	OT+AL+Y	DANACH · ZIELORT · POSTEN	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
2	G407-E1273	f72r	CELESTIAL	otaly	OT+AL+Y	AL	ZIELORT	OT>R<END	NONE	Y	OT+AL+Y	DANACH · ZIELORT · POSTEN	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
3	G407-E1394	f72r	CELESTIAL	opcholalaiin	O+P+CH+OL+AL+AIIN	AL	ZIELORT	OL>R<END	NONE	AIIN	OL+AL+AIIN	FORTSETZEN · ZIELORT · WERT	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
4	G407-E1633	f75r	BIOLOGICAL	qolkary	OL+K+AR+Y	AR	AUSGANG	OL>R<END	NONE	Y	OL+AR+Y	FORTSETZEN · AUSGANG · POSTEN	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
5	G407-E1846	f76r	BIOLOGICAL	qotddyar	OT+D_ADDR+D_ADDR+Y+AR	AR	AUSGANG	OT>R<END	Y	NONE	OT+Y+AR	DANACH · POSTEN · AUSGANG	NO	RELATION_FOLLOWS_VISIBLE_ARGUMENT
6	G407-E2029	f76r	BIOLOGICAL	qotaly	OT+AL+Y	AL	ZIELORT	OT>R<END	NONE	Y	OT+AL+Y	DANACH · ZIELORT · POSTEN	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
7	G407-E2163	f76r	BIOLOGICAL	ollchy	OL+L+CH+Y	L	VERBINDUNG	OL>R<END	NONE	Y	OL+L+Y	FORTSETZEN · VERBINDUNG · POSTEN	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
8	G407-E2578	f77r	BIOLOGICAL	qotary	OT+AR+Y	AR	AUSGANG	OT>R<END	NONE	Y	OT+AR+Y	DANACH · AUSGANG · POSTEN	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
9	G407-E3672	f83r	BIOLOGICAL	olsaly	OL+AL+Y	AL	ZIELORT	OL>R<END	NONE	Y	OL+AL+Y	FORTSETZEN · ZIELORT · POSTEN	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
10	G407-E3685	f83r	BIOLOGICAL	qokylddy	OK+Y+L+D_ADDR+DY	L	VERBINDUNG	START>R<DY	Y	NONE	Y+L+DY	POSTEN · VERBINDUNG · ABSCHLIESSEN	YES	RELATION_FOLLOWS_VISIBLE_ARGUMENT
11	G407-E3744	f83r	BIOLOGICAL	dairydy	AIR+Y+DY	AIR	BAHN	START>R<DY	NONE	Y	AIR+Y+DY	BAHN · POSTEN · ABSCHLIESSEN	YES	RELATION_PRECEDES_VISIBLE_ARGUMENT
12	G407-E4140	f89r	PHARMA	dainaldy	D_ADDR+AIN+AL+DY	AL	ZIELORT	START>R<DY	AIN	NONE	AIN+AL+DY	ANTEIL · ZIELORT · ABSCHLIESSEN	YES	RELATION_FOLLOWS_VISIBLE_ARGUMENT
13	G407-E4443	f95v	HERBAL	otalain	OT+AL+AIN	AL	ZIELORT	OT>R<END	NONE	AIN	OT+AL+AIN	DANACH · ZIELORT · ANTEIL	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
14	G515-E0417	f66r	SOURCE_SECTION_T	otalor	OT+AL+OR	AL	ZIELORT	OT>R<END	NONE	OR	OT+AL+OR	DANACH · ZIELORT · EINHEIT	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
15	G515-E0456	f66r	SOURCE_SECTION_T	ytarody	Y+T+AR+O+DY	AR	AUSGANG	START>R<DY	Y	NONE	Y+AR+DY	POSTEN · AUSGANG · ABSCHLIESSEN	YES	RELATION_FOLLOWS_VISIBLE_ARGUMENT
16	G515-E0470	f66r	SOURCE_SECTION_T	dolarshy	D_ADDR+OL+AR+SH+Y	AR	AUSGANG	OL>R<END	NONE	Y	OL+AR+Y	FORTSETZEN · AUSGANG · POSTEN	NO	RELATION_PRECEDES_VISIBLE_ARGUMENT
