primary_role	fields	question_German
TRANSFER_CLEAN	31	WIE SPÜLEN, SEIHEN ODER ABLASSEN?
HEAT_REST	28	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN?
PRIOR_SOURCE	10	WORAUS ODER MIT WELCHEM VORANSATZ?
APPLICATION	9	WIE ANWENDEN, BADEN ODER BINDEN?
STATE_GATE	8	BIS WANN ODER BIS ZU WELCHEM ZUSTAND?
MEASURE	8	WIE VIEL ODER NACH WELCHEM MASS?
USE_OR_EXECUTE	8	WAS IST JETZT AUSZUFÜHREN?
PROCEDURE_DETAIL	8	WELCHER WEITERE ARBEITSSCHRITT?
DESTINATION	6	WOHIN ODER AN WELCHES ZIEL?
SAME_SOURCE	4	BLEIBT DIE QUELLE DIESELBE?
WORKING_MATERIAL	4	WELCHES ARBEITSMATERIAL LIEGT VOR?
CURRENT_ITEM	4	WELCHER POSTEN IST JETZT AKTIV?
MEDIUM_OR_INGREDIENT	3	WELCHES MEDIUM ODER WELCHER ZUSATZ?
OWNER_OR_PART	2	WELCHER SIMPLEX ODER PFLANZENTEIL?
TAKE_SELECTED	2	WAS IST ZU NEHMEN?
