page	record_ordinal	locus	field_ordinal	event_count	visible_field	primary_role	secondary_roles	worksheet_roles	workshop_questions_German	complete_card_defaults	closure	field_status
f10r	1	f10r.2	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	SAME_SOURCE	PROCESS+USE_OR_EXECUTE+MEASURE+TRANSFER_CLEAN+APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT+INDICATION	SAME_SOURCE+PROCESS+USE_OR_EXECUTE+MEASURE+TRANSFER_CLEAN+APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT+INDICATION	BLEIBT DIE QUELLE DIESELBE? | WIE WIRD ES BEARBEITET? | WAS IST JETZT AUSZUFÜHREN? | WIE VIEL ODER NACH WELCHEM MASS? | WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	take the fibrous lower root / wash it in running water / daraus, aus demselben Ansatz / gleichmäßig bearbeiten / reduce it to a coarse powder / add red wine / drink it for pain of the stomach / die aktive Portion verwenden / ein vorgeschriebenes Maß / keep the remaining root dry	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f10r	1	f10r.5	1	4	qokchy qotchol chol cthy	PRIOR_SOURCE	STATE_GATE+HEAT_REST+APPLICATION	PRIOR_SOURCE+STATE_GATE+HEAT_REST+APPLICATION	WORAUS ODER MIT WELCHEM VORANSATZ? | BIS WANN ODER BIS ZU WELCHEM ZUSTAND? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN?	use the freshly prepared remedy / apply it while warm / mit der vorigen Zubereitung weiter / sobald die Zubereitung gebrauchsfertig ist	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f10r	2	f10r.6	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	STATE_GATE	WORKING_MATERIAL+CURRENT_ITEM+MEASURE+HEAT_REST+MEDIUM_OR_INGREDIENT	STATE_GATE+WORKING_MATERIAL+CURRENT_ITEM+MEASURE+HEAT_REST+MEDIUM_OR_INGREDIENT	BIS WANN ODER BIS ZU WELCHEM ZUSTAND? | WELCHES ARBEITSMATERIAL LIEGT VOR? | WELCHER POSTEN IST JETZT AKTIV? | WIE VIEL ODER NACH WELCHEM MASS? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	it grows in damp meadow ground / sobald die Zubereitung gebrauchsfertig ist / die bereitete Arbeitsflüssigkeit / add the expressed juice / boil it gently / diese aktive Portion / diese aktive Portion / ein vorgeschriebenes Maß / diese aktive Portion	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f10r	2	f10r.8	1	8	qotchor chor otol chol cholor chol daiin dar	WORKING_MATERIAL	PRIOR_SOURCE+MEASURE+SAME_SOURCE+OWNER_OR_PART	WORKING_MATERIAL+PRIOR_SOURCE+MEASURE+SAME_SOURCE+OWNER_OR_PART	WELCHES ARBEITSMATERIAL LIEGT VOR? | WORAUS ODER MIT WELCHEM VORANSATZ? | WIE VIEL ODER NACH WELCHEM MASS? | BLEIBT DIE QUELLE DIESELBE? | WELCHER SIMPLEX ODER PFLANZENTEIL?	gathered before flowering / die bereitete Arbeitsflüssigkeit / one handful / mit der vorigen Zubereitung weiter / aus dem vorigen Ansatz entnehmen / mit der vorigen Zubereitung weiter / ein vorgeschriebenes Maß / daraus, aus demselben Ansatz	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f10r	2	f10r.9	1	7	oykchor shor chor chy kaiiin dy chodaiin	WORKING_MATERIAL	CURRENT_ITEM+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	WORKING_MATERIAL+CURRENT_ITEM+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	WELCHES ARBEITSMATERIAL LIEGT VOR? | WELCHER POSTEN IST JETZT AKTIV? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	when its flower has opened / die bereitete Arbeitsflüssigkeit / die bereitete Arbeitsflüssigkeit / diese aktive Portion / until a bitter taste remains / diese aktive Portion / preserve that portion under oil	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f11r	1	f11r.1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	STATE_GATE	TRANSFER_CLEAN+HEAT_REST+APPLICATION+OWNER_OR_PART	STATE_GATE+TRANSFER_CLEAN+HEAT_REST+APPLICATION+OWNER_OR_PART	BIS WANN ODER BIS ZU WELCHEM ZUSTAND? | WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL?	gather the root in spring / from shaded woodland / before the flowering crown opens / press the bruised root through cloth / strain the liquor a second time / bis die Flüssigkeit klar abläuft / leave the strained liquor uncovered to cool	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f11r	1	f11r.1	2	1	shoyty	OWNER_OR_PART		OWNER_OR_PART	WELCHER SIMPLEX ODER PFLANZENTEIL?	reserve the flowering crown	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f11r	1	f11r.4	1	5	dchol chy kchy dy daiin	CURRENT_ITEM	MEASURE+APPLICATION+OWNER_OR_PART+INDICATION	CURRENT_ITEM+MEASURE+APPLICATION+OWNER_OR_PART+INDICATION	WELCHER POSTEN IST JETZT AKTIV? | WIE VIEL ODER NACH WELCHEM MASS? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	of this pictured simple / diese aktive Portion / bind it upon a swollen place / diese aktive Portion / ein vorgeschriebenes Maß	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f11r	1	f11r.7	1	4	qotchy okchol cthy dy	STATE_GATE	CURRENT_ITEM+HEAT_REST+APPLICATION	STATE_GATE+CURRENT_ITEM+HEAT_REST+APPLICATION	BIS WANN ODER BIS ZU WELCHEM ZUSTAND? | WELCHER POSTEN IST JETZT AKTIV? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN?	make a warm poultice from its leaves / lay it on while warm / sobald die Zubereitung gebrauchsfertig ist / diese aktive Portion	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f55v	1	f55v.5	1	5	qokaiin chaiin ykain ykan ody	MEASURE	HEAT_REST+APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	MEASURE+HEAT_REST+APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	WIE VIEL ODER NACH WELCHEM MASS? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	begin the next measured entry / ein vorgeschriebenes Maß / boil the broad leaf gently / in white wine / steep it until the liquor is clear	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f55v	1	f55v.5	2	3	daiin chedy talam	MEASURE	TRANSFER_CLEAN+INDICATION	MEASURE+TRANSFER_CLEAN+INDICATION	WIE VIEL ODER NACH WELCHEM MASS? | WIE SPÜLEN, SEIHEN ODER ABLASSEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	ein vorgeschriebenes Maß / stir until evenly mixed / wash the sore place once	B3	COMPLETE_DEFAULT_ROLE_NO_BLANK
f55v	1	f55v.11	1	4	ykaiin cheoar cheeky oldy	HEAT_REST	APPLICATION+MEDIUM_OR_INGREDIENT	HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	for its second medicinal use / add white wine / while still warm / boil gently; close the rubric	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f55v	1	f55v.11	2	6	aiin okal oltchy or y orain	MEASURE	WORKING_MATERIAL+CURRENT_ITEM+APPLICATION	MEASURE+WORKING_MATERIAL+CURRENT_ITEM+APPLICATION	WIE VIEL ODER NACH WELCHEM MASS? | WELCHES ARBEITSMATERIAL LIEGT VOR? | WELCHER POSTEN IST JETZT AKTIV? | WIE ANWENDEN, BADEN ODER BINDEN?	ein vorgeschriebenes Maß / mix the two portions together / keep it in a covered jar / die bereitete Arbeitsflüssigkeit / diese aktive Portion / use the finished liquor fresh	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f56r	1	f56r.5	1	4	chochor cho chodaly daiin	MEASURE	OWNER_OR_PART+MEDIUM_OR_INGREDIENT	MEASURE+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	WIE VIEL ODER NACH WELCHEM MASS? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	gather the plant in spring / then take the following ingredient or plant part / the thin lower root / ein vorgeschriebenes Maß	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f56r	1	f56r.7	1	5	sho kchol otchor choky dal	USE_OR_EXECUTE	DESTINATION+APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	USE_OR_EXECUTE+DESTINATION+APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	WAS IST JETZT AUSZUFÜHREN? | WOHIN ODER AN WELCHES ZIEL? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	then take the following ingredient or plant part / steep it in white wine / gathered before flowering / die aktive Portion verwenden / an die bezeichnete Zielstelle führen	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f56r	1	f56r.8	1	4	schol choy choky cheeckhody	USE_OR_EXECUTE	HEAT_REST+APPLICATION+OWNER_OR_PART	USE_OR_EXECUTE+HEAT_REST+APPLICATION+OWNER_OR_PART	WAS IST JETZT AUSZUFÜHREN? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL?	of this pictured simple / which grows on damp shaded heath / die aktive Portion verwenden / leave the plaster uncovered until dry	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f56r	1	f56r.12	1	4	sh cho kchey qokokchy	OWNER_OR_PART	MEDIUM_OR_INGREDIENT	OWNER_OR_PART+MEDIUM_OR_INGREDIENT	WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	its small seed or bud-head / then take the following ingredient or plant part / the dried narrow leaf / dry it in shade	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f56r	1	f56r.13	1	3	okchy chokcheo kchal	APPLICATION	INDICATION	APPLICATION+INDICATION	WIE ANWENDEN, BADEN ODER BINDEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	use the freshly prepared remedy / drink it for pain of the stomach / keep the remainder dry in shade	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f56r	1	f56r.18	1	4	sho chokchy kchoar sotodan	APPLICATION	OWNER_OR_PART+MEDIUM_OR_INGREDIENT	APPLICATION+OWNER_OR_PART+MEDIUM_OR_INGREDIENT	WIE ANWENDEN, BADEN ODER BINDEN? | WELCHER SIMPLEX ODER PFLANZENTEIL? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	then take the following ingredient or plant part / use the freshly prepared remedy / mix it with honey / use it while freshly mixed	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f56r	1	f56r.19	1	3	otchey keol daiin	TAKE_SELECTED	MEASURE+OWNER_OR_PART	TAKE_SELECTED+MEASURE+OWNER_OR_PART	WAS IST ZU NEHMEN? | WIE VIEL ODER NACH WELCHEM MASS? | WELCHER SIMPLEX ODER PFLANZENTEIL?	nimm den bezeichneten Anteil / the pale opened flower / ein vorgeschriebenes Maß	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.2	1	1	qokedy	TRANSFER_CLEAN	INDICATION	TRANSFER_CLEAN+INDICATION	WIE SPÜLEN, SEIHEN ODER ABLASSEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	rinse the indicated place once; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.2	2	11	okaiin kair okal sar ol kain olkain al ol rol dl	SAME_SOURCE	PRIOR_SOURCE+DESTINATION+HEAT_REST+MEDIUM_OR_INGREDIENT	SAME_SOURCE+PRIOR_SOURCE+DESTINATION+HEAT_REST+MEDIUM_OR_INGREDIENT	BLEIBT DIE QUELLE DIESELBE? | WORAUS ODER MIT WELCHEM VORANSATZ? | WOHIN ODER AN WELCHES ZIEL? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	begin the next measured entry / the returning flow / mix the two portions together / daraus, aus demselben Ansatz / mit der vorigen Zubereitung weiter / one measured portion / the lower basin / an die bezeichnete Zielstelle führen / mit der vorigen Zubereitung weiter / before it cools / the prepared oil	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.7	1	8	olor ol sheckhal daiin qokeedal daiin chckhy schedy	PRIOR_SOURCE	MEASURE+TRANSFER_CLEAN+APPLICATION	PRIOR_SOURCE+MEASURE+TRANSFER_CLEAN+APPLICATION	WORAUS ODER MIT WELCHEM VORANSATZ? | WIE VIEL ODER NACH WELCHEM MASS? | WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ANWENDEN, BADEN ODER BINDEN?	aus dem vorigen Ansatz entnehmen / mit der vorigen Zubereitung weiter / a moderate quantity / ein vorgeschriebenes Maß / the immersed part / ein vorgeschriebenes Maß / through the connected channels / wash the used vessel or channel through once; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.7	2	1	qol	PRIOR_SOURCE	PROCEDURE_DETAIL	PRIOR_SOURCE+PROCEDURE_DETAIL	WORAUS ODER MIT WELCHEM VORANSATZ? | WELCHER WEITERE ARBEITSSCHRITT?	mit der vorigen Zubereitung weiter	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.17	1	1	sshkchdy	HEAT_REST		HEAT_REST	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN?	keep it warm; close the rubric	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.17	2	3	chedy ol shedy	PRIOR_SOURCE	HEAT_REST	PRIOR_SOURCE+HEAT_REST	WORAUS ODER MIT WELCHEM VORANSATZ? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN?	stir until evenly mixed / mit der vorigen Zubereitung weiter / let it stand until ready; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.17	3	1	qolchedy	MEDIUM_OR_INGREDIENT		MEDIUM_OR_INGREDIENT	WELCHES MEDIUM ODER WELCHER ZUSATZ?	set the mixed liquid aside in a covered receiving vessel; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.17	4	4	qokain shckhy dl ral	TRANSFER_CLEAN	HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	TRANSFER_CLEAN+HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	add one measured portion to the vessel / through the connected channels / the prepared oil / and let it cool	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.18	1	1	qokchdy	HEAT_REST		HEAT_REST	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN?	heat it once; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.18	2	5	chey ol cheky ol shedy	CURRENT_ITEM	PRIOR_SOURCE+HEAT_REST	CURRENT_ITEM+PRIOR_SOURCE+HEAT_REST	WELCHER POSTEN IST JETZT AKTIV? | WORAUS ODER MIT WELCHEM VORANSATZ? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN?	diese aktive Portion / mit der vorigen Zubereitung weiter / over a gentle heat / mit der vorigen Zubereitung weiter / let it stand until ready; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.18	3	1	qokedy	TRANSFER_CLEAN	INDICATION	TRANSFER_CLEAN+INDICATION	WIE SPÜLEN, SEIHEN ODER ABLASSEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	rinse the indicated place once; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.18	4	1	qokedy	TRANSFER_CLEAN	INDICATION	TRANSFER_CLEAN+INDICATION	WIE SPÜLEN, SEIHEN ODER ABLASSEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	rinse the indicated place once; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.18	5	2	chckhy qoky	USE_OR_EXECUTE	TRANSFER_CLEAN+APPLICATION	USE_OR_EXECUTE+TRANSFER_CLEAN+APPLICATION	WAS IST JETZT AUSZUFÜHREN? | WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ANWENDEN, BADEN ODER BINDEN?	through the connected channels / die aktive Portion verwenden	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.21	1	3	lsho qokey lshedy	TRANSFER_CLEAN	HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	TRANSFER_CLEAN+HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	begin the rinsing / warm water / wash once; close this pass	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.21	2	1	lshedy	TRANSFER_CLEAN		TRANSFER_CLEAN	WIE SPÜLEN, SEIHEN ODER ABLASSEN?	wash once; close this pass	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.21	3	5	chedy qolky lchedal qol otar	PRIOR_SOURCE	TRANSFER_CLEAN+APPLICATION+INDICATION	PRIOR_SOURCE+TRANSFER_CLEAN+APPLICATION+INDICATION	WORAUS ODER MIT WELCHEM VORANSATZ? | WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	stir until evenly mixed / the affected place / the lower basin / mit der vorigen Zubereitung weiter / then use the lower outlet	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.24	1	2	ytey okchedy	HEAT_REST	APPLICATION	HEAT_REST+APPLICATION	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN?	then fill the vessel / let it cool; close the rubric	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.24	2	4	qokal okeey qol cheedy	PRIOR_SOURCE	HEAT_REST+MEDIUM_OR_INGREDIENT	PRIOR_SOURCE+HEAT_REST+MEDIUM_OR_INGREDIENT	WORAUS ODER MIT WELCHEM VORANSATZ? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	mix the two portions together / temper the working liquid and keep it lukewarm / mit der vorigen Zubereitung weiter / let it stand until ready; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.24	3	3	sal teol dchdy	DESTINATION	TRANSFER_CLEAN	DESTINATION+TRANSFER_CLEAN	WOHIN ODER AN WELCHES ZIEL? | WIE SPÜLEN, SEIHEN ODER ABLASSEN?	an die bezeichnete Zielstelle führen / the first opening / strain it clear; close the rubric	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.24	4	1	ly	APPLICATION		APPLICATION	WIE ANWENDEN, BADEN ODER BINDEN?	then fill the vessel	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
