role	fields	question_German
APPLICATION	64	WIE ANWENDEN, BADEN ODER BINDEN?
HEAT_REST	59	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN?
MEDIUM_OR_INGREDIENT	54	WELCHES MEDIUM ODER WELCHER ZUSATZ?
TRANSFER_CLEAN	45	WIE SPÜLEN, SEIHEN ODER ABLASSEN?
INDICATION	24	FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?
MEASURE	19	WIE VIEL ODER NACH WELCHEM MASS?
PRIOR_SOURCE	16	WORAUS ODER MIT WELCHEM VORANSATZ?
OWNER_OR_PART	13	WELCHER SIMPLEX ODER PFLANZENTEIL?
CURRENT_ITEM	13	WELCHER POSTEN IST JETZT AKTIV?
PROCEDURE_DETAIL	13	WELCHER WEITERE ARBEITSSCHRITT?
STATE_GATE	11	BIS WANN ODER BIS ZU WELCHEM ZUSTAND?
USE_OR_EXECUTE	10	WAS IST JETZT AUSZUFÜHREN?
DESTINATION	10	WOHIN ODER AN WELCHES ZIEL?
WORKING_MATERIAL	6	WELCHES ARBEITSMATERIAL LIEGT VOR?
SAME_SOURCE	5	BLEIBT DIE QUELLE DIESELBE?
PROCESS	2	WIE WIRD ES BEARBEITET?
TAKE_SELECTED	2	WAS IST ZU NEHMEN?
