dictionary_entry_id	surfaces	component_recipe	abstract_composition_de	workshop_prose_composition_de	owner_address_composition_de	observed_events	physical_pages	registers	observed_channel	observed_channel_reading_de	composition_status
P912-D0887	pchocthy	P+CH+O+CTH+Y	EINSETZUNG → AUSWAHL_ENTNAHME → LAUF → BEREITSTATUS → REFERENT	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	Platz besetzen; Klasse oder Figur kennzeichnen; Reihe aufrufen; Bereitschaftsklasse; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1179	shor	SH+OR	HALTEN → EINTRAG	Arbeitsgegenstand halten; Ansatz oder Zubereitung	Bezug festhalten; Eintragsklasse	4	f10r,f11r	HERBAL	WORKSHOP_PROSE	Arbeitsgegenstand halten; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0526	octhody	O+CTH+O+D_ADDR+Y	LAUF → BEREITSTATUS → LAUF → UNTERADRESSE → REFERENT	Arbeitsgang ausführen; bis bereit führen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	Reihe aufrufen; Bereitschaftsklasse; Reihe aufrufen; Unterplatz; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	Arbeitsgang ausführen; bis bereit führen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0229	chorchy	CH+OR+CH+Y	AUSWAHL_ENTNAHME → EINTRAG → AUSWAHL_ENTNAHME → REFERENT	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Eintragsklasse; Klasse oder Figur kennzeichnen; dieser Bildplatz	2	f10r,f56r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0888	pchodol	P+CH+O+D_ADDR+OL	EINSETZUNG → AUSWAHL_ENTNAHME → LAUF → UNTERADRESSE → FORTSETZUNG	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; im selben Arbeitsgang fortfahren	Platz besetzen; Klasse oder Figur kennzeichnen; Reihe aufrufen; Unterplatz; dieselbe Reihe fortführen	1	f10r	HERBAL	WORKSHOP_PROSE	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; im selben Arbeitsgang fortfahren	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0224	chopchal	CH+O+P+CH+AL	AUSWAHL_ENTNAHME → LAUF → EINSETZUNG → AUSWAHL_ENTNAHME → ZIEL	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Material einsetzen; bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle	Klasse oder Figur kennzeichnen; Reihe aufrufen; Platz besetzen; Klasse oder Figur kennzeichnen; Zielplatz	1	f10r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Material einsetzen; bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1348	ypch	Y+P+CH	REFERENT → EINSETZUNG → AUSWAHL_ENTNAHME	dieser Arbeitsgegenstand; Material einsetzen; bezeichneten Anteil entnehmen	dieser Bildplatz; Platz besetzen; Klasse oder Figur kennzeichnen	1	f10r	HERBAL	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Material einsetzen; bezeichneten Anteil entnehmen	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0446	kom	K+O+M_LOCAL	ZUORDNUNG → LAUF → M	Material zugeben; Arbeitsgang ausführen; lokales Schreibzeichen	Wert zuordnen; Reihe aufrufen; lokales Bildzeichen	1	f10r	HERBAL	WORKSHOP_PROSE	Material zugeben; Arbeitsgang ausführen; lokales Schreibzeichen	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0342	dchey	CH+E+Y	AUSWAHL_ENTNAHME → GRAD_1 → REFERENT	bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; erster Grad; dieser Bildplatz	2	f10r,f56r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0275	cthoor	CTH+O+OR	BEREITSTATUS → LAUF → EINTRAG	bis bereit führen; Arbeitsgang ausführen; Ansatz oder Zubereitung	Bereitschaftsklasse; Reihe aufrufen; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	bis bereit führen; Arbeitsgang ausführen; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
