event_id	dictionary_entry_id	physical_page	locus	surface	channel	visible_owner_de	component_recipe	abstract_composition_de	register_composition_de	current_fluent_or_address_de
P912-E0001	P912-D0887	f10r	f10r.1	pchocthy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	P+CH+O+CTH+Y	EINSETZUNG → AUSWAHL_ENTNAHME → LAUF → BEREITSTATUS → REFERENT	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	Diesen Posten einsetzen, entnehmen, ausführen und bereitstellen.
P912-E0002	P912-D1179	f10r	f10r.1	shor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	SH+OR	HALTEN → EINTRAG	Arbeitsgegenstand halten; Ansatz oder Zubereitung	Den Ansatz halten.
P912-E0003	P912-D0526	f10r	f10r.1	octhody	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	O+CTH+O+D_ADDR+Y	LAUF → BEREITSTATUS → LAUF → UNTERADRESSE → REFERENT	Arbeitsgang ausführen; bis bereit führen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	Aus diesem Teil diesen Posten ausführen, bereitstellen und ausführen.
P912-E0004	P912-D0229	f10r	f10r.1	chorchy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+OR+CH+Y	AUSWAHL_ENTNAHME → EINTRAG → AUSWAHL_ENTNAHME → REFERENT	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	Den Ansatz und diesen Posten entnehmen.
P912-E0005	P912-D0888	f10r	f10r.1	pchodol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	P+CH+O+D_ADDR+OL	EINSETZUNG → AUSWAHL_ENTNAHME → LAUF → UNTERADRESSE → FORTSETZUNG	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; im selben Arbeitsgang fortfahren	Weiter aus diesem Teil einsetzen, entnehmen und ausführen.
P912-E0006	P912-D0224	f10r	f10r.1	chopchal	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+O+P+CH+AL	AUSWAHL_ENTNAHME → LAUF → EINSETZUNG → AUSWAHL_ENTNAHME → ZIEL	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Material einsetzen; bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle	Entnehmen, ausführen, einsetzen und entnehmen zur Ziel- oder Anschlussstelle.
P912-E0007	P912-D1348	f10r	f10r.1	ypch	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y+P+CH	REFERENT → EINSETZUNG → AUSWAHL_ENTNAHME	dieser Arbeitsgegenstand; Material einsetzen; bezeichneten Anteil entnehmen	Diesen Posten einsetzen und entnehmen.
P912-E0008	P912-D0446	f10r	f10r.1	kom	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	K+O+M_LOCAL	ZUORDNUNG → LAUF → M	Material zugeben; Arbeitsgang ausführen; lokales Schreibzeichen	Zugeben und ausführen mit m-Zeichen.
P912-E0009	P912-D0342	f10r	f10r.2	dchey	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+E+Y	AUSWAHL_ENTNAHME → GRAD_1 → REFERENT	bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	Diesen Posten kurz entnehmen.
P912-E0010	P912-D0275	f10r	f10r.2	cthoor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CTH+O+OR	BEREITSTATUS → LAUF → EINTRAG	bis bereit führen; Arbeitsgang ausführen; Ansatz oder Zubereitung	Den Ansatz bereitstellen und ausführen.
