surface	events	pages	prose_recipe	prose_reading_de	address_recipe	address_reading_de	shared_abstract_if_same_recipe
daiin	51	f10r|f11r|f13r|f55v|f56r|f67r2|f70v|f81v|f82r|f83r|f88r	AIIN	Sollmaß	AIIN	verzeichneter Sollwert	SOLLWERT
chedy	43	f55v|f70v|f75r|f81v|f82r|f83r	CHD+Y	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	CHD+Y	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	WECHSEL → REFERENT
dy	37	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r	Y	dieser Arbeitsgegenstand	Y	dieser Bildplatz	REFERENT
ol	36	f55v|f69v|f75r|f81v|f82r|f83r|f88r	OL	im selben Arbeitsgang fortfahren	OL	dieselbe Reihe fortführen	FORTSETZUNG
chey	29	f55v|f56r|f69v|f75r|f81v|f82r|f83r|f88r	Y	dieser Arbeitsgegenstand	Y	dieser Bildplatz	REFERENT
aiin	27	f10r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	AIIN	Sollmaß	AIIN	verzeichneter Sollwert	SOLLWERT
s	27	f11r|f13r|f55v|f56r|f67r2|f70v|f75r|f81v|f82r|f83r|f88r	S	Arbeitsvariante auswählen	S	Bildklasse auswählen	AUSWAHL
dal	25	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	AL	Ziel- oder Anschlussstelle	AL	Zielplatz	ZIEL
shey	25	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	SH+E+Y	Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	SH+E+Y	Bezug festhalten; erster Grad; dieser Bildplatz	HALTEN → GRAD_1 → REFERENT
y	23	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f81v	Y	dieser Arbeitsgegenstand	Y	dieser Bildplatz	REFERENT
chol	22	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f88r	OL	im selben Arbeitsgang fortfahren	OL	dieselbe Reihe fortführen	FORTSETZUNG
ar	21	f55v|f67r2|f69v|f70v|f75r|f83r|f88r	AR	Entnahmestelle	AR	Quell- oder Bezugsstelle	QUELLE
dar	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	D_ADDR+AR	bezeichneter Teil; Entnahmestelle	D_ADDR+AR	Unterplatz; Quell- oder Bezugsstelle	UNTERADRESSE → QUELLE
cheey	15	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	SH+EE+Y	Arbeitsgegenstand halten; länger oder gehalten; dieser Arbeitsgegenstand	SH+EE+Y	Bezug festhalten; zweiter Grad; dieser Bildplatz	HALTEN → GRAD_2 → REFERENT
