work_order_serial	source_unified_serial	work_order_id	work_order_title_de	phase	execution_step	phase_step	source_unit	reading_unit_id	register	page	source_group_id	visible_owner	visible_surface	lookup_id	resolved_entry_id	resolved_reading_de	lookup_status	assignment_status
W001	U382	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.1	ASTRO	f67r2	A1:G001	A1_RIGHT_SECTOR_SLOT_01	ykshy	AR163	ASTRO_OWNER_VALUE_163	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W002	U383	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.1	ASTRO	f67r2	A1:G002	A1_RIGHT_SECTOR_SLOT_01	s	AR162	ASTRO_OWNER_VALUE_162	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W003	U384	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.1	ASTRO	f67r2	A1:G003	A1_RIGHT_SECTOR_SLOT_01	aram	AR161	ASTRO_OWNER_VALUE_161	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W004	U385	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.2	ASTRO	f67r2	A1:G004	A1_RIGHT_SECTOR_SLOT_02	ykecho	AR166	ASTRO_OWNER_VALUE_166	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W005	U386	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.2	ASTRO	f67r2	A1:G005	A1_RIGHT_SECTOR_SLOT_02	ols	AR165	ASTRO_OWNER_VALUE_165	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W006	U387	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.2	ASTRO	f67r2	A1:G006	A1_RIGHT_SECTOR_SLOT_02	eesydy	AR164	ASTRO_OWNER_VALUE_164	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W007	U388	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.3	ASTRO	f67r2	A1:G007	A1_RIGHT_SECTOR_SLOT_03	ey	AR167	ASTRO_OWNER_VALUE_167	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W008	U389	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.3	ASTRO	f67r2	A1:G008	A1_RIGHT_SECTOR_SLOT_03	shs	AR169	ASTRO_OWNER_VALUE_169	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W009	U390	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.3	ASTRO	f67r2	A1:G009	A1_RIGHT_SECTOR_SLOT_03	okar	AR168	ASTRO_OWNER_VALUE_168	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W010	U391	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.4	ASTRO	f67r2	A1:G010	A1_RIGHT_SECTOR_SLOT_04	shekchy	AR170	ASTRO_OWNER_VALUE_170	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W011	U392	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.4	ASTRO	f67r2	A1:G011	A1_RIGHT_SECTOR_SLOT_04	sykos	AR171	ASTRO_OWNER_VALUE_171	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W012	U393	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.5	ASTRO	f67r2	A1:G012	A1_RIGHT_SECTOR_SLOT_05	ykeody	AR173	ASTRO_OWNER_VALUE_173	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W013	U394	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.5	ASTRO	f67r2	A1:G013	A1_RIGHT_SECTOR_SLOT_05	okchy	AR172	ASTRO_OWNER_VALUE_172	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W014	U395	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.6	ASTRO	f67r2	A1:G014	A1_RIGHT_SECTOR_SLOT_06	dchetay	AR174	ASTRO_OWNER_VALUE_174	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W015	U396	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.7	ASTRO	f67r2	A1:G015	A1_RIGHT_SECTOR_SLOT_07	ykchy	AR176	ASTRO_OWNER_VALUE_176	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
W016	U397	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	1	1	M67_RIGHT_SECTORS	f67r2.7	ASTRO	f67r2	A1:G016	A1_RIGHT_SECTOR_SLOT_07	kchey	AR175	ASTRO_OWNER_VALUE_175	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.	OWNER_PLUS_SURFACE_ASTRO_PASS	CREATIVE_WORK_ORDER_PAIRING__CURRENT_READER_VALUE
