exact_card_id	component_recipe	meaning_de	primary_profile	primary_surface	secondary_switch	generated_extra_surface	generation_rule	same_card_and_meaning
PROC009	AIIN	SOLLMASS	S4_D_T	daiin	S4_D_TO_T	taiin	Use the registered T branch instead of the D branch.	YES
PROC013	OL	WEITER	S2_CH	cheol	S2_CHE_TO_CH	chol	Use the short CH form instead of the expanded CHE form.	YES
PROC013	OL	WEITER	S3_Q_SH	qol	S3_QSH_TO_S_BRANCH	sol	Use the registered S/SH branch and take its shortest available member.	YES
PROC016	OR	ANSATZ	S3_Q_SH	shor	S3_QSH_TO_S_BRANCH	sor	Use the registered S/SH branch and take its shortest available member.	YES
PROC019	Y	POSTEN	S2_CH	chey	S2_CHE_TO_CH	chy	Use the short CH form instead of the expanded CHE form.	YES
PROC019	Y	POSTEN	S3_Q_SH	shy	S3_QSH_TO_S_BRANCH	sy	Use the registered S/SH branch and take its shortest available member.	YES
PROC055	AL	ZIELSTELLE	S2_CH	cheal	S2_CHE_TO_CH	chal	Use the short CH form instead of the expanded CHE form.	YES
PROC055	AL	ZIELSTELLE	S4_D_T	dal	S4_D_TO_T	tal	Use the registered T branch instead of the D branch.	YES
PROC076	CHD+DY	UMSETZEN · SCHLUSS	S4_D_T	dchedy	S4_D_TO_T	tchedy	Use the registered T branch instead of the D branch.	YES
PROC117	CTH+E+Y	BEREITEN · KURZ · POSTEN	S3_Q_SH	qcthey	S3_QSH_TO_S_BRANCH	shcthey	Use the registered S/SH branch and take its shortest available member.	YES
