element_key	held_file	distance_class	source_target_rank	role_target_rank	role_added_log2_true_probability
PCEEC2:browne:browne:4:19	browne	L3	6	7	-0.9988608785287401
PCEEC2:bacon:bacon:1:15	bacon	L3	6	7	-0.8933797915050183
PCEEC2:paston:paston:6:35	paston	L1	3	3	-0.5359657105017624
PCEEC2:brysket:brysket:2:31	brysket	L1	3	4	-0.5021201070013335
PCEEC2:hart:hart:5:C1:80	hart	R1	2	2	-0.06857275470955768
PCEEC2:ferrar:ferrar:1:15	ferrar	R2	2	2	-0.03528938630499299
PCEEC2:hart:hart:5:C1:90	hart	L2	2	1	-0.02948650757774378
PCEEC2:harvey:harvey:1:28	harvey	L2	2	2	-0.023105512102733
PCEEC2:paget:paget:6:7	paget	L3	1	1	-0.01796979198701377
PCEEC2:jonson:jonson:2:52	jonson	L2	2	2	-0.014186756542873786
PCEEC2:shillin:shillin:5:28	shillin	L1	2	2	-0.012432624283223932
PCEEC2:signet:signet:11:105	signet	L_FAR	107	108	-0.011920953584481605
PCEEC2:cely:cely:5:13	cely	L1	3	3	-0.00933643146346312
PCEEC2:more:more:6:36	more	R2	4	4	-0.008795345955667009
PCEEC2:haddock:haddock:8:6	haddock	L3	3	3	-0.00794271091274182
PCEEC2:shillin:shillin:7:6	shillin	L2	2	2	-0.005552341317698541
PCEEC2:hatton:hatton:1:33	hatton	L2	2	2	-0.005306269529243294
PCEEC2:hatton:hatton:1:27	hatton	L1	3	3	-0.004155711529821941
PCEEC2:edmonde:edmonde:4:15	edmonde	L5	8	8	-0.003578813446204904
PCEEC2:holles:holles:8:15	holles	L4	4	4	-0.0035190240603332965
PCEEC2:stockwe:stockwe:5:34	stockwe	R2	5	5	-0.0034261695350765392
PCEEC2:shillin:shillin:12:61	shillin	L2	2	2	-0.002936721302724684
PCEEC2:barring:barring:1:12	barring	L5	5	5	-0.002554748814497908
PCEEC2:stiffke:stiffke:4:48	stiffke	L2	2	2	-0.002206388949943586
PCEEC2:stonor:stonor:3:99	stonor	L3	4	4	-0.001747937759758685
PCEEC2:charles:charles:9:14	charles	L2	1	1	-0.0014924976474069384
PCEEC2:brereto:brereto:3:28	brereto	L3	4	4	-0.0009628778872683128
PCEEC2:fitzher:fitzher:10:22	fitzher	L2	3	3	-0.0009220570846137633
PCEEC2:pepys:pepys:5:22	pepys	L1	1	1	-0.0009129206591459425
PCEEC2:more:more:6:52	more	L1	2	2	-0.0008463434219254993
