unit_serial	record_id	page	statement_id	group_count	surface_sequence	atom_sequence	literal_card_reading_de	image_owner	owner_kind	owner_break_inside_statement	selected_concrete_reading_de	short_rival_de
1	H1	f10r	H1-S001	10	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	VISIBLE_WHOLE_PLANT	NO	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
2	H1	f10r	H1-S002	4	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	VISIBLE_WHOLE_PLANT	NO	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
3	H2	f10r	H2-S001	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	VISIBLE_WHOLE_PLANT	NO	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
4	H2	f10r	H2-S002	8	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	VISIBLE_WHOLE_PLANT	NO	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
5	H2	f10r	H2-S003	7	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	VISIBLE_WHOLE_PLANT	NO	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
6	H3	f11r	H3-S001	7	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	VISIBLE_WHOLE_PLANT	NO	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
7	H3	f11r	H3-S002	1	shoyty	HO+Y+TY	Zutatenteil	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	VISIBLE_WHOLE_PLANT	NO	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
8	H3	f11r	H3-S003	5	dchol chy kchy dy daiin	PREV+OL | Y | KCH+Y | Y | AIIN	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	VISIBLE_WHOLE_PLANT	NO	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
9	H3	f11r	H3-S004	4	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	VISIBLE_WHOLE_PLANT	NO	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
10	H4	f55v	H4-S001	5	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	VISIBLE_WHOLE_PLANT	NO	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
