image_owner	statements
B1_SHARED_TWO_ROW_POOL	21
B2_LOWER_GREEN_MULTI_FIGURE_POOL	2
B2_LOWER_POOL_EDGE_STATIONS	8
B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	4
B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	1
B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	1
B2_UPPER_PAIRED_BASINS_AND_CYLINDER	6
B3_LOWER_MARGIN_BASKET_VESSEL_STATION	6
B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1
B3_MAIN_ARCH_LINKED_PAIR	8
B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	9
B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	1
B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	5
B3_UPPER_MARGIN_OPEN_FAN_STATION	4
B4_MAIN_ARCH_LINKED_PAIR	10
B4_MAIN_LEFT_OPEN_FRINGE_STATION	4
B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	1
B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	1
B5_LEFT_OPEN_FRINGE_STATION	3
B6_RIGHT_S_RUN_MULTIPORT_STATION	1
WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	4
WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	5
WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	4
WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	6
