token_order	field	source_step	source_instruction_de	master_card_id	chosen_visible_surface	dictionary_value_de	surface_is_registered	also_used_in_first_exercise	decoded_step_de
1	1	LOCATE_STOCK	Verwahrort waehlen	MC160	talam	Verwahrort	YES	NO	Verwahrort waehlen
2	1	RESUME_STOCK	vom vorigen Vorratsansatz nehmen	MC142	dchol	vom vorigen	YES	YES	vom vorigen Vorratsansatz nehmen
3	1	SELECT_MEASURED_PORTION	Sollportion entnehmen	MC170	ykaiin	Sollportion	YES	NO	Sollportion entnehmen
4	1	DIVIDE	in zwei Teile teilen	MC152	ches	Teilen	YES	NO	in zwei Teile teilen
5	2	FIRST_PORTION	erste Portion	MC047	ykain	erste Portion	YES	NO	erste Portion
6	2	COOL	abkuehlen	MC100	ody	Abkühlen	YES	NO	abkuehlen
7	2	STORE	am Verwahrort abstellen	MC160	talam	Verwahrort	YES	NO	am Verwahrort abstellen
8	2	MARK_READY	fertig markieren	MC019	oldy	fertig	YES	NO	fertig markieren
9	3	SECOND_PORTION	zweite Portion	MC148	ykan	zweite Portion	YES	NO	zweite Portion
10	3	WARM_BRIEFLY	kurz waermen	MC147	cheky	kurz wärmen	YES	YES	kurz waermen
11	3	SET_FIRST_TARGET	an der ersten Zielstelle einsetzen	MC040	okal	dorthin einsetzen	YES	NO	an der ersten Zielstelle einsetzen
12	3	SHORT_CONTACT_CLOSE	kurz einwirken und schliessen	MC083	qokedy	kurz einwirken; Schluss	YES	NO	kurz einwirken und schliessen
13	4	NEXT_ITEM	zum Folgeposten	MC107	qotchy	Folgeposten	YES	NO	zum Folgeposten
14	4	NEXT_TARGET	danach zur naechsten Zielstelle	MC093	otal	danach dorthin	YES	NO	danach zur naechsten Zielstelle
15	4	SET_THERE	dort einsetzen	MC026	qoky	einsetzen	YES	YES	dort einsetzen
16	4	WASH_CLOSE	Waschfolge abschliessen	MC084	rshedy	Waschschluss	YES	NO	Waschfolge abschliessen
