local_key_form	group_count	pages	namespaces	visible_owners	learning_rule
a	1	f69v	F69_RIGHT_WHEEL_NS	A3_RIGHT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
alys	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_28	copy from the selected diagram locus; no portable gloss required
am	3	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21|A1_LEFT_LOCAL_FIELD_27|A1_LEFT_LOCAL_FIELD_28	copy from the selected diagram locus; no portable gloss required
aram	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	copy from the selected diagram locus; no portable gloss required
ch	1	f69v	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
chda	1	f69v	F69_RIGHT_WHEEL_NS	A3_RIGHT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
chees	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
cheo	1	f69v	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
cheos	1	f67r2	F67_PAIRED_LEGEND_QUARANTINE_NS	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	copy from the selected diagram locus; no portable gloss required
cheteeser	1	f69v	F69_RIGHT_WHEEL_NS	A3_RIGHT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
chod	1	f68r1	F68_MIDDLE_PANEL_HEADER_NS	A2_MIDDLE_PANEL_HEADER	copy from the selected diagram locus; no portable gloss required
choeea	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_50	copy from the selected diagram locus; no portable gloss required
choer	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_49	copy from the selected diagram locus; no portable gloss required
chos	2	f67r2	F67_LEFT_WHEEL_NS|F67_PAIRED_LEGEND_QUARANTINE_NS	A1_LEFT_LOCAL_FIELD_42|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	copy from the selected diagram locus; no portable gloss required
chykchs	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	copy from the selected diagram locus; no portable gloss required
d	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_23	copy from the selected diagram locus; no portable gloss required
daram	1	f68r1	F68_RIGHT_PANEL_HEADER_NS	A2_RIGHT_PANEL_HEADER	copy from the selected diagram locus; no portable gloss required
doiin	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	copy from the selected diagram locus; no portable gloss required
doiir	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
es	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_45	copy from the selected diagram locus; no portable gloss required
g	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_07	copy from the selected diagram locus; no portable gloss required
giin	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_35	copy from the selected diagram locus; no portable gloss required
o	2	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
oaram	1	f69v	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
ochoyk	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_03	copy from the selected diagram locus; no portable gloss required
octhole	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_38	copy from the selected diagram locus; no portable gloss required
octhys	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_09	copy from the selected diagram locus; no portable gloss required
odaeiin	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	copy from the selected diagram locus; no portable gloss required
odaiiin	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_45	copy from the selected diagram locus; no portable gloss required
odas	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_32	copy from the selected diagram locus; no portable gloss required
oeeos	1	f67r2	F67_PAIRED_LEGEND_QUARANTINE_NS	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	copy from the selected diagram locus; no portable gloss required
oepchod	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_PHASE_STATION_05	copy from the selected diagram locus; no portable gloss required
og	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_40	copy from the selected diagram locus; no portable gloss required
oiin	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_40	copy from the selected diagram locus; no portable gloss required
okaiiin	1	f68r1	F68_MULTIPANEL_HEADER_QUARANTINE_NS	A2_MULTIPANEL_HEADER_FRAGMENT_04	copy from the selected diagram locus; no portable gloss required
okcheys	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_27	copy from the selected diagram locus; no portable gloss required
okeeos	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
okeo	2	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27|A3_LEFT_RADIAL_SLOT_02	copy from the selected diagram locus; no portable gloss required
okeod	4	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT|A3_LEFT_RADIAL_SLOT_11|A3_LEFT_RADIAL_SLOT_15|A3_LEFT_RADIAL_SLOT_24	copy from the selected diagram locus; no portable gloss required
okoes	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	copy from the selected diagram locus; no portable gloss required
okoirsh	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
ols	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	copy from the selected diagram locus; no portable gloss required
otykchs	1	f68r1	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_16	copy from the selected diagram locus; no portable gloss required
otys	1	f68r1	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_11	copy from the selected diagram locus; no portable gloss required
qsg	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_43	copy from the selected diagram locus; no portable gloss required
r	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	copy from the selected diagram locus; no portable gloss required
s	4	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01|A1_RIGHT_RING_BAND_01|A1_RIGHT_PHASE_STATION_01|A1_RIGHT_PHASE_STATION_06	copy from the selected diagram locus; no portable gloss required
saiir	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_17	copy from the selected diagram locus; no portable gloss required
shees	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_OUTER_RING_TEXT	copy from the selected diagram locus; no portable gloss required
shs	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	copy from the selected diagram locus; no portable gloss required
soraiir	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	copy from the selected diagram locus; no portable gloss required
sosho	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_42	copy from the selected diagram locus; no portable gloss required
sykos	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	copy from the selected diagram locus; no portable gloss required
teeo	1	f69v	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
tochso	1	f68r1	F68_MIDDLE_PANEL_HEADER_NS	A2_MIDDLE_PANEL_HEADER	copy from the selected diagram locus; no portable gloss required
ydam	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_25	copy from the selected diagram locus; no portable gloss required
ydchos	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	copy from the selected diagram locus; no portable gloss required
