portable_role	group_count	distinct_visible_forms	pages	curriculum_layers	writer_strategies	example_value_de	example_surface
THREE_REGISTER_COMMON_CORE	66	28	f67r2|f68r1|f69v	THREE_REGISTER_COMMON_CORE	REUSE_COMMON_STEM_CARD	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten.	chy
ASTRO_SOURCE_ADDRESS_CARD	37	22	f67r2|f68r1|f69v	ASTRO_ADDRESS_SUFFIX_COMPOSITION	COPY_CORE_ATTACH_ADDRESS	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	okar
ASTRO_CURRENT_ITEM_COMPOSITION	33	30	f67r2|f68r1|f69v	ASTRO_LICENSED_CURRENT_ITEM_Y	COPY_OPERATION_ATTACH_Y	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	ykshy
ASTRO_GRADED_CURRENT_VALUE	23	22	f67r2|f68r1|f69v	ASTRO_GRADED_VALUE_Y_COMPOSITION	COPY_CORE_ATTACH_GRADE_Y	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	ey
ASTRO_FOLLOWING_POST_CARD	17	16	f67r2|f68r1|f69v	ASTRO_OT_TRANSITION_COMPOSITION	PREFIX_FOLLOWING_POST	Sternplatz A1_LEFT_LOCAL_FIELD_38: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dos.	otoldos
ASTRO_CONDITION_CARD	13	10	f67r2|f68r1|f69v	ASTRO_RELATION_SUFFIX_COMPOSITION	COPY_CORE_ATTACH_RELATION	Sternplatz A1_LEFT_LOCAL_FIELD_26: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yteo.	yteoor
ASTRO_TARGET_ADDRESS_CARD	12	11	f67r2|f68r1|f69v	ASTRO_ADDRESS_SUFFIX_COMPOSITION	COPY_CORE_ATTACH_ADDRESS	Sternplatz A1_LEFT_LOCAL_FIELD_20: Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s.	saral
COMPOSED_ASTRO_PATH_CARD	10	5	f67r2|f69v	ASTRO_COMPOSED_FROM_40_COMPONENTS	COMPOSE_FROM_PRODUCTIVE_STEMS	Sternplatz A1_LEFT_LOCAL_FIELD_32: Himmels-, Ring- oder Zeigerlauf.	air
COMPOSED_ASTRO_VALUE_CARD	10	9	f67r2|f68r1|f69v	ASTRO_COMPOSED_FROM_40_COMPONENTS	COMPOSE_FROM_PRODUCTIVE_STEMS	Sternplatz A1_LEFT_LOCAL_FIELD_32: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes.	alaiin
COMPOSED_ASTRO_QUANTITY_CARD	9	8	f67r2	ASTRO_COMPOSED_FROM_40_COMPONENTS	COMPOSE_FROM_PRODUCTIVE_STEMS	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: gezaehlter Teil oder Unterabschnitt.	ain
ASTRO_CONTINUATION_CARD	7	6	f67r2|f68r1	ASTRO_RELATION_SUFFIX_COMPOSITION	COPY_CORE_ATTACH_RELATION	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opodch.	opodchol
GRADE_SET	6	2	f67r2|f68r1|f69v	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: in kurzer Stufe setzen.	okey
PARTIAL_ASTRO_VALUE_CARD	3	3	f67r2	ASTRO_LOCAL_CORE_PLUS_AIIN	COPY_CORE_ATTACH_AIIN	Sternplatz A1_LEFT_LOCAL_FIELD_37: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yto.	ytoaiin
INPUT	2	1	f67r2|f69v	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: Eingangsobjekt oder Eingangsbedingung.	cho
ORDER_GRADE	2	1	f69v	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Diagrammposten in langer Stufe.	oteey
RECEIVER	2	1	f67r2	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sternplatz A1_LEFT_LOCAL_FIELD_43: umschliessendes Diagrammfeld.	os
FIELD_OBJECT	1	1	f67r2	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sternplatz A1_LEFT_LOCAL_FIELD_48: Band-, Schleier- oder Abdecktraeger.	dain
FULL_SET_CLOSE	1	1	f68r1	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sternplatz A2_MIDDLE_PANEL_HEADER: vollstaendig setzen und den Eintrag schliessen.	qokeeedy
GRADE_HOLD	1	1	f69v	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diese Position laenger halten.	sheey
ORDER	1	1	f68r1	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sternplatz A2_STAR_STATION_17: danach im selben Ring oder Band fortsetzen.	otol
ORDER_SOURCE	1	1	f67r2	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sternplatz A1_LEFT_OUTER_STAR_STATION_06: danach vom bezeichneten Ausgangsplatz.	otar
ORDER_TRANSFER	1	1	f68r1	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sternplatz A2_STAR_STATION_15: den folgenden Platz uebertragen und den Eintrag schliessen.	otchdy
PARTIAL_ASTRO_PATH_CARD	1	1	f67r2	ASTRO_LOCAL_CORE_PLUS_AIR	COPY_CORE_ATTACH_AIR	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest qof.	qofair
PARTIAL_ASTRO_QUANTITY_CARD	1	1	f67r2	ASTRO_LOCAL_CORE_PLUS_AIN	COPY_CORE_ATTACH_AIN	Sternplatz A1_LEFT_LOCAL_FIELD_47: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest yf.	yfain
PROCESS	1	1	f67r2	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.	kchy
PROCESS_GRADE	1	1	f67r2	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.	kchey
QUANTITY_INPUT	1	1	f67r2	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sternplatz A1_LEFT_LOCAL_FIELD_28: einen gezaehlten Teilwert zugeben.	okain
RESET_CLOSE	1	1	f69v	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten zuruecknehmen.	ody
SET	1	1	f67r2	KNOWN_PROSE_CARD_IN_ASTRO	REUSE_REGISTERED_PROSE_CARD	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	okchy
