whole_sign_form	group_count	pages	learned_value_examples_de	learning_rule
aldy	1	f67r2	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest dy.	memorize as one Astro value sign; do not split final DY/Y
chekody	1	f67r2	A1_LEFT_LOCAL_FIELD_41: abgeleiteter Klassenwert.	memorize as one Astro value sign; do not split final DY/Y
cheody	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT: Ablesewert fest.	memorize as one Astro value sign; do not split final DY/Y
chetody	1	f69v	A3_LEFT_WHEEL_RING_TEXT: abgeleiteter Platzwert.	memorize as one Astro value sign; do not split final DY/Y
chky	1	f67r2	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren; lokaler Namensrest y.	memorize as one Astro value sign; do not split final DY/Y
chocfhy	2	f67r2|f68r1	Sternplatz A1_LEFT_LOCAL_FIELD_20: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/cfhy. | Sternplatz A2_STAR_STATION_04: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/cfhy.	memorize as one Astro value sign; do not split final DY/Y
chsdy	1	f69v	A3_LEFT_WHEEL_RING_TEXT: sekundärer Zustand fest.	memorize as one Astro value sign; do not split final DY/Y
cphocthy	1	f68r1	Sternplatz A2_STAR_STATION_09: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest cp/cthy.	memorize as one Astro value sign; do not split final DY/Y
dchetay	1	f67r2	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	memorize as one Astro value sign; do not split final DY/Y
dolchedy	1	f68r1	Sternplatz A2_STAR_STATION_28: im selben Ring, Band oder Satz fortsetzen + Wert oder Platzbezug uebertragen; lokaler Namensrest d/y.	memorize as one Astro value sign; do not split final DY/Y
dolchsody	1	f67r2	Sternplatz A1_LEFT_LOCAL_FIELD_15: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest d/chsody.	memorize as one Astro value sign; do not split final DY/Y
eesydy	1	f67r2	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	memorize as one Astro value sign; do not split final DY/Y
eykeody	1	f69v	A3_LEFT_WHEEL_RING_TEXT: ausgewählter Klassenplatz.	memorize as one Astro value sign; do not split final DY/Y
ocphy	1	f68r1	A2_STAR_STATION_23: Grundauswahl.	memorize as one Astro value sign; do not split final DY/Y
odchecthy	1	f68r1	A2_STAR_STATION_01: feste abgeleitete Bedingung.	memorize as one Astro value sign; do not split final DY/Y
oeeody	1	f68r1	Sternplatz A2_STAR_STATION_22: lange oder volle Diagrammstufe; lokaler Namensrest o/ody.	memorize as one Astro value sign; do not split final DY/Y
oeesy	1	f69v	Radstelle A3_LEFT_RADIAL_SLOT_06: lange oder volle Diagrammstufe; lokaler Namensrest o/sy.	memorize as one Astro value sign; do not split final DY/Y
ofydy	1	f67r2	A1_LEFT_LOCAL_FIELD_44: fester Grundlichtwert.	memorize as one Astro value sign; do not split final DY/Y
okardy	1	f68r1	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dy.	memorize as one Astro value sign; do not split final DY/Y
okchdy	1	f68r1	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen; lokaler Namensrest y.	memorize as one Astro value sign; do not split final DY/Y
okedy	1	f69v	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest edy.	memorize as one Astro value sign; do not split final DY/Y
okeeody	2	f67r2|f69v	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest ody. | Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest ody.	memorize as one Astro value sign; do not split final DY/Y
okeody	1	f69v	Radstelle A3_LEFT_RADIAL_SLOT_26: Diagrammposten setzen oder aktivieren; lokaler Namensrest eody.	memorize as one Astro value sign; do not split final DY/Y
okody	2	f69v	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest ody. | Radstelle A3_LEFT_RADIAL_SLOT_08: Diagrammposten setzen oder aktivieren; lokaler Namensrest ody.	memorize as one Astro value sign; do not split final DY/Y
okoldy	1	f68r1	Sternplatz A2_STAR_STATION_20: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dy.	memorize as one Astro value sign; do not split final DY/Y
opcholdy	1	f67r2	Sternplatz A1_LEFT_LOCAL_FIELD_31: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opch/dy.	memorize as one Astro value sign; do not split final DY/Y
otcheody	1	f68r1	Sternplatz A2_STAR_STATION_02: naechster Platz oder folgende Bedingung; lokaler Namensrest cheody.	memorize as one Astro value sign; do not split final DY/Y
oteody	1	f69v	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung; lokaler Namensrest eody.	memorize as one Astro value sign; do not split final DY/Y
