world	edition	grammar	paragraph	target	target_form	parent_form	parent_portion	supporting_operations	target_assertions	new_conflicts	removed_conflicts	later_actions	later_actions_on_new_name	all_actions_on_new_name_after_binding	physical_future_differences	state_differences	alias_collisions	E_portions	R_portions	unread_to_target	prediction_group	row_status
R0001	ZL3b	B	f17v|f17v.1-f17v.23	f17v.5:4	tchol	kchor	f17v.4:1	f17v.5:1	PHYSICAL:moisture=dry:MATCH			f17v.5:6	f17v.5:6	f17v.5:2;f17v.5:6		4	0	24	23	f17v.5:3	058589e5beadeb3799a1b1550a04565375f0fa9cd3c22e386c1b34ff4c7936ba	recorded
R0002	ZL3b	J	f17v|f17v.1-f17v.23	f17v.5:4	tchol	kchor	f17v.4:1	f17v.5:1	PHYSICAL:moisture=dry:MATCH			f17v.5:6	f17v.5:6	f17v.5:2;f17v.5:6		4	0	24	23	f17v.5:3	aa09922066647b58cf123dce29f75cd02b6793347615b62d2297c39a959f83d5	recorded
R0003	ZL3b	M	f17v|f17v.1-f17v.23	f17v.5:4	tchol	kchor	f17v.4:1	f17v.5:1	PHYSICAL:moisture=dry:MATCH			f17v.5:6	f17v.5:6	f17v.5:2;f17v.5:6		4	0	24	23	f17v.5:3	aa09922066647b58cf123dce29f75cd02b6793347615b62d2297c39a959f83d5	recorded
R0004	ZL3b	B	f22v|f22v.6-f22v.16	f22v.9:4	tchol	shody	f22v.9:2	f22v.9:3	PHYSICAL:moisture=dry:MATCH							2	0	10	9		8b595ce61aba40a31f729ccc1759b8595e8041bbab61a7bca5c496290d1b56b9	recorded
R0005	ZL3b	J	f22v|f22v.6-f22v.16	f22v.9:4	tchol	shody	f22v.9:2	f22v.9:3	PHYSICAL:moisture=dry:MATCH							2	0	10	9		8b595ce61aba40a31f729ccc1759b8595e8041bbab61a7bca5c496290d1b56b9	recorded
R0006	ZL3b	M	f22v|f22v.6-f22v.16	f22v.9:4	tchol	shody	f22v.9:2	f22v.9:3	PHYSICAL:moisture=dry:MATCH							2	0	10	9		8b595ce61aba40a31f729ccc1759b8595e8041bbab61a7bca5c496290d1b56b9	recorded
R0007	ZL3b	B	f24r|f24r.1-f24r.20	f24r.11:5	qokain	otal	f24r.6:3	f24r.6:5	PHYSICAL:thermal=warm:MATCH			f24r.12:1	f24r.12:1	f24r.12:1		3	0	17	16	f24r.10:1;f24r.10:2;f24r.10:5;f24r.10:6;f24r.11:2;f24r.11:3;f24r.7:1;f24r.7:2;f24r.7:6;f24r.8:3;f24r.8:4;f24r.9:2;f24r.9:3	f293b48c635191f3ef59dc546bd0b470801e98aa637290f69b585b0f62ba9516	recorded
R0008	ZL3b	J	f24r|f24r.1-f24r.20	f24r.11:5	qokain	otal	f24r.6:3	f24r.6:5	PHYSICAL:thermal=warm:MATCH							2	0	17	16	f24r.10:1;f24r.10:2;f24r.10:5;f24r.10:6;f24r.11:2;f24r.11:3;f24r.7:1;f24r.7:2;f24r.7:6;f24r.8:3;f24r.8:4;f24r.9:2;f24r.9:3	39cfc9cd597fe5666a588c01a7568b09b1036cadd04f29c2dc48e673a711f47b	recorded
R0009	ZL3b	M	f24r|f24r.1-f24r.20	f24r.11:5	qokain	otal	f24r.6:3	f24r.6:5	PHYSICAL:thermal=warm:MATCH							2	0	17	16	f24r.10:1;f24r.10:2;f24r.10:5;f24r.10:6;f24r.11:2;f24r.11:3;f24r.7:1;f24r.7:2;f24r.7:6;f24r.8:3;f24r.8:4;f24r.9:2;f24r.9:3	39cfc9cd597fe5666a588c01a7568b09b1036cadd04f29c2dc48e673a711f47b	recorded
R0010	ZL3b	B	f86v5|f86v5.18-f86v5.25	f86v5.23:7	qokar	ykaiin	f86v5.20:6	f86v5.22:2	PHYSICAL:thermal=warm:MATCH			f86v5.23:8	f86v5.23:8	f86v5.23:8		2	0	10	9	f86v5.22:3;f86v5.22:4;f86v5.22:6;f86v5.22:7;f86v5.22:8;f86v5.22:9;f86v5.23:5	5cfa08c8dec88b87df46cb49b4b7bab866367c6b5149106fd7f9cd92a29c21a6	recorded
R0011	ZL3b	J	f86v5|f86v5.18-f86v5.25	f86v5.23:7	qokar	ykaiin	f86v5.20:6	f86v5.22:2	PHYSICAL:thermal=warm:MATCH			f86v5.23:8	f86v5.23:8	f86v5.23:8		2	0	10	9	f86v5.22:3;f86v5.22:4;f86v5.22:6;f86v5.22:7;f86v5.22:8;f86v5.22:9;f86v5.23:5	5cfa08c8dec88b87df46cb49b4b7bab866367c6b5149106fd7f9cd92a29c21a6	recorded
R0012	ZL3b	M	f86v5|f86v5.18-f86v5.25	f86v5.23:7	qokar	ykaiin	f86v5.20:6	f86v5.22:2	PHYSICAL:thermal=warm:MATCH			f86v5.23:8	f86v5.23:8	f86v5.23:8		2	0	10	9	f86v5.22:3;f86v5.22:4;f86v5.22:6;f86v5.22:7;f86v5.22:8;f86v5.22:9;f86v5.23:5	5cfa08c8dec88b87df46cb49b4b7bab866367c6b5149106fd7f9cd92a29c21a6	recorded
R0013	ZL3b	B	f93r|f93r.1-f93r.32	f93r.3:6	chody	sheo	f93r.2:6	f93r.2:3	PHYSICAL:moisture=dry:MATCH			f93r.12:1				4	0	21	20	f93r.2:10;f93r.2:11;f93r.2:8;f93r.3:1;f93r.3:3;f93r.3:4	9ba74856620a7c039c89e41156faf25737287cb85908719e84b26eb7420a5fd3	recorded
R0014	ZL3b	J	f93r|f93r.1-f93r.32	f93r.3:6	chody	sheo	f93r.2:6	f93r.2:3	PHYSICAL:moisture=dry:MATCH			f93r.12:1				4	0	21	20	f93r.2:10;f93r.2:11;f93r.2:8;f93r.3:1;f93r.3:3;f93r.3:4	9ba74856620a7c039c89e41156faf25737287cb85908719e84b26eb7420a5fd3	recorded
R0015	ZL3b	M	f93r|f93r.1-f93r.32	f93r.3:6	chody	sheo	f93r.2:6	f93r.2:3	PHYSICAL:moisture=dry:MATCH			f93r.12:1				4	0	21	20	f93r.2:10;f93r.2:11;f93r.2:8;f93r.3:1;f93r.3:3;f93r.3:4	9ba74856620a7c039c89e41156faf25737287cb85908719e84b26eb7420a5fd3	recorded
R0016	IT2a	B	f17v|f17v.1-f17v.23	f17v.5:4	tchol	kchor	f17v.4:1	f17v.5:1	PHYSICAL:moisture=dry:MATCH			f17v.5:6	f17v.5:6	f17v.5:2;f17v.5:6		4	0	25	24	f17v.5:3	759c7d4fa4e0eedb07dbfe5239600af8431c840596143c292fb9caf6f6b9a3f5	recorded
R0017	IT2a	J	f17v|f17v.1-f17v.23	f17v.5:4	tchol	kchor	f17v.4:1	f17v.5:1	PHYSICAL:moisture=dry:MATCH			f17v.5:6	f17v.5:6	f17v.5:2;f17v.5:6		4	0	25	24	f17v.5:3	453ed67a2e1509961e60d32c7f2869be19ad2607e3d64558c04973ff6d6ed762	recorded
R0018	IT2a	M	f17v|f17v.1-f17v.23	f17v.5:4	tchol	kchor	f17v.4:1	f17v.5:1	PHYSICAL:moisture=dry:MATCH			f17v.5:6	f17v.5:6	f17v.5:2;f17v.5:6		4	0	25	24	f17v.5:3	453ed67a2e1509961e60d32c7f2869be19ad2607e3d64558c04973ff6d6ed762	recorded
R0019	IT2a	B	f24r|f24r.1-f24r.20	f24r.11:5	qokain	otal	f24r.6:3	f24r.6:5	PHYSICAL:thermal=warm:MATCH			f24r.12:1	f24r.12:1	f24r.12:1		3	0	17	16	f24r.10:1;f24r.10:2;f24r.10:5;f24r.10:6;f24r.11:2;f24r.11:3;f24r.7:1;f24r.7:2;f24r.7:6;f24r.8:3;f24r.8:4;f24r.9:2;f24r.9:3	9c7269a0e1549d76f98b9e19bff3c9c2e58b803cc0e88ec52c383d4ab234f844	recorded
R0020	IT2a	J	f24r|f24r.1-f24r.20	f24r.11:5	qokain	otal	f24r.6:3	f24r.6:5	PHYSICAL:thermal=warm:MATCH							2	0	17	16	f24r.10:1;f24r.10:2;f24r.10:5;f24r.10:6;f24r.11:2;f24r.11:3;f24r.7:1;f24r.7:2;f24r.7:6;f24r.8:3;f24r.8:4;f24r.9:2;f24r.9:3	44850e417d15c1099a1c7b89ccda0c4fac10cf6576cef6ab3c7c61c7025257d7	recorded
R0021	IT2a	M	f24r|f24r.1-f24r.20	f24r.11:5	qokain	otal	f24r.6:3	f24r.6:5	PHYSICAL:thermal=warm:MATCH							2	0	17	16	f24r.10:1;f24r.10:2;f24r.10:5;f24r.10:6;f24r.11:2;f24r.11:3;f24r.7:1;f24r.7:2;f24r.7:6;f24r.8:3;f24r.8:4;f24r.9:2;f24r.9:3	44850e417d15c1099a1c7b89ccda0c4fac10cf6576cef6ab3c7c61c7025257d7	recorded
R0022	IT2a	B	f86v5|f86v5.18-f86v5.25	f86v5.23:7	qokar	ykaiin	f86v5.20:6	f86v5.22:2	PHYSICAL:thermal=warm:MATCH			f86v5.23:8	f86v5.23:8	f86v5.23:8		2	0	10	9	f86v5.22:3;f86v5.22:4;f86v5.22:6;f86v5.22:7;f86v5.22:8;f86v5.22:9;f86v5.23:5	91fd09fabea6df2f5ffbb653864e383f9d1ad1398c8041361ac54138f3853920	recorded
R0023	IT2a	J	f86v5|f86v5.18-f86v5.25	f86v5.23:7	qokar	ykaiin	f86v5.20:6	f86v5.22:2	PHYSICAL:thermal=warm:MATCH			f86v5.23:8	f86v5.23:8	f86v5.23:8		2	0	10	9	f86v5.22:3;f86v5.22:4;f86v5.22:6;f86v5.22:7;f86v5.22:8;f86v5.22:9;f86v5.23:5	91fd09fabea6df2f5ffbb653864e383f9d1ad1398c8041361ac54138f3853920	recorded
R0024	IT2a	M	f86v5|f86v5.18-f86v5.25	f86v5.23:7	qokar	ykaiin	f86v5.20:6	f86v5.22:2	PHYSICAL:thermal=warm:MATCH			f86v5.23:8	f86v5.23:8	f86v5.23:8		2	0	10	9	f86v5.22:3;f86v5.22:4;f86v5.22:6;f86v5.22:7;f86v5.22:8;f86v5.22:9;f86v5.23:5	91fd09fabea6df2f5ffbb653864e383f9d1ad1398c8041361ac54138f3853920	recorded
R0025	IT2a	B	f93r|f93r.1-f93r.32	f93r.3:6	chody	sheo	f93r.2:6	f93r.2:3	PHYSICAL:moisture=dry:MATCH			f93r.12:1				4	0	20	19	f93r.2:10;f93r.2:11;f93r.2:8;f93r.3:1;f93r.3:3;f93r.3:4	ebe5095bed44222afb85285e215e5fb3d0f10412798c2aca4295a127c5ab7e96	recorded
