edition	paragraph	location	form	hypothesis	role	amount_value	lineage_quantity	row_status
ZL3b	f6v|f6v.6-f6v.21	f6v.6:4	s	jeweils	DISTRIBUTIVE	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.7:3	daiin	Dosis Q	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.7:5	dol	Portion	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.9:2	dal	Maß	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.9:5	s	jeweils	DISTRIBUTIVE	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.13:1	yodaiin	weitere Dosis Q	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.13:3	s	jeweils	DISTRIBUTIVE	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.13:6	or	Anteil	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.15:2	s	jeweils	DISTRIBUTIVE	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.15:3	or	Anteil	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.15:5	s	jeweils	DISTRIBUTIVE	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.15:6	ain	Maßzahl P	NUMBER	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.15:7	ar	Teil	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.19:4	dor	abgemessene Menge	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.20:4	daiin	Dosis Q	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f9v|f9v.5-f9v.12	f9v.5:7	ar	Teil	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
ZL3b	f9v|f9v.5-f9v.12	f9v.7:5	daiin	Dosis Q	AMOUNT	NOT_NUMERICALLY_IDENTIFIED	NOT_BOUND	recorded
