world	event	location	form	kind	E_object	R_object	E_second	R_second	E_before	R_before	E_after	R_after	E_status	R_status	state_values_differ	debts	assertion	alias_collision	physical_values_differ	beyond_target_introduction	row_status
R0001	8	f17v.5:4	tchol	MATERIAL	f17v.5:4	f17v.4:1			{}	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	EXTERNAL_PORTION	RENAMED_EXISTING_PORTION	True			False	True	False	recorded
R0001	9	f17v.5:4	tchol	PROCESSED_NOMINAL	f17v.5:4	f17v.4:1			{}	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	INITIAL_CONSTRAINT	MATCH	True		PHYSICAL:moisture=dry	False	True	False	recorded
R0001	10	f17v.5:2	chol	ACTION	f17v.5:4	f17v.4:1			"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED	True	UNREAD_BETWEEN:f17v.5:3	"{""axis"":""moisture"",""value"":""dry""}"	False	False	True	recorded
R0001	11	f17v.5:6	ckhy	ACTION	f17v.5:4	f17v.4:1			"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	True			False	False	True	recorded
R0002	8	f17v.5:4	tchol	MATERIAL	f17v.5:4	f17v.4:1			{}	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	EXTERNAL_PORTION	RENAMED_EXISTING_PORTION	True			False	True	False	recorded
R0002	9	f17v.5:4	tchol	PROCESSED_NOMINAL	f17v.5:4	f17v.4:1			{}	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	INITIAL_CONSTRAINT	MATCH	True		PHYSICAL:moisture=dry	False	True	False	recorded
R0002	10	f17v.5:2	chol	ACTION	f17v.5:4	f17v.4:1			"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED	True	UNREAD_BETWEEN:f17v.5:3	"{""axis"":""moisture"",""value"":""dry""}"	False	False	True	recorded
R0002	11	f17v.5:6	ckhy	ACTION	f17v.5:4	f17v.4:1			"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	True			False	False	True	recorded
R0003	8	f17v.5:4	tchol	MATERIAL	f17v.5:4	f17v.4:1			{}	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	{}	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	EXTERNAL_PORTION	RENAMED_EXISTING_PORTION	True			False	True	False	recorded
R0003	9	f17v.5:4	tchol	PROCESSED_NOMINAL	f17v.5:4	f17v.4:1			{}	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	INITIAL_CONSTRAINT	MATCH	True		PHYSICAL:moisture=dry	False	True	False	recorded
R0003	10	f17v.5:2	chol	ACTION	f17v.5:4	f17v.4:1			"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED	True	UNREAD_BETWEEN:f17v.5:3	"{""axis"":""moisture"",""value"":""dry""}"	False	False	True	recorded
R0003	11	f17v.5:6	ckhy	ACTION	f17v.5:4	f17v.4:1			"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:moisture"":""dry""}"	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	True			False	False	True	recorded
R0004	16	f22v.9:4	tchol	MATERIAL	f22v.9:4	f22v.9:2			{}	"{""PHYSICAL:moisture"":""dry""}"	{}	"{""PHYSICAL:moisture"":""dry""}"	EXTERNAL_PORTION	RENAMED_EXISTING_PORTION	True			False	True	False	recorded
