semantic_family	component_recipe	semantic_rule_de	copy_choice_de	owner_alone_sufficient	unseen_owner_rule
SEM008	OK+Y	Ein Rezept OK+Y; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	NO	MASTER_EXEMPLAR_REQUIRED
SEM012	OL	Ein Rezept OL; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	YES_IN_FIXED_SCOPE	MASTER_EXEMPLAR_REQUIRED
SEM030	SH+EE+Y	Ein Rezept SH+EE+Y; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	YES_IN_FIXED_SCOPE	MASTER_EXEMPLAR_REQUIRED
SEM035	OT+Y	Ein Rezept OT+Y; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	YES_IN_FIXED_SCOPE	MASTER_EXEMPLAR_REQUIRED
SEM036	OK+OL	Ein Rezept OK+OL; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	YES_IN_FIXED_SCOPE	MASTER_EXEMPLAR_REQUIRED
SEM041	CHD+Y	Ein Rezept CHD+Y; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	NO	MASTER_EXEMPLAR_REQUIRED
SEM045	CHK+EE+Y	Ein Rezept CHK+EE+Y; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	YES_IN_FIXED_SCOPE	MASTER_EXEMPLAR_REQUIRED
SEM074	CHD+DY	Ein Rezept CHD+DY; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	NO	MASTER_EXEMPLAR_REQUIRED
SEM080	OK+CHD+DY	Ein Rezept OK+CHD+DY; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	NO	MASTER_EXEMPLAR_REQUIRED
SEM138	OT+CHD+DY	Ein Rezept OT+CHD+DY; keine Bedeutungsaufspaltung.	Exakte Unterkarte aus Besitzer-/Locus-Schublade oder Meisterexemplar waehlen.	YES_IN_FIXED_SCOPE	MASTER_EXEMPLAR_REQUIRED
