semantic_family	component_recipe	working_reading_de	exact_card_subfamilies	exact_card_ids	surface_inventory	events	pages	records	merge_status	same_owner_uses_multiple_subfamilies	same_owner_examples
SEM001	CH+E+Y	ABNEHMEN · KURZ · DIES	1	PROC001	dchey	1	f10r	H1	SINGLE_EXACT_CARD	NO	NONE
SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	1	PROC002	cthoor	1	f10r	H1	SINGLE_EXACT_CARD	NO	NONE
SEM003	AR	QUELLE	1	PROC003	char|dar|sar	5	f10r|f81v|f82r|f83r	B1|B2|B3|H1|H2	SINGLE_EXACT_CARD	NO	NONE
SEM004	T+Y	EINTRAGEN · DIES	1	PROC004	chety|chty	2	f10r|f83r	B3|H1	SINGLE_EXACT_CARD	NO	NONE
SEM005	OS	FACH	1	PROC005	os	1	f10r	H1	SINGLE_EXACT_CARD	NO	NONE
SEM006	CH+AIR	ABNEHMEN · LAUF	1	PROC006	chair	1	f10r	H1	SINGLE_EXACT_CARD	NO	NONE
SEM007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	1	PROC007	otytchol	1	f10r	H1	SINGLE_EXACT_CARD	NO	NONE
SEM008	OK+Y	ANSETZEN · DIES	2	PROC008|PROC011	choky|oky|qoky || chokchy|okchy|qokchy	13	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	PROVISIONAL_SEMANTIC_MERGE__EXEMPLAR_CHOICE_REQUIRED	YES	abgebildete breit gezähnte radialblütige Pflanze | abgebildete mehrköpfige stachelige Pflanze
SEM009	AIIN	MASS	1	PROC009	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	SINGLE_EXACT_CARD	NO	NONE
SEM010	E+T+Y	KURZ · EINTRAGEN · DIES	1	PROC010	etyd	1	f10r	H1	SINGLE_EXACT_CARD	NO	NONE
SEM011	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	1	PROC012	qotchol	1	f10r	H1	SINGLE_EXACT_CARD	NO	NONE
SEM012	OL	FORTSETZEN	2	PROC013|PROC115	cheol|chol|ol|qol|sol|tol || ls	20	f10r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE
SEM013	CTH+Y	BEREIT · DIES	1	PROC014	checthy|cthy|shcthy	7	f10r|f11r|f83r	B3|H1|H2|H3	SINGLE_EXACT_CARD	NO	NONE
SEM014	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	1	PROC015	ycheor	1	f10r	H2	SINGLE_EXACT_CARD	NO	NONE
SEM015	OR	ANSATZ	1	PROC016	chor|or|shor|sor	7	f10r|f55v|f83r	B3|B4|H2|H4	SINGLE_EXACT_CARD	NO	NONE
SEM016	CTH+AIIN	BEREIT · MASS	1	PROC017	cthaiin	1	f10r	H2	SINGLE_EXACT_CARD	NO	NONE
SEM017	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	1	PROC018	qoctholy	1	f10r	H2	SINGLE_EXACT_CARD	NO	NONE
SEM018	Y	DIES	1	PROC019	chey|chy|dy|shy|sy|y	18	f10r|f11r|f55v|f81v|f82r|f83r	B1|B2|B3|B4|B6|H2|H3|H4	SINGLE_EXACT_CARD	NO	NONE
SEM019	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	1	PROC020	otchor|qotchor	2	f10r|f56r	H2|H5	SINGLE_EXACT_CARD	NO	NONE
SEM020	OT+OL	DANACH · FORTSETZEN	1	PROC021	otol	1	f10r	H2	SINGLE_EXACT_CARD	NO	NONE
SEM021	OL+OR	FORTSETZEN · ANSATZ	1	PROC022	cholor|olor	2	f10r|f81v	B1|H2	SINGLE_EXACT_CARD	NO	NONE
SEM022	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	1	PROC023	oykchor	1	f10r	H2	SINGLE_EXACT_CARD	NO	NONE
SEM023	K+IIN	ZUDOSIEREN · STUFE	1	PROC024	kaiiin	1	f10r	H2	SINGLE_EXACT_CARD	NO	NONE
SEM024	CH+O+AIIN	ABNEHMEN · GANG · MASS	1	PROC025	chodaiin	1	f10r	H2	SINGLE_EXACT_CARD	NO	NONE
SEM025	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	1	PROC026	tshol	1	f11r	H3	SINGLE_EXACT_CARD	NO	NONE
SEM026	SH+O+AL	HALTEN · GANG · ZIEL	1	PROC027	schoal	1	f11r	H3	SINGLE_EXACT_CARD	NO	NONE
SEM027	CFH+Y	AUSWRINGEN · DIES	1	PROC028	cfhy	1	f11r	H3	SINGLE_EXACT_CARD	NO	NONE
SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	1	PROC029	shfydaiin	1	f11r	H3	SINGLE_EXACT_CARD	NO	NONE
SEM029	P+Y	EINFUELLEN · DIES	1	PROC030	cphy	1	f11r	H3	SINGLE_EXACT_CARD	NO	NONE
SEM030	SH+EE+Y	HALTEN · LANG · DIES	2	PROC031|PROC157	cheey|shey || sheey	5	f11r|f82r|f83r	B2|B4|H3	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE
SEM031	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	1	PROC032	tchody	1	f11r	H3	SINGLE_EXACT_CARD	NO	NONE
SEM032	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	1	PROC033	shoyty	1	f11r	H3	SINGLE_EXACT_CARD	NO	NONE
