semantic_family	component_recipe	working_reading_de	exact_card_ids	event_counts_by_card	surfaces_by_card	variant_kind	merge_status	same_owner_uses_both	same_owner_examples	semantic_split_selected
SEM008	OK+Y	ANSETZEN · DIES	PROC008|PROC011	PROC008:10|PROC011:3	PROC008:choky|oky|qoky || PROC011:chokchy|okchy|qokchy	ITEM_CARRIER_EXTENSION	PROVISIONAL_SEMANTIC_MERGE__EXEMPLAR_CHOICE_REQUIRED	YES	abgebildete breit gezähnte radialblütige Pflanze | abgebildete mehrköpfige stachelige Pflanze	NO
SEM012	OL	FORTSETZEN	PROC013|PROC115	PROC013:19|PROC115:1	PROC013:cheol|chol|ol|qol|sol|tol || PROC115:ls	LOCAL_WHOLE_ALLOGRAPH	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE	NO
SEM030	SH+EE+Y	HALTEN · LANG · DIES	PROC031|PROC157	PROC031:4|PROC157:1	PROC031:cheey|shey || PROC157:sheey	E_STRETCH_ALLOGRAPH	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE	NO
SEM035	OT+Y	DANACH · DIES	PROC036|PROC065	PROC036:1|PROC065:2	PROC036:qotchy || PROC065:otchey	ITEM_CARRIER_EXTENSION	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE	NO
SEM036	OK+OL	ANSETZEN · FORTSETZEN	PROC037|PROC160	PROC037:1|PROC160:1	PROC037:okchol || PROC160:qokol	ENTRY_AND_CARRIER_ALLOGRAPH	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE	NO
SEM041	CHD+Y	UMSETZEN · DIES	PROC042|PROC133	PROC042:11|PROC133:1	PROC042:chdy|chedy || PROC133:chedchy	ITEM_CARRIER_EXTENSION	PROVISIONAL_SEMANTIC_MERGE__EXEMPLAR_CHOICE_REQUIRED	YES	mittlere Randfigur im runden Gefäß	NO
SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	PROC046|PROC107	PROC046:2|PROC107:1	PROC046:cheeky || PROC107:chkeey	CORE_SPELLING_ALLOGRAPH	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE	NO
SEM074	CHD+DY	UMSETZEN · SCHLUSS	PROC076|PROC094	PROC076:4|PROC094:1	PROC076:dchedy|schedy|tchedy || PROC094:dchdy	E_JOINT_VS_COMPACT	PROVISIONAL_SEMANTIC_MERGE__EXEMPLAR_CHOICE_REQUIRED	YES	gemeinsame zweireihige Figuren-/Beckenstation	NO
SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	PROC082|PROC091	PROC082:3|PROC091:2	PROC082:qokchdy || PROC091:okchedy|qokchedy	E_JOINT_VS_COMPACT	PROVISIONAL_SEMANTIC_MERGE__EXEMPLAR_CHOICE_REQUIRED	YES	gemeinsame zweireihige Figuren-/Beckenstation | unverbundener Zwischenbereich	NO
SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	PROC145|PROC166	PROC145:2|PROC166:1	PROC145:otchedy|qotchedy || PROC166:otchdy	E_JOINT_VS_COMPACT	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE	NO
