exact_card_id	semantic_family	component_recipe	working_reading_de	surfaces	events	copy_subfamily_preserved
PROC001	SEM001	CH+E+Y	ABNEHMEN · KURZ · DIES	dchey	1	YES
PROC002	SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	cthoor	1	YES
PROC003	SEM003	AR	QUELLE	char|dar|sar	5	YES
PROC004	SEM004	T+Y	EINTRAGEN · DIES	chety|chty	2	YES
PROC005	SEM005	OS	FACH	os	1	YES
PROC006	SEM006	CH+AIR	ABNEHMEN · LAUF	chair	1	YES
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	otytchol	1	YES
PROC008	SEM008	OK+Y	ANSETZEN · DIES	choky|oky|qoky	10	YES
PROC011	SEM008	OK+Y	ANSETZEN · DIES	chokchy|okchy|qokchy	3	YES
PROC009	SEM009	AIIN	MASS	aiin|chaiin|daiin|saiin|taiin	20	YES
PROC010	SEM010	E+T+Y	KURZ · EINTRAGEN · DIES	etyd	1	YES
PROC012	SEM011	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	qotchol	1	YES
PROC013	SEM012	OL	FORTSETZEN	cheol|chol|ol|qol|sol|tol	19	YES
PROC115	SEM012	OL	FORTSETZEN	ls	1	YES
PROC014	SEM013	CTH+Y	BEREIT · DIES	checthy|cthy|shcthy	7	YES
PROC015	SEM014	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	ycheor	1	YES
PROC016	SEM015	OR	ANSATZ	chor|or|shor|sor	7	YES
PROC017	SEM016	CTH+AIIN	BEREIT · MASS	cthaiin	1	YES
PROC018	SEM017	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	qoctholy	1	YES
PROC019	SEM018	Y	DIES	chey|chy|dy|shy|sy|y	18	YES
PROC020	SEM019	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	otchor|qotchor	2	YES
PROC021	SEM020	OT+OL	DANACH · FORTSETZEN	otol	1	YES
PROC022	SEM021	OL+OR	FORTSETZEN · ANSATZ	cholor|olor	2	YES
PROC023	SEM022	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	oykchor	1	YES
PROC024	SEM023	K+IIN	ZUDOSIEREN · STUFE	kaiiin	1	YES
PROC025	SEM024	CH+O+AIIN	ABNEHMEN · GANG · MASS	chodaiin	1	YES
PROC026	SEM025	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	tshol	1	YES
PROC027	SEM026	SH+O+AL	HALTEN · GANG · ZIEL	schoal	1	YES
PROC028	SEM027	CFH+Y	AUSWRINGEN · DIES	cfhy	1	YES
PROC029	SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	shfydaiin	1	YES
PROC030	SEM029	P+Y	EINFUELLEN · DIES	cphy	1	YES
PROC031	SEM030	SH+EE+Y	HALTEN · LANG · DIES	cheey|shey	4	YES
PROC157	SEM030	SH+EE+Y	HALTEN · LANG · DIES	sheey	1	YES
PROC032	SEM031	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	tchody	1	YES
PROC033	SEM032	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	shoyty	1	YES
PROC034	SEM033	RESUME_CARD	WIEDERAUFNEHMEN	dchol|schol	2	YES
PROC035	SEM034	K+Y	ZUDOSIEREN · DIES	kchy	1	YES
PROC036	SEM035	OT+Y	DANACH · DIES	qotchy	1	YES
PROC065	SEM035	OT+Y	DANACH · DIES	otchey	2	YES
PROC037	SEM036	OK+OL	ANSETZEN · FORTSETZEN	okchol	1	YES
PROC160	SEM036	OK+OL	ANSETZEN · FORTSETZEN	qokol	1	YES
PROC038	SEM037	OK+AIIN	ANSETZEN · MASS	okaiin|qokaiin	9	YES
PROC039	SEM038	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	ykain	1	YES
PROC040	SEM039	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	ykan	1	YES
PROC041	SEM040	O+DY	GANG · SCHLUSS	ody	1	YES
PROC042	SEM041	CHD+Y	UMSETZEN · DIES	chdy|chedy	11	YES
PROC133	SEM041	CHD+Y	UMSETZEN · DIES	chedchy	1	YES
PROC043	SEM042	TALAM	VERWAHREN	talam	1	YES
PROC044	SEM043	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	ykaiin	1	YES
PROC045	SEM044	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	cheoar	1	YES
PROC046	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	cheeky	2	YES
PROC107	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	chkeey	1	YES
PROC047	SEM046	OL+DY	FORTSETZEN · SCHLUSS	oldy	2	YES
PROC048	SEM047	OK+AL	ANSETZEN · ZIEL	okal|qokal	6	YES
PROC049	SEM048	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	oltchy	1	YES
PROC050	SEM049	OR+AIN	ANSATZ · PORTION	orain	1	YES
PROC051	SEM050	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	chochor	1	YES
PROC052	SEM051	HO	ZUTAT	cho|sho	4	YES
PROC053	SEM052	HO+AL+Y	ZUTAT · ZIEL · DIES	chodaly	1	YES
PROC054	SEM053	K+OL	ZUDOSIEREN · FORTSETZEN	kchol	1	YES
PROC055	SEM054	AL	ZIEL	al|chal|cheal|dal|sal|tal	10	YES
PROC056	SEM055	HO+Y	ZUTAT · DIES	choy	1	YES
PROC057	SEM056	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	cheeckhody	1	YES
PROC058	SEM057	SH	HALTEN	sh	1	YES
PROC059	SEM058	K+E+Y	ZUDOSIEREN · KURZ · DIES	kchey	1	YES
PROC060	SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	qokokchy	1	YES
PROC061	SEM060	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	chokcheo	1	YES
PROC062	SEM061	K+AL	ZUDOSIEREN · ZIEL	kchal	1	YES
PROC063	SEM062	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	kchoar	1	YES
PROC064	SEM063	OT+O+AIN	DANACH · GANG · PORTION	sotodan	1	YES
PROC066	SEM064	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	keol	1	YES
PROC067	SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	qokedy	8	YES
PROC068	SEM066	K+AIR	ZUDOSIEREN · LAUF	kair	1	YES
PROC069	SEM067	K+AIN	ZUDOSIEREN · PORTION	chkain|kain	3	YES
PROC070	SEM068	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	olkain|qolkain	2	YES
PROC071	SEM069	R+OL	KUEHLEN · FORTSETZEN	rol	1	YES
PROC072	SEM070	L	WEITERLEITEN	dl	2	YES
PROC073	SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	sheckhal	1	YES
PROC074	SEM072	OK+EE+AL	ANSETZEN · LANG · ZIEL	qokeedal	1	YES
PROC075	SEM073	CKH+Y	DURCHLASS · DIES	chckhy|shckhy	4	YES
PROC076	SEM074	CHD+DY	UMSETZEN · SCHLUSS	dchedy|schedy|tchedy	4	YES
PROC094	SEM074	CHD+DY	UMSETZEN · SCHLUSS	dchdy	1	YES
PROC077	SEM075	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	sshkchdy	1	YES
PROC078	SEM076	SHED+DY	ABSETZEN · SCHLUSS	cheedy|shedy|tedy	12	YES
PROC079	SEM077	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	olchedy|qolchedy	3	YES
PROC080	SEM078	OK+AIN	ANSETZEN · PORTION	okain|qokain	7	YES
PROC081	SEM079	R+AL	KUEHLEN · ZIEL	ral	1	YES
PROC082	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	qokchdy	3	YES
PROC091	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	okchedy|qokchedy	2	YES
PROC083	SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	cheky	3	YES
PROC084	SEM082	LSH+O	WASCHEN · GANG	lsho	1	YES
PROC085	SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	okey|qokey	2	YES
PROC086	SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	lshedy	2	YES
PROC087	SEM085	SOLK+Y	AUFFANGEN · DIES	qolky	1	YES
PROC088	SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	lchedal	1	YES
PROC089	SEM087	OT+AR	DANACH · QUELLE	otar	1	YES
PROC090	SEM088	T+E+Y	EINTRAGEN · KURZ · DIES	ytey	1	YES
PROC092	SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	okeey|qokeey	7	YES
PROC093	SEM090	E+OL	KURZ · FORTSETZEN	teol	1	YES
PROC095	SEM091	L+Y	WEITERLEITEN · DIES	ly	1	YES
PROC096	SEM092	SH+E+OL	HALTEN · KURZ · FORTSETZEN	dsheol	1	YES
PROC097	SEM093	O+IIN	GANG · STUFE	oiiin|soiiin	2	YES
PROC098	SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	olkeedy|solkeedy	3	YES
PROC099	SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	shckhedy	3	YES
PROC100	SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	qokeedy	10	YES
PROC101	SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	lcheckhy	1	YES
PROC102	SEM098	L+CHD	WEITERLEITEN · UMSETZEN	lched	1	YES
PROC103	SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	lcheckhedy	1	YES
PROC104	SEM100	OK+AL+Y	ANSETZEN · ZIEL · DIES	qokaly	1	YES
PROC105	SEM101	SOLK+AIIN	AUFFANGEN · MASS	solkaiin	1	YES
PROC106	SEM102	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	octheol	1	YES
PROC108	SEM103	L+DY	WEITERLEITEN · SCHLUSS	ldy	2	YES
PROC109	SEM104	OT+EE+Y	DANACH · LANG · DIES	oteey	2	YES
PROC110	SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	sheckhy	1	YES
PROC111	SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	dshedy	1	YES
PROC112	SEM107	OT+AIIN	DANACH · MASS	otaiin|sotaiin	3	YES
PROC113	SEM108	OK+AR	ANSETZEN · QUELLE	qokar	1	YES
PROC114	SEM109	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	solshedy	1	YES
PROC116	SEM110	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	lchy	1	YES
PROC117	SEM111	CTH+E+Y	BEREIT · KURZ · DIES	qcthey|shcthey	2	YES
PROC118	SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	lcheey	1	YES
PROC119	SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	qokeeedy	1	YES
PROC120	SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	lchedy	8	YES
PROC121	SEM115	L+AR	WEITERLEITEN · QUELLE	lar	1	YES
PROC122	SEM116	SH+E+Y	HALTEN · KURZ · DIES	tshey	1	YES
PROC123	SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	lchedar	1	YES
PROC124	SEM118	CH+E+S	ABNEHMEN · KURZ · TEILEN	ches	1	YES
PROC125	SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	pchedy	1	YES
PROC126	SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	rsheal	1	YES
PROC127	SEM121	AL+DY	ZIEL · SCHLUSS	daldy	1	YES
PROC128	SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	rshedy	1	YES
PROC129	SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	qoteedy	2	YES
PROC130	SEM124	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	lochedy	1	YES
PROC131	SEM125	OT+AL	DANACH · ZIEL	otal|qotal	3	YES
PROC132	SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	chkeedy	1	YES
PROC134	SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	pchedal	1	YES
PROC135	SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	otedy	2	YES
PROC136	SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	shecthedchy	1	YES
PROC137	SEM130	AR+Y	QUELLE · DIES	chary	1	YES
PROC138	SEM131	OK+AIR	ANSETZEN · LAUF	okair	1	YES
PROC139	SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	sheedy	1	YES
PROC140	SEM133	L+O	WEITERLEITEN · GANG	lo	1	YES
PROC141	SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	qokshedy	1	YES
PROC142	SEM135	SHED+AL	ABSETZEN · ZIEL	shedal	2	YES
PROC143	SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	shecthy	1	YES
PROC144	SEM137	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	dalchdy	1	YES
PROC145	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	otchedy|qotchedy	2	YES
PROC166	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	otchdy	1	YES
PROC146	SEM139	EE+AR	LANG · QUELLE	cheedar	1	YES
PROC147	SEM140	L+AIIN	WEITERLEITEN · MASS	chldaiin	1	YES
PROC148	SEM141	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	chealror	1	YES
PROC149	SEM142	EEE+T+Y	VOLL · EINTRAGEN · DIES	cheeety	1	YES
PROC150	SEM143	CHD+AIR	UMSETZEN · LAUF	schedair	1	YES
PROC151	SEM144	CHD+AIN	UMSETZEN · PORTION	chedain	1	YES
PROC152	SEM145	OT+E+AIIN	DANACH · KURZ · MASS	qotedaiin	1	YES
PROC153	SEM146	OL+AL+Y	FORTSETZEN · ZIEL · DIES	olsaly	1	YES
PROC154	SEM147	OL+Y	FORTSETZEN · DIES	qolchey	1	YES
PROC155	SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	qokylddy	1	YES
PROC156	SEM149	AIN	PORTION	dain	2	YES
PROC158	SEM150	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	okeeol	1	YES
PROC159	SEM151	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	lkedy	1	YES
PROC161	SEM152	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	qockhey	1	YES
PROC162	SEM153	AIR+Y+DY	LAUF · DIES · SCHLUSS	dairydy	1	YES
PROC163	SEM154	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	chckhal	1	YES
PROC164	SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	solkey	1	YES
PROC165	SEM156	K+AR	ZUDOSIEREN · QUELLE	skar	1	YES
