pair_id	scope_class	source_record_id	target_record_id	source_physical_page	target_physical_page	register	active_model_sequence	fluent_frame_class	contrast_frame_id	wildcard_component_frame	changed_flat_component_ordinal	component_a	component_b	source_surface_sequence	target_surface_sequence	source_component_trace_de	target_component_trace_de	source_fluent_reading_de	target_fluent_reading_de	source_fluent_names_normalized_de	target_fluent_names_normalized_de	phrase_edit_block_count	phrase_edit_token_count	phrase_change_signature_de	component_a_cue_visible	component_b_cue_visible	meaning_change_visible	same_register	same_active_model	same_readable_frame_class	same_event_boundary_shape	single_functional_component_delta	source_support_tier	target_support_tier	extension_pair_id
G486-P001	SAME_REGISTER_CROSS_PAGE	G475-R002	G475-R022	f71v	f72r	CELESTIAL	CATALOGUE	CATALOGUE_SEQUENCE	G486-CF2D24E6587A	AUSGANG || * · {N1}	2	AUSGANG	ZIELORT	char|arom	char|alif	AUSGANG || AUSGANG · {N1}	AUSGANG || ZIELORT · {N1}	Katalogfolge: Eintrag »char« mit Ausgangszuordnung; Sternstelle »om« mit Ausgangszuordnung.	Katalogfolge: Eintrag »char« mit Ausgangszuordnung; Sternstelle »if« mit Zielzuordnung.	Katalogfolge: Eintrag »{NAME}« mit Ausgangszuordnung; Sternstelle »{NAME}« mit Ausgangszuordnung.	Katalogfolge: Eintrag »{NAME}« mit Ausgangszuordnung; Sternstelle »{NAME}« mit Zielzuordnung.	1	2	Ausgangszuordnung=>Zielzuordnung	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-XP001
G486-P002	SAME_REGISTER_CROSS_PAGE	G475-R018	G475-R003	f72r	f71v	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFABD87F64C1	{N1} · * · POSTEN	2	ANTEIL	ZIELORT	chdaiirdainy	chfaly	{N1} · ANTEIL · POSTEN	{N1} · ZIELORT · POSTEN	Sternstelle »chdaiird« mit Anteils- und Postenangabe.	Sternstelle »chf« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit Anteils- und Postenangabe.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	1	2	Anteils-=>Zielzuordnung	YES	YES	YES	YES	YES	YES	YES	YES	ALL_EVENTS_ROLE_RECURRENT	RECURRENT_STRICT_WHOLE_RECORD	G486-XP002
G486-P003	SAME_REGISTER_CROSS_PAGE	G475-R003	G475-R053	f71v	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFF6632C9BCD	{N1} · ZIELORT · *	3	POSTEN	ZIELORT	chfaly	ralal	{N1} · ZIELORT · POSTEN	{N1} · ZIELORT · ZIELORT	Sternstelle »chf« mit Zielzuordnung und Postenangabe.	Sternstelle »r« mit zweifacher Zielzuordnung.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit zweifacher Zielzuordnung.	2	3	∅=>zweifacher || und Postenangabe=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-XP003
G486-P004	SAME_REGISTER_CROSS_PAGE	G475-R003	G475-R079	f71v	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFF6632C9BCD	{N1} · ZIELORT · *	3	POSTEN	ZIELORT	chfaly	opalal	{N1} · ZIELORT · POSTEN	{N1} · ZIELORT · ZIELORT	Sternstelle »chf« mit Zielzuordnung und Postenangabe.	Sternstelle »op« mit zweifacher Zielzuordnung.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit zweifacher Zielzuordnung.	2	3	∅=>zweifacher || und Postenangabe=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-XP004
G486-P005	SAME_REGISTER_CROSS_PAGE	G475-R004	G475-R038	f71v	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CF690D20AB24	SETZEN · * · AUSGANG	2	FORTSETZEN	ZIELORT	okolar	okalar	SETZEN · FORTSETZEN · AUSGANG	SETZEN · ZIELORT · AUSGANG	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	2	14	Führe das Setzen des Eintrags=>Setze den Eintrag zur Zielposition , ausgehend || aus fort=>∅	YES	YES	YES	YES	YES	YES	YES	YES	SAME_MODEL_COMPONENT_TILE	RECURRENT_STRICT_WHOLE_RECORD	G486-XP005
G486-P006	SAME_REGISTER_CROSS_PAGE	G475-R004	G475-R077	f71v	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CF690D20AB24	SETZEN · * · AUSGANG	2	FORTSETZEN	ZIELORT	okolar	okalar	SETZEN · FORTSETZEN · AUSGANG	SETZEN · ZIELORT · AUSGANG	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	2	14	Führe das Setzen des Eintrags=>Setze den Eintrag zur Zielposition , ausgehend || aus fort=>∅	YES	YES	YES	YES	YES	YES	YES	YES	SAME_MODEL_COMPONENT_TILE	RECURRENT_STRICT_WHOLE_RECORD	G486-XP006
G486-P007	SAME_REGISTER_CROSS_PAGE	G475-R034	G475-R008	f72r	f71v	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFE7F7FC6FF3	SETZEN · AUSGANG · *	3	HIER	WERT	okaram	okaraiin	SETZEN · AUSGANG · HIER	SETZEN · AUSGANG · WERT	Setze den Eintrag von der Ausgangsposition aus an der bezeichneten Stelle.	Setze den Positionswert von der Ausgangsposition aus.	Setze den Eintrag von der Ausgangsposition aus an der bezeichneten Stelle.	Setze den Positionswert von der Ausgangsposition aus.	2	6	Eintrag=>Positionswert || an der bezeichneten Stelle=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-XP007
G486-P008	SAME_REGISTER_CROSS_PAGE	G475-R055	G475-R014	f72r	f71v	CELESTIAL	COORDINATE	COORDINATE_AFTER	G486-CFD1C1797F76	DANACH · ZIELORT · *	3	POSTEN	WERT	otalshy	otalaiin	DANACH · ZIELORT · POSTEN	DANACH · ZIELORT · WERT	Danach führt die Adressspur von der Zielposition zum Positionsposten.	Danach führt die Adressspur über die Zielposition zum Positionswert.	Danach führt die Adressspur von der Zielposition zum Positionsposten.	Danach führt die Adressspur über die Zielposition zum Positionswert.	2	6	von der=>über die || Positionsposten=>Positionswert	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-XP008
G486-P040	SAME_REGISTER_CROSS_PAGE	G475-R129	G475-R094	f89r	f88v	PHARMA	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFE47C6211C9	SETZEN · * · {N1}	2	HALTEN	ZIELORT	okshdchos	okalyd	SETZEN · HALTEN · {N1}	SETZEN · ZIELORT · {N1}	Setze den Drogeneintrag »dchos« als Ansatz an und halte ihn.	Setze den Drogeneintrag »yd« als Ansatz am Zielgefäß an.	Setze den Drogeneintrag »{NAME}« als Ansatz an und halte ihn.	Setze den Drogeneintrag »{NAME}« als Ansatz am Zielgefäß an.	2	5	∅=>am Zielgefäß || und halte ihn=>∅	YES	YES	YES	YES	YES	YES	YES	YES	SAME_MODEL_COMPONENT_TILE	RECURRENT_ROLE_WHOLE_RECORD	G486-XP009
G486-P041	SAME_REGISTER_CROSS_PAGE	G475-R095	G475-R113	f88v	f89r	PHARMA	INSTRUCTION	INSTRUCTION_NEHMEN	G486-CF6AE32C784A	{N1} · NEHMEN · * · POSTEN	3	EINSTELLEN	HIER	cheocthy	ykocfhy	{N1} · NEHMEN · EINSTELLEN · POSTEN	{N1} · NEHMEN · HIER · POSTEN	Nimm den Drogeneintrag »cheo« sowie den Drogenposten und stelle beide ein.	Nimm den Drogeneintrag »yko« sowie den Drogenposten an der bezeichneten Stelle.	Nimm den Drogeneintrag »{NAME}« sowie den Drogenposten und stelle beide ein.	Nimm den Drogeneintrag »{NAME}« sowie den Drogenposten an der bezeichneten Stelle.	1	8	und stelle beide ein=>an der bezeichneten Stelle	YES	YES	YES	YES	YES	YES	YES	YES	SAME_MODEL_COMPONENT_TILE	SAME_MODEL_COMPONENT_TILE	G486-XP010
G486-P042	SAME_REGISTER_CROSS_PAGE	G475-R096	G475-R118	f88v	f89r	PHARMA	CATALOGUE	CATALOGUE_ENTRY	G486-CF97F33A67C9	{N1} · *	2	EINHEIT	HIER	cpheor	opchosam	{N1} · EINHEIT	{N1} · HIER	Droge »cphe« mit Einheitsangabe.	Droge »opchos« mit Hier-Vermerk.	Droge »{NAME}« mit Einheitsangabe.	Droge »{NAME}« mit Hier-Vermerk.	1	2	Einheitsangabe=>Hier-Vermerk	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	SAME_MODEL_COMPONENT_TILE	G486-XP011
