rule_id	active_model_sequence	fluent_frame_class	component_a	component_b	pair_count	same_page_pair_count	cross_page_pair_count	record_count	page_count	register_count	contrast_frame_count	phrase_signature_count	phrase_change_signatures_de	all_meaning_cues_visible	rule_status	context_explanation_de	dictionary_remap_required	pair_ids	record_pairs
G486-CR01	CATALOGUE	CATALOGUE_ENTRY	ANTEIL	EINHEIT	2	0	2	3	2	1	1	1	Anteilsangabe=>Einheitsangabe	YES	EXACT_RECURRENT_WORDING_RULE	NONE	NO	G486-P043|G486-P044	G475-R128~G475-R096|G475-R131~G475-R096
G486-CR02	CATALOGUE	CATALOGUE_ENTRY	ANTEIL	HIER	3	2	1	5	2	1	2	1	Anteilsangabe=>Hier-Vermerk	YES	EXACT_RECURRENT_WORDING_RULE	NONE	NO	G486-P045|G486-P047|G486-P048	G475-R111~G475-R099|G475-R128~G475-R118|G475-R131~G475-R118
G486-CR03	CATALOGUE	CATALOGUE_ENTRY	ANTEIL	ZIELORT	2	1	1	3	2	1	1	1	Anteils-=>Zielzuordnung	YES	EXACT_RECURRENT_WORDING_RULE	NONE	NO	G486-P002|G486-P009	G475-R018~G475-R003|G475-R018~G475-R059
G486-CR04	CATALOGUE	CATALOGUE_ENTRY	AUSGANG	WERT	2	2	0	3	1	1	1	1	Ausgangszuordnung=>Wertangabe	YES	EXACT_RECURRENT_WORDING_RULE	NONE	NO	G486-P035|G486-P036	G475-R057~G475-R067|G475-R057~G475-R072
G486-CR05	CATALOGUE	CATALOGUE_ENTRY	BAHN	ZIELORT	2	2	0	3	1	1	1	1	Bahnvermerk und=>zweifacher	YES	EXACT_RECURRENT_WORDING_RULE	NONE	NO	G486-P033|G486-P039	G475-R071~G475-R053|G475-R071~G475-R079
G486-CR06	CATALOGUE	CATALOGUE_ENTRY	DANACH	EINHEIT	1	1	0	2	1	1	1	1	Folgevermerk=>Einheitsangabe	YES	SINGLE_WITNESS_WORDING_RULE	NONE	NO	G486-P018	G475-R029~G475-R081
G486-CR07	CATALOGUE	CATALOGUE_ENTRY	EINHEIT	HIER	1	0	1	2	2	1	1	1	Einheitsangabe=>Hier-Vermerk	YES	SINGLE_WITNESS_WORDING_RULE	NONE	NO	G486-P042	G475-R096~G475-R118
G486-CR08	CATALOGUE	CATALOGUE_ENTRY	HIER	ZIELORT	1	1	0	2	1	1	1	1	Hier-Vermerk=>Zielzuordnung	YES	SINGLE_WITNESS_WORDING_RULE	NONE	NO	G486-P038	G475-R061~G475-R081
G486-CR09	CATALOGUE	CATALOGUE_ENTRY	POSTEN	ZIELORT	5	3	2	6	2	1	2	2	Postenangabe=>Zielzuordnung | ∅=>zweifacher || und Postenangabe=>∅	YES	CONTEXTUAL_GERMAN_REALIZATION	Wenn beide letzten Komponenten ZIELORT sind, verdichtet die deutsche Fassung sie zu „zweifacher Zielzuordnung“. Ersetzt POSTEN eine der beiden Stellen, wird dieselbe Folge als „Zielzuordnung und Postenangabe“ ausgeschrieben. Die abweichende Wortspanne kommt daher von Zählung und Koordination, nicht von einer wechselnden Komponentenbedeutung.	NO	G486-P003|G486-P004|G486-P017|G486-P032|G486-P037	G475-R003~G475-R053|G475-R003~G475-R079|G475-R028~G475-R029|G475-R059~G475-R053|G475-R059~G475-R079
G486-CR10	CATALOGUE	CATALOGUE_SEQUENCE	AUSGANG	ZIELORT	1	0	1	2	2	1	1	1	Ausgangszuordnung=>Zielzuordnung	YES	SINGLE_WITNESS_WORDING_RULE	NONE	NO	G486-P001	G475-R002~G475-R022
G486-CR11	COORDINATE	COORDINATE_AFTER	ANTEIL	ZIELORT	1	1	0	2	1	1	1	1	vom Sektoranteil=>von der Zielposition	YES	SINGLE_WITNESS_WORDING_RULE	NONE	NO	G486-P019	G475-R031~G475-R055
G486-CR12	COORDINATE	COORDINATE_AFTER	AUSGANG	HIER	1	1	0	2	1	1	1	1	Ausgangsposition=>bezeichneten Stelle	YES	SINGLE_WITNESS_WORDING_RULE	NONE	NO	G486-P028	G475-R047~G475-R058
G486-CR13	COORDINATE	COORDINATE_AFTER	AUSGANG	ZIELORT	1	1	0	2	1	1	1	1	Ausgangsposition=>Zielposition	YES	SINGLE_WITNESS_WORDING_RULE	NONE	NO	G486-P027	G475-R047~G475-R052
