pair_id	scope_class	source_record_id	target_record_id	source_physical_page	target_physical_page	register	active_model_sequence	fluent_frame_class	contrast_frame_id	wildcard_component_frame	changed_flat_component_ordinal	component_a	component_b	source_surface_sequence	target_surface_sequence	source_component_trace_de	target_component_trace_de	source_fluent_reading_de	target_fluent_reading_de	source_fluent_names_normalized_de	target_fluent_names_normalized_de	phrase_edit_block_count	phrase_edit_token_count	phrase_change_signature_de	component_a_cue_visible	component_b_cue_visible	meaning_change_visible	same_register	same_active_model	same_readable_frame_class	same_event_boundary_shape	single_functional_component_delta	source_support_tier	target_support_tier	strict_pair_id
G486-P009	SAME_PAGE_OWNER	G475-R018	G475-R059	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFABD87F64C1	{N1} · * · POSTEN	2	ANTEIL	ZIELORT	chdaiirdainy	ainaly	{N1} · ANTEIL · POSTEN	{N1} · ZIELORT · POSTEN	Sternstelle »chdaiird« mit Anteils- und Postenangabe.	Sternstelle »ain« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit Anteils- und Postenangabe.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	1	2	Anteils-=>Zielzuordnung	YES	YES	YES	YES	YES	YES	YES	YES	ALL_EVENTS_ROLE_RECURRENT	RECURRENT_STRICT_WHOLE_RECORD	G486-SP001
G486-P010	SAME_PAGE_OWNER	G475-R034	G475-R020	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CF69E415718C	SETZEN · * · HIER	2	AUSGANG	ZIELORT	okaram	okalam	SETZEN · AUSGANG · HIER	SETZEN · ZIELORT · HIER	Setze den Eintrag von der Ausgangsposition aus an der bezeichneten Stelle.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Eintrag von der Ausgangsposition aus an der bezeichneten Stelle.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	2	6	von der Ausgangsposition aus=>∅ || ∅=>zur Zielposition	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP002
G486-P011	SAME_PAGE_OWNER	G475-R038	G475-R020	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	AUSGANG	HIER	okalar	okalam	SETZEN · ZIELORT · AUSGANG	SETZEN · ZIELORT · HIER	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	2	9	∅=>an der bezeichneten Stelle || , ausgehend von der Ausgangsposition=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP003
G486-P012	SAME_PAGE_OWNER	G475-R020	G475-R040	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	HIER	POSTEN	okalam	okaly	SETZEN · ZIELORT · HIER	SETZEN · ZIELORT · POSTEN	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Positionsposten zur Zielposition.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Positionsposten zur Zielposition.	1	6	Eintrag an der bezeichneten Stelle=>Positionsposten	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP004
G486-P013	SAME_PAGE_OWNER	G475-R020	G475-R048	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	HIER	POSTEN	okalam	okaly	SETZEN · ZIELORT · HIER	SETZEN · ZIELORT · POSTEN	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Positionsposten zur Zielposition.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Positionsposten zur Zielposition.	1	6	Eintrag an der bezeichneten Stelle=>Positionsposten	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP005
G486-P014	SAME_PAGE_OWNER	G475-R020	G475-R056	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	HIER	SCHLUSS	okalam	okaldy	SETZEN · ZIELORT · HIER	SETZEN · ZIELORT · SCHLUSS	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	2	8	an der bezeichneten Stelle=>∅ || ∅=>und schließe den Schritt	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP006
G486-P015	SAME_PAGE_OWNER	G475-R077	G475-R020	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	AUSGANG	HIER	okalar	okalam	SETZEN · ZIELORT · AUSGANG	SETZEN · ZIELORT · HIER	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	2	9	∅=>an der bezeichneten Stelle || , ausgehend von der Ausgangsposition=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP007
G486-P016	SAME_PAGE_OWNER	G475-R062	G475-R021	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_HALTEN	G486-CF35307B5E48	{N1} · * · HALTEN · {N2}	2	AUSGANG	ZIELORT	osarsheeeo	ytalshdy	{N1} · AUSGANG · HALTEN · {N2}	{N1} · ZIELORT · HALTEN · {N2}	Halte die Sternstelleneinträge »os« und »eeeo« von der Ausgangsposition aus.	Halte die Sternstelleneinträge »yt« und »dy« zur Zielposition.	Halte die Sternstelleneinträge »{NAME}« und »{NAME}« von der Ausgangsposition aus.	Halte die Sternstelleneinträge »{NAME}« und »{NAME}« zur Zielposition.	1	6	von der Ausgangsposition aus=>zur Zielposition	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP008
G486-P017	SAME_PAGE_OWNER	G475-R028	G475-R029	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFCE473265D4	DANACH · {N1} · *	3	POSTEN	ZIELORT	otchoshy	otchdal	DANACH · {N1} · POSTEN	DANACH · {N1} · ZIELORT	Sternstelle »cho« mit Folgevermerk und Postenangabe.	Sternstelle »ch« mit Folgevermerk und Zielzuordnung.	Sternstelle »{NAME}« mit Folgevermerk und Postenangabe.	Sternstelle »{NAME}« mit Folgevermerk und Zielzuordnung.	1	2	Postenangabe=>Zielzuordnung	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	SAME_MODEL_COMPONENT_TILE	G486-SP009
G486-P018	SAME_PAGE_OWNER	G475-R029	G475-R081	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CF6C88AA9F52	* · {N1} · ZIELORT	1	DANACH	EINHEIT	otchdal	oraiiral	DANACH · {N1} · ZIELORT	EINHEIT · {N1} · ZIELORT	Sternstelle »ch« mit Folgevermerk und Zielzuordnung.	Sternstelle »aiir« mit Einheitsangabe und Zielzuordnung.	Sternstelle »{NAME}« mit Folgevermerk und Zielzuordnung.	Sternstelle »{NAME}« mit Einheitsangabe und Zielzuordnung.	1	2	Folgevermerk=>Einheitsangabe	YES	YES	YES	YES	YES	YES	YES	YES	SAME_MODEL_COMPONENT_TILE	SAME_MODEL_COMPONENT_TILE	G486-SP010
