assignment_id	record_id	physical_page	register	surface_sequence	active_model_sequence	fluent_frame_class	structural_frame_id	event_boundary_shape	component_trace_de	functional_component_count	opaque_slot_count	fluent_reading_de	same_page_pair_degree	register_pair_degree	contrast_covered	source_record_preserved
G486-R001	G475-R001	f17r	HERBAL	oteeeon|oiil	CATALOGUE	CATALOGUE_SEQUENCE	G486-RF006	2:DOT||1:NONE	DANACH · {N1} || {N1}	1	2	Katalogfolge: Pflanzenname »eeeon« mit Folgevermerk; Pflanzenname »oiil«.	0	0	NO	YES
G486-R002	G475-R002	f71v	CELESTIAL	char|arom	CATALOGUE	CATALOGUE_SEQUENCE	G486-RF005	1:NONE||2:DOT	AUSGANG || AUSGANG · {N1}	2	1	Katalogfolge: Eintrag »char« mit Ausgangszuordnung; Sternstelle »om« mit Ausgangszuordnung.	0	1	YES	YES
G486-R003	G475-R003	f71v	CELESTIAL	chfaly	CATALOGUE	CATALOGUE_ENTRY	G486-RF002	3:DOT|DOT	{N1} · ZIELORT · POSTEN	2	1	Sternstelle »chf« mit Zielzuordnung und Postenangabe.	0	3	YES	YES
G486-R004	G475-R004	f71v	CELESTIAL	okolar	INSTRUCTION	INSTRUCTION_SETZEN	G486-RF045	3:DOT|DOT	SETZEN · FORTSETZEN · AUSGANG	3	0	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	0	2	YES	YES
G486-R005	G475-R005	f71v	CELESTIAL	otchody	CATALOGUE	CATALOGUE_ENTRY	G486-RF001	2:DOT	DANACH · {N1}	1	1	Sternstelle »chody« mit Folgevermerk.	0	0	NO	YES
G486-R006	G475-R006	f71v	CELESTIAL	alcphy	INSTRUCTION	INSTRUCTION_NEHMEN	G486-RF040	4:DOT|DOT|DOT	ZIELORT · NEHMEN · EINSETZEN · POSTEN	4	0	Nimm den Positionsposten auf und setze ihn zur Zielposition ein.	0	0	NO	YES
G486-R007	G475-R007	f71v	CELESTIAL	otaiin	COORDINATE	COORDINATE_PATH	G486-RF024	2:DOT	DANACH · WERT	2	0	Die Adressspur führt danach zum Positionswert.	0	0	NO	YES
G486-R008	G475-R008	f71v	CELESTIAL	okaraiin	INSTRUCTION	INSTRUCTION_SETZEN	G486-RF045	3:DOT|DOT	SETZEN · AUSGANG · WERT	3	0	Setze den Positionswert von der Ausgangsposition aus.	0	1	YES	YES
G486-R009	G475-R009	f71v	CELESTIAL	otar|ar|aly	COORDINATE	COORDINATE_MULTI	G486-RF020	2:DOT||1:NONE||2:DOT	DANACH · AUSGANG || AUSGANG || ZIELORT · POSTEN	5	0	Die erste Adressspur weist danach zur Ausgangsposition. Die zweite bezeichnet die Ausgangsposition. Die dritte führt von der Zielposition zum Positionsposten.	0	0	NO	YES
G486-R010	G475-R010	f71v	CELESTIAL	opalar|am|dan	COORDINATE	COORDINATE_MULTI	G486-RF023	3:DOT|DOT||1:NONE||1:NONE	{N1} · ZIELORT · AUSGANG || HIER || ANTEIL	4	1	Die erste Adressspur führt von Sternstelle »op« über die Zielposition zur Ausgangsposition. Die zweite bezeichnet die bezeichnete Stelle, die dritte den Sektoranteil.	0	0	NO	YES
G486-R011	G475-R011	f71v	CELESTIAL	opalor|ar	CATALOGUE	CATALOGUE_SEQUENCE	G486-RF011	3:DOT|DOT||1:NONE	{N1} · ZIELORT · EINHEIT || AUSGANG	3	1	Katalogfolge: Sternstelle »op« mit Zielzuordnung und Einheitsangabe; Eintrag »ar« mit Ausgangszuordnung.	0	0	NO	YES
G486-R012	G475-R012	f71v	CELESTIAL	ofaom	CATALOGUE	CATALOGUE_ENTRY	G486-RF002	3:DOT|DOT	AUSFÜHRUNG · HIER · {N1}	2	1	Sternstelle »aom« mit Ausführungs- und Hier-Vermerk.	0	0	NO	YES
G486-R013	G475-R013	f71v	CELESTIAL	otalody	CATALOGUE	CATALOGUE_ENTRY	G486-RF002	3:DOT|DOT	DANACH · ZIELORT · {N1}	2	1	Sternstelle »ody« mit Folgevermerk und Zielzuordnung.	0	0	NO	YES
G486-R014	G475-R014	f71v	CELESTIAL	otalaiin	COORDINATE	COORDINATE_AFTER	G486-RF017	3:DOT|DOT	DANACH · ZIELORT · WERT	3	0	Danach führt die Adressspur über die Zielposition zum Positionswert.	0	1	YES	YES
G486-R015	G475-R015	f71v	CELESTIAL	otar|shar	INSTRUCTION	INSTRUCTION_HALTEN	G486-RF034	2:DOT||2:DOT	DANACH · AUSGANG || HALTEN · AUSGANG	4	0	Beziehe danach den Eintrag von der Ausgangsposition und halte ihn dort.	0	0	NO	YES
G486-R016	G475-R016	f71v	CELESTIAL	sholshdy	INSTRUCTION	INSTRUCTION_HALTEN	G486-RF036	4:DOT|DOT|DOT	HALTEN · FORTSETZEN · HALTEN · {N1}	3	1	Halte den Sternstelleneintrag »dy« weiter und halte ihn ein zweites Mal.	0	0	NO	YES
G486-R017	G475-R017	f72r	CELESTIAL	oshodady	INSTRUCTION	INSTRUCTION_HALTEN	G486-RF035	3:DOT|DOT	{N1} · HALTEN · {N2}	1	2	Halte die Sternstelleneinträge »o« und »odady«.	0	0	NO	YES
