pair_id	scope_class	source_record_id	target_record_id	source_physical_page	target_physical_page	register	active_model_sequence	fluent_frame_class	contrast_frame_id	wildcard_component_frame	changed_flat_component_ordinal	component_a	component_b	source_surface_sequence	target_surface_sequence	source_component_trace_de	target_component_trace_de	source_fluent_reading_de	target_fluent_reading_de	source_fluent_names_normalized_de	target_fluent_names_normalized_de	phrase_edit_block_count	phrase_edit_token_count	phrase_change_signature_de	component_a_cue_visible	component_b_cue_visible	meaning_change_visible	same_register	same_active_model	same_readable_frame_class	same_event_boundary_shape	single_functional_component_delta	source_support_tier	target_support_tier
G486-P001	SAME_REGISTER_CROSS_PAGE	G475-R002	G475-R022	f71v	f72r	CELESTIAL	CATALOGUE	CATALOGUE_SEQUENCE	G486-CF2D24E6587A	AUSGANG || * · {N1}	2	AUSGANG	ZIELORT	char|arom	char|alif	AUSGANG || AUSGANG · {N1}	AUSGANG || ZIELORT · {N1}	Katalogfolge: Eintrag »char« mit Ausgangszuordnung; Sternstelle »om« mit Ausgangszuordnung.	Katalogfolge: Eintrag »char« mit Ausgangszuordnung; Sternstelle »if« mit Zielzuordnung.	Katalogfolge: Eintrag »{NAME}« mit Ausgangszuordnung; Sternstelle »{NAME}« mit Ausgangszuordnung.	Katalogfolge: Eintrag »{NAME}« mit Ausgangszuordnung; Sternstelle »{NAME}« mit Zielzuordnung.	1	2	Ausgangszuordnung=>Zielzuordnung	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD
G486-P002	SAME_REGISTER_CROSS_PAGE	G475-R018	G475-R003	f72r	f71v	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFABD87F64C1	{N1} · * · POSTEN	2	ANTEIL	ZIELORT	chdaiirdainy	chfaly	{N1} · ANTEIL · POSTEN	{N1} · ZIELORT · POSTEN	Sternstelle »chdaiird« mit Anteils- und Postenangabe.	Sternstelle »chf« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit Anteils- und Postenangabe.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	1	2	Anteils-=>Zielzuordnung	YES	YES	YES	YES	YES	YES	YES	YES	ALL_EVENTS_ROLE_RECURRENT	RECURRENT_STRICT_WHOLE_RECORD
G486-P003	SAME_REGISTER_CROSS_PAGE	G475-R003	G475-R053	f71v	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFF6632C9BCD	{N1} · ZIELORT · *	3	POSTEN	ZIELORT	chfaly	ralal	{N1} · ZIELORT · POSTEN	{N1} · ZIELORT · ZIELORT	Sternstelle »chf« mit Zielzuordnung und Postenangabe.	Sternstelle »r« mit zweifacher Zielzuordnung.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit zweifacher Zielzuordnung.	2	3	∅=>zweifacher || und Postenangabe=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD
G486-P004	SAME_REGISTER_CROSS_PAGE	G475-R003	G475-R079	f71v	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFF6632C9BCD	{N1} · ZIELORT · *	3	POSTEN	ZIELORT	chfaly	opalal	{N1} · ZIELORT · POSTEN	{N1} · ZIELORT · ZIELORT	Sternstelle »chf« mit Zielzuordnung und Postenangabe.	Sternstelle »op« mit zweifacher Zielzuordnung.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit zweifacher Zielzuordnung.	2	3	∅=>zweifacher || und Postenangabe=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD
G486-P005	SAME_REGISTER_CROSS_PAGE	G475-R004	G475-R038	f71v	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CF690D20AB24	SETZEN · * · AUSGANG	2	FORTSETZEN	ZIELORT	okolar	okalar	SETZEN · FORTSETZEN · AUSGANG	SETZEN · ZIELORT · AUSGANG	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	2	14	Führe das Setzen des Eintrags=>Setze den Eintrag zur Zielposition , ausgehend || aus fort=>∅	YES	YES	YES	YES	YES	YES	YES	YES	SAME_MODEL_COMPONENT_TILE	RECURRENT_STRICT_WHOLE_RECORD
G486-P006	SAME_REGISTER_CROSS_PAGE	G475-R004	G475-R077	f71v	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CF690D20AB24	SETZEN · * · AUSGANG	2	FORTSETZEN	ZIELORT	okolar	okalar	SETZEN · FORTSETZEN · AUSGANG	SETZEN · ZIELORT · AUSGANG	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	2	14	Führe das Setzen des Eintrags=>Setze den Eintrag zur Zielposition , ausgehend || aus fort=>∅	YES	YES	YES	YES	YES	YES	YES	YES	SAME_MODEL_COMPONENT_TILE	RECURRENT_STRICT_WHOLE_RECORD
G486-P007	SAME_REGISTER_CROSS_PAGE	G475-R034	G475-R008	f72r	f71v	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFE7F7FC6FF3	SETZEN · AUSGANG · *	3	HIER	WERT	okaram	okaraiin	SETZEN · AUSGANG · HIER	SETZEN · AUSGANG · WERT	Setze den Eintrag von der Ausgangsposition aus an der bezeichneten Stelle.	Setze den Positionswert von der Ausgangsposition aus.	Setze den Eintrag von der Ausgangsposition aus an der bezeichneten Stelle.	Setze den Positionswert von der Ausgangsposition aus.	2	6	Eintrag=>Positionswert || an der bezeichneten Stelle=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD
G486-P008	SAME_REGISTER_CROSS_PAGE	G475-R055	G475-R014	f72r	f71v	CELESTIAL	COORDINATE	COORDINATE_AFTER	G486-CFD1C1797F76	DANACH · ZIELORT · *	3	POSTEN	WERT	otalshy	otalaiin	DANACH · ZIELORT · POSTEN	DANACH · ZIELORT · WERT	Danach führt die Adressspur von der Zielposition zum Positionsposten.	Danach führt die Adressspur über die Zielposition zum Positionswert.	Danach führt die Adressspur von der Zielposition zum Positionsposten.	Danach führt die Adressspur über die Zielposition zum Positionswert.	2	6	von der=>über die || Positionsposten=>Positionswert	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD
G486-P009	SAME_PAGE_OWNER	G475-R018	G475-R059	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFABD87F64C1	{N1} · * · POSTEN	2	ANTEIL	ZIELORT	chdaiirdainy	ainaly	{N1} · ANTEIL · POSTEN	{N1} · ZIELORT · POSTEN	Sternstelle »chdaiird« mit Anteils- und Postenangabe.	Sternstelle »ain« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit Anteils- und Postenangabe.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	1	2	Anteils-=>Zielzuordnung	YES	YES	YES	YES	YES	YES	YES	YES	ALL_EVENTS_ROLE_RECURRENT	RECURRENT_STRICT_WHOLE_RECORD
G486-P010	SAME_PAGE_OWNER	G475-R034	G475-R020	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CF69E415718C	SETZEN · * · HIER	2	AUSGANG	ZIELORT	okaram	okalam	SETZEN · AUSGANG · HIER	SETZEN · ZIELORT · HIER	Setze den Eintrag von der Ausgangsposition aus an der bezeichneten Stelle.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	Setze den Eintrag von der Ausgangsposition aus an der bezeichneten Stelle.	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.	2	6	von der Ausgangsposition aus=>∅ || ∅=>zur Zielposition	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD
