page	panel_id	layout_order	topology_class	owner_display_de	record_ids	record_count	prose_line_count	prose_token_count	label_locus_count	label_token_count	label_loci	binding_scope
f77r	F77_TOP_ARCH	1	TWO_ENDPOINT_MULTI_PORT_ARCH	oberes bogenförmiges Mehrstellen-System zwischen zwei Frauen	F77_P1	1	16	142	8	8	f77r.1|f77r.2|f77r.3|f77r.4|f77r.5|f77r.6|f77r.7|f77r.8	PANEL_OWNER_WITH_LOCAL_LABELS
f77r	F77_MIDDLE_BODY	2	BODY_MULTI_OUTLET_ASSEMBLY	mittlere Körper-/Mehrfachauslass-Konfiguration	F77_P2	1	13	92	1	1	f77r.49	PANEL_OWNER_WITH_LOCAL_LABELS
f77r	F77_LOWER_VESSEL	3	BODY_VESSEL_OUTLET_ASSEMBLY	untere Frau mit blauem Rundgefäß und lamellen-/faserartigem Auslass	F77_P3	1	11	87	1	2	f77r.50	PANEL_OWNER_WITH_LOCAL_LABELS
f82r	F82_TOP_COUPLED	1	TWO_FIGURE_CENTRAL_APPARATUS	oberes gekoppeltes System aus zwei Frauen und einem Zentralapparat	F82_P1	1	9	72	0	0	NONE	PANEL_OWNER_WITH_LOCAL_LABELS
f82r	F82_MIDDLE_TRANSFER	2	SOURCE_TUBE_RECIPIENT	mittlere Transferkonfiguration zwischen stehender und liegender Frau	F82_P2	1	9	80	1	1	f82r.10	PANEL_OWNER_WITH_LOCAL_LABELS
f82r	F82_BOTTOM_COMMUNAL	3	MULTI_FIGURE_COMMUNAL_POOL	unteres gemeinsames grünes Becken mit mehreren Frauen	F82_P3	1	14	126	12	12	f82r.34|f82r.35|f82r.36|f82r.37|f82r.38|f82r.39|f82r.40|f82r.41|f82r.42|f82r.43|f82r.44|f82r.45	PANEL_OWNER_WITH_LOCAL_LABELS
f83r	F83_UPPER_SPRAY	1	SINGLE_FIGURE_HANDHELD_OUTLET	obere Frau in geflochtener Gefäßform mit gehaltenem Sprüh-/Strahlkopf	F83_P1	1	8	72	0	0	NONE	PANEL_OWNER_WITH_LOCAL_LABELS
f83r	F83_MIDDLE_LOOP	2	SINGLE_FIGURE_LOOP_VESSEL	mittlere sitzende Frau im Rundbecken mit Schlaufen-/Ringkontakt	F83_P2	1	9	84	0	0	NONE	PANEL_OWNER_WITH_LOCAL_LABELS
f83r	F83_LOWER_DRIP	3	SINGLE_FIGURE_DUAL_OUTLET	untere Frau im geflochtenen Behälter mit zwei herabhängenden Strömen	F83_P3	1	7	63	0	0	NONE	PANEL_OWNER_WITH_LOCAL_LABELS
f83r	F83_LOWER_COUPLED	4	TWO_FIGURE_ARCH_AND_LOWER_OUTLETS	unteres gekoppeltes Doppelbild mit zwei Frauen und blau-grünem Bogen	F83_P4|F83_P5|F83_Q1|F83_Q2	4	27	122	4	4	f83r.45|f83r.46|f83r.50|f83r.51	PANEL_OWNER_WITH_LOCAL_LABELS
