page	panel_id	record_id	start_line	end_line	record_kind	layout_order	owner_display_de	subowner_display_de	topology_class	visible_components_de	binding_basis	binding_scope	semantic_ceiling	prose_line_count	prose_token_count	first_surface	first_head_class	exact_label_echo_edges	text_cells_modified
f77r	F77_TOP_ARCH	F77_P1	9	24	MAIN_RECORD	1	oberes bogenförmiges Mehrstellen-System zwischen zwei Frauen	gesamter Bogen mit beiden Endfiguren und inneren Stellen	TWO_ENDPOINT_MULTI_PORT_ARCH	linke Endfigur|acht beschriftete End-/Zwischenstellen|rechte Endfigur	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	16	142	poldarais	H1_ENTRY_BIASED	0	0
f77r	F77_MIDDLE_BODY	F77_P2	25	37	MAIN_RECORD	2	mittlere Körper-/Mehrfachauslass-Konfiguration	Frau mit organisch wirkendem Körper, mehreren Öffnungen und faserartigen Auslässen	BODY_MULTI_OUTLET_ASSEMBLY	Frau|Körper-/Gefäßform|mehrere Öffnungen|Faser-/Strahlaustritte	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	13	92	otedy	H0_OTHER	1	0
f77r	F77_LOWER_VESSEL	F77_P3	38	48	MAIN_RECORD	3	untere Frau mit blauem Rundgefäß und lamellen-/faserartigem Auslass	Frau, blaues Rundgefäß und darunterliegende Auslassform	BODY_VESSEL_OUTLET_ASSEMBLY	Frau|blaues Rundgefäß|lamellenartige Form|herabgehender Auslass	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	11	87	pol	H1_ENTRY_BIASED	1	0
f82r	F82_TOP_COUPLED	F82_P1	1	9	MAIN_RECORD	1	oberes gekoppeltes System aus zwei Frauen und einem Zentralapparat	beide Frauen, zwei seitliche Gefäß-/Leitungskörper und die zentrale Säule	TWO_FIGURE_CENTRAL_APPARATUS	linke Frau|linker Gefäßkörper|Zentralapparat|rechter Gefäßkörper|rechte Frau	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	9	72	qosheedy	H0_OTHER	1	0
f82r	F82_MIDDLE_TRANSFER	F82_P2	11	19	MAIN_RECORD	2	mittlere Transferkonfiguration zwischen stehender und liegender Frau	linke Frau mit beschriftetem Kreuzrohr, langem Kanal und rechter liegender Figur	SOURCE_TUBE_RECIPIENT	stehende Frau|Kreuzrohr|Strahl-/Blütenkopf|langer Kanal|liegende Frau	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	9	80	kolchdy	H0_OTHER	2	0
f82r	F82_BOTTOM_COMMUNAL	F82_P3	20	33	MAIN_RECORD	3	unteres gemeinsames grünes Becken mit mehreren Frauen	gesamtes Becken, obere und untere Figurenreihe sowie zwei vertikale Zuflüsse	MULTI_FIGURE_COMMUNAL_POOL	grünes Becken|mehrere Frauen|zwei vertikale Zuflüsse|lokale Figuren- und Zuflusslabels	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	14	126	posalshy	H1_ENTRY_BIASED	0	0
f83r	F83_UPPER_SPRAY	F83_P1	1	8	MAIN_RECORD	1	obere Frau in geflochtener Gefäßform mit gehaltenem Sprüh-/Strahlkopf	Einzelfigur, Handgerät und oberer Zufluss	SINGLE_FIGURE_HANDHELD_OUTLET	Frau|geflochtene Gefäßform|Handgerät|Sprüh-/Strahlspuren|oberer Zufluss	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	8	72	tchedy	H0_OTHER	2	0
f83r	F83_MIDDLE_LOOP	F83_P2	9	17	MAIN_RECORD	2	mittlere sitzende Frau im Rundbecken mit Schlaufen-/Ringkontakt	Einzelfigur, Rundbecken und seitliche Schlaufe	SINGLE_FIGURE_LOOP_VESSEL	Frau|Rundbecken|Schlaufe/Ring|kleiner seitlicher Strahl	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	9	84	pchor	H1_ENTRY_BIASED	0	0
f83r	F83_LOWER_DRIP	F83_P3	18	24	MAIN_RECORD	3	untere Frau im geflochtenen Behälter mit zwei herabhängenden Strömen	Einzelfigur, Behälterrand und zwei verschieden gezeichnete Abflüsse	SINGLE_FIGURE_DUAL_OUTLET	Frau|geflochtener Behälter|zwei herabhängende Ströme	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	7	63	pdalshdy	H1_ENTRY_BIASED	2	0
f83r	F83_LOWER_COUPLED	F83_P4	25	30	MAIN_RECORD	4	unteres gekoppeltes Doppelbild mit zwei Frauen und blau-grünem Bogen	oberer Begleittext des gemeinsamen Doppelbilds	TWO_FIGURE_ARCH_AND_LOWER_OUTLETS	linke Frau|blau-grüner Bogen|rechte Frau|untere Kanalform|zwei offene Auslässe	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	6	33	qokeedy	H0_OTHER	0	0
f83r	F83_LOWER_COUPLED	F83_P5	31	44	MAIN_RECORD	5	unteres gekoppeltes Doppelbild mit zwei Frauen und blau-grünem Bogen	rechter Haupttext neben Bogen, rechter Figur und unterem Kanal	TWO_FIGURE_ARCH_AND_LOWER_OUTLETS	linke Frau|blau-grüner Bogen|rechte Frau|untere Kanalform|zwei offene Auslässe	PHYSICAL_LAYOUT_MANUAL_REVIEW	PANEL_OWNER_ONLY	EXTERNAL_TOPIC_NOT_WORD_MEANING	14	62	techedy	H0_OTHER	0	0
f83r	F83_LOWER_COUPLED	F83_Q1	47	49	EMBEDDED_RECORD	6	unteres gekoppeltes Doppelbild mit zwei Frauen und blau-grünem Bogen	kleiner Textblock im linken Bogen-/Endstellenfeld	TWO_FIGURE_ARCH_AND_LOWER_OUTLETS	linke Frau|linke Bogenendstelle|Bogen	PHYSICAL_LAYOUT_MANUAL_REVIEW	EMBEDDED_RECORD_LOCAL	EXTERNAL_TOPIC_NOT_WORD_MEANING	3	11	otchdy	H0_OTHER	1	0
f83r	F83_LOWER_COUPLED	F83_Q2	52	55	EMBEDDED_RECORD	7	unteres gekoppeltes Doppelbild mit zwei Frauen und blau-grünem Bogen	kleiner Textblock beim unteren linken Auslassfeld	TWO_FIGURE_ARCH_AND_LOWER_OUTLETS	unterer Kanal|linker offener Auslass|Ausflussmarken	PHYSICAL_LAYOUT_MANUAL_REVIEW	EMBEDDED_RECORD_LOCAL	EXTERNAL_TOPIC_NOT_WORD_MEANING	4	16	solkeey	H2_SUBENTRY_BIASED	0	0
