role_trigram	token_count	statement_count	record_count	examples
CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM	10	10	5	H1-S001:oky>daiin>etyd | H2-S001:chy>taiin>shy | H2-S003:chy>kaiiin>dy | H3-S001:cfhy>shfydaiin>cphy | B2-S005:qokaly>solkaiin>chckhy
CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM	9	6	6	H2-S001:qoctholy>dy>chy | H3-S003:chy>kchy>dy | B2-S012:lchy>cheey>qcthey | B2-S012:cheey>qcthey>qokeey | B2-S012:qcthey>qokeey>lcheey
QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	9	9	4	B1-S002:daiin>chckhy>schedy | B2-S003:qokain>dy>qokeedy | B2-S012:daiin>chey>qokeeedy | B2-S016:qokaiin>okey>pchedy | B3-S003:daiin>chey>lchedy
QUANTITY_STAGE>CURRENT_ITEM>QUANTITY_STAGE	6	6	4	H2-S003:kaiiin>dy>chodaiin | B2-S005:solkaiin>chckhy>qokaiin | B2-S016:aiin>oteey>qokaiin | B3-S026:chldaiin>chedy>qokain | B3-S032:chedain>chedy>qotedaiin
CURRENT_ITEM>CONTINUE>CLOSE_STEP	5	5	2	B1-S004:chedy>ol>shedy | B1-S008:cheky>ol>shedy | B1-S016:okeey>qol>cheedy | B4-S003:qoky>tol>shedy | B4-S011:chdy>sol>lkedy
CURRENT_ITEM>CURRENT_ITEM>CLOSE_STEP	5	5	3	H3-S001:cphy>shey>tchody | H5-S002:choy>choky>cheeckhody | B4-S002:qolchey>qokeey>qokedy | B4-S008:cheeky>sheey>qokedy | B4-S014:chey>qockhey>dairydy
CURRENT_ITEM>CONTINUE>QUANTITY_STAGE	4	4	4	H5-S006:otchey>keol>daiin | B1-S018:ly>dsheol>oiiin | B4-S011:cheky>okeeol>okain | B6-S001:raly>ol>daiin
CURRENT_ITEM>CURRENT_ITEM>QUANTITY_STAGE	4	4	4	H2-S001:dy>chy>taiin | H3-S003:kchy>dy>daiin | B2-S012:qokeey>lcheey>daiin | B3-S034:checthy>chety>otaiin
CURRENT_ITEM>TARGET>CURRENT_ITEM	4	3	3	B2-S006:oteey>qokal>sheckhy | B3-S021:shcthy>dal>sy | B3-S021:chey>tal>shcthy | B4-S003:chedy>otal>otchey
QUANTITY_STAGE>CURRENT_ITEM>CURRENT_ITEM	4	4	4	H2-S001:cthaiin>qoctholy>dy | H3-S001:shfydaiin>cphy>shey | B3-S034:soiiin>checthy>chety | B4-S008:saiin>cheeky>sheey
CONTINUE>QUANTITY_STAGE>CURRENT_ITEM	3	3	3	B4-S011:okeeol>okain>chdy | B5-S003:sol>daiiin>chedy | B6-S001:ol>dain>chey
CURRENT_ITEM>CONTINUE>CURRENT_ITEM	3	3	3	H3-S004:qotchy>okchol>cthy | B1-S008:chey>ol>cheky | B2-S010:qoky>ls>cheey
CURRENT_ITEM>CURRENT_ITEM>CONTINUE	3	3	3	B2-S010:qokeey>qoky>ls | B4-S003:qokeey>qoky>tol | B6-S001:qekey>raly>ol
QUANTITY_STAGE>TARGET>CURRENT_ITEM	3	3	3	H4-S004:aiin>okal>oltchy | B3-S021:saiin>shedal>shecthy | B4-S015:kain>chckhal>solkey
TARGET>CURRENT_ITEM>CURRENT_ITEM	3	3	3	B2-S006:qokal>sheckhy>qoky | B3-S021:shedal>shecthy>chey | B4-S003:otal>otchey>qokeey
CONTINUE>CURRENT_ITEM>CLOSE_STEP	2	2	2	B2-S005:octheol>chkeey>ldy | B3-S029:sol>cheeety>qokedy
CONTINUE>TARGET>QUANTITY_STAGE	2	2	2	B1-S002:ol>sheckhal>daiin | B5-S003:lol>chdal>aiin
CURRENT_ITEM>CURRENT_ITEM>TARGET	2	2	2	B1-S014:chedy>qolky>lchedal | B3-S021:shecthy>chey>tal
CURRENT_ITEM>OPEN_ACTION>TARGET	2	2	2	H5-S004:okchy>chokcheo>kchal | B1-S006:shckhy>dl>ral
CURRENT_ITEM>QUANTITY_STAGE>QUANTITY_STAGE	2	2	2	B2-S005:chckhy>qokaiin>qokaiin | B3-S032:chedy>qotedaiin>otaiin
CURRENT_ITEM>QUANTITY_STAGE>TARGET	2	2	2	B3-S021:sy>saiin>shedal | B4-S015:shey>kain>chckhal
OPEN_ACTION>CURRENT_ITEM>CLOSE_STEP	2	2	2	B1-S012:lsho>qokey>lshedy | B2-S004:lched>qokeey>lcheckhedy
PREPARATION>CURRENT_ITEM>QUANTITY_STAGE	2	2	2	H2-S003:chor>chy>kaiiin | H4-S004:or>y>orain
QUANTITY_STAGE>CONTINUE>QUANTITY_STAGE	2	2	2	B5-S003:aiin>sol>daiiin | B6-S001:daiin>ol>dain
QUANTITY_STAGE>CURRENT_ITEM>CONTINUE	2	1	1	B4-S011:saiin>cheky>okeeol | B4-S011:okain>chdy>sol
QUANTITY_STAGE>CURRENT_ITEM>PREPARATION	2	2	2	B3-S026:qokain>checthy>chealror | B6-S001:dain>chey>ldalor
QUANTITY_STAGE>QUANTITY_STAGE>CLOSE_STEP	2	2	2	H4-S001:ykain>ykan>ody | B3-S032:qotedaiin>otaiin>otedy
QUANTITY_STAGE>QUANTITY_STAGE>QUANTITY_STAGE	2	1	1	H4-S001:qokaiin>chaiin>ykain | H4-S001:chaiin>ykain>ykan
QUANTITY_STAGE>TARGET>SOURCE	2	2	2	B3-S004:qokaiin>qotal>dar | B4-S016:qolkain>dal>skar
TARGET>CONTINUE>CONTINUE	2	2	2	B1-S002:al>ol>rol | B5-S003:dal>cheol>lol
TARGET>CURRENT_ITEM>CLOSE_STEP	2	2	2	B3-S021:tal>shcthy>dalchdy | B4-S015:chckhal>solkey>lchedy
TARGET>CURRENT_ITEM>QUANTITY_STAGE	2	2	2	H3-S001:schoal>cfhy>shfydaiin | B3-S021:dal>sy>saiin
WHOLE_COMMAND>CURRENT_ITEM>CURRENT_ITEM	2	2	2	H3-S003:dchol>chy>kchy | H5-S002:schol>choy>choky
