left_card	left_recipe	right_card	right_recipe	token_count	statements	surfaces	role_template
PROC013	OL	PROC078	SHED+DY	4	B1-S004|B1-S008|B1-S016|B4-S003	ol>shedy | ol>shedy | qol>cheedy | tol>shedy	CONTINUE>CLOSE_STEP
PROC019	Y	PROC009	AIIN	4	H2-S001|H3-S003|B3-S003|B3-S021	chy>taiin | dy>daiin | chey>daiin | sy>saiin	CURRENT_ITEM>QUANTITY_STAGE
PROC009	AIIN	PROC019	Y	3	H2-S001|B2-S012|B3-S003	taiin>shy | daiin>chey | daiin>chey	QUANTITY_STAGE>CURRENT_ITEM
PROC016	OR	PROC019	Y	3	H2-S003|H4-S004|B4-S014	chor>chy | or>y | or>chey	PREPARATION>CURRENT_ITEM
PROC008	OK+Y	PROC009	AIIN	2	H1-S001|B3-S030	oky>daiin | qoky>saiin	CURRENT_ITEM>QUANTITY_STAGE
PROC009	AIIN	PROC013	OL	2	B5-S003|B6-S001	aiin>sol | daiin>ol	QUANTITY_STAGE>CONTINUE
PROC013	OL	PROC009	AIIN	2	H2-S002|B6-S001	chol>daiin | ol>daiin	CONTINUE>QUANTITY_STAGE
PROC022	OL+OR	PROC013	OL	2	H2-S002|B1-S002	cholor>chol | olor>ol	PREPARATION>CONTINUE
PROC042	CHD+Y	PROC013	OL	2	B1-S004|B4-S011	chedy>ol | chdy>sol	CURRENT_ITEM>CONTINUE
PROC042	CHD+Y	PROC100	OK+EE+DY	2	B3-S007|B4-S005	chedy>qokeedy | chedy>qokeedy	CURRENT_ITEM>CLOSE_STEP
PROC055	AL	PROC013	OL	2	B1-S002|B5-S003	al>ol | dal>cheol	TARGET>CONTINUE
PROC070	OL+K+AIN	PROC055	AL	2	B1-S002|B4-S016	olkain>al | qolkain>dal	QUANTITY_STAGE>TARGET
PROC092	OK+EE+Y	PROC008	OK+Y	2	B2-S010|B4-S003	qokeey>qoky | qokeey>qoky	CURRENT_ITEM>CURRENT_ITEM
PROC092	OK+EE+Y	PROC067	OK+E+DY	2	B3-S028|B4-S002	qokeey>qokedy | qokeey>qokedy	CURRENT_ITEM>CLOSE_STEP
