statement_id	page	record	events	card_sequence	surface_sequence	role_sequence	role_length	working_reading_de
H1-S001	f10r	H1	10	PROC001|PROC002|PROC003|PROC004|PROC005|PROC006|PROC007|PROC008|PROC009|PROC010	dchey cthoor char chty os chair otytchol oky daiin etyd	CURRENT_ITEM>PREPARATION>SOURCE>CURRENT_ITEM>WHOLE_COMMAND>FLOW>CONTINUE>CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM	10	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz abnehmen; den Ansatz im Gang bereitstellen und aus der Quelle eintragen; den Lauf abnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz eintragen.
H1-S002	f10r	H1	4	PROC011|PROC012|PROC013|PROC014	qokchy qotchol chol cthy	CURRENT_ITEM>CONTINUE>CONTINUE>CURRENT_ITEM	4	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach abnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.
H2-S001	f10r	H2	9	PROC015|PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	PREPARATION>CURRENT_ITEM>PREPARATION>QUANTITY_STAGE>CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM	9	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
H2-S002	f10r	H2	8	PROC020|PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003	qotchor chor otol chol cholor chol daiin dar	PREPARATION>PREPARATION>CONTINUE>CONTINUE>PREPARATION>CONTINUE>QUANTITY_STAGE>SOURCE	8	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.
H2-S003	f10r	H2	7	PROC023|PROC016|PROC016|PROC019|PROC024|PROC019|PROC025	oykchor shor chor chy kaiiin dy chodaiin	PREPARATION>PREPARATION>PREPARATION>CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM>QUANTITY_STAGE	7	Bei der breiten gezahnten Bluetenpflanze: Im Gang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiterdosieren und anschliessend im Gang nach Mass abnehmen.
H3-S001	f11r	H3	7	PROC026|PROC027|PROC028|PROC029|PROC030|PROC031|PROC032	tshol schoal cfhy shfydaiin cphy shey tchody	CONTINUE>TARGET>CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM>CURRENT_ITEM>CLOSE_STEP	7	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.
H3-S002	f11r	H3	1	PROC033	shoyty	CURRENT_ITEM	1	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Gang halten und eintragen.
H3-S003	f11r	H3	5	PROC034|PROC019|PROC035|PROC019|PROC009	dchol chy kchy dy daiin	WHOLE_COMMAND>CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM>QUANTITY_STAGE	5	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Mass weiterfuehren.
H3-S004	f11r	H3	4	PROC036|PROC037|PROC014|PROC019	qotchy okchol cthy dy	CURRENT_ITEM>CONTINUE>CURRENT_ITEM>CURRENT_ITEM	4	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.
H4-S001	f55v	H4	5	PROC038|PROC009|PROC039|PROC040|PROC041	qokaiin chaiin ykain ykan ody	QUANTITY_STAGE>QUANTITY_STAGE>QUANTITY_STAGE>QUANTITY_STAGE>CLOSE_STEP	5	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zudosieren; den Gang schliessen.
