master_card_id	visible_surfaces	event_count	event_ids	current_value_de	analysis_status	component_analysis	curriculum_action
MC023	kair	1	E103	Beckenlauf	EXISTING_SPECIALIST_COMPOSITION	K + AIR	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC105	kain	1	E107	Portion	EXISTING_SPECIALIST_COMPOSITION	AIN	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC012	dl	2	E112|E129	Zusatz	LEARNED_LOCAL_WHOLE_CARD	DL	MEMORIZE_LOCAL_WHOLE_CARD
MC061	sshkchdy	1	E122	Haltetransfer; Schluss	PARTIAL_SPECIALIST_COMPOSITION	CHD + DY visible; SSHK hull unresolved	KEEP_PARTIAL_AND_TEACH_AS_CARD
MC017	okain|qokain	4	E127|E169|E198|E200	Anteil zugeben	EXISTING_SPECIALIST_COMPOSITION	OK + AIN	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC130	lsho	1	E141	Waschgang	EXISTING_SPECIALIST_COMPOSITION	LSH	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC109	ytey	1	E150	Kurzteil	PARTIAL_SPECIALIST_COMPOSITION	Y + E visible; T hull unresolved	KEEP_PARTIAL_AND_TEACH_AS_CARD
MC118	ly	1	E159	Auffanggefäß	LEARNED_LOCAL_WHOLE_CARD	LY	MEMORIZE_LOCAL_WHOLE_CARD
MC033	oiiin	1	E161	Arbeitsstufe	EXISTING_SPECIALIST_COMPOSITION	IIN	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC045	olkeedy	1	E162	lange sammeln; Schluss	EXISTING_SPECIALIST_COMPOSITION	OL + K + EE + DY	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC143	shckhedy	1	E165	durchlassen; Schluss	EXISTING_SPECIALIST_COMPOSITION	SH + CKH + E + DY	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC133	lcheckhedy	1	E176	Trennabzug; Schluss	EXISTING_SPECIALIST_COMPOSITION	L + CKH + E + DY	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC065	ls	1	E196	Auslass	LEARNED_LOCAL_WHOLE_CARD	LS	MEMORIZE_LOCAL_WHOLE_CARD
MC066	lcheey	1	E206	Klarabzug	EXISTING_SPECIALIST_COMPOSITION	L + RESULT	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC141	tshey	1	E212	Folgeklarlauf	EXISTING_SPECIALIST_COMPOSITION	T + RESULT	ADD_EXISTING_SPECIALIST_COMPONENT_TO_NEXT_LESSON
MC152	ches	1	E216	teilen	LEARNED_LOCAL_WHOLE_CARD	CHES	MEMORIZE_LOCAL_WHOLE_CARD
