statement_id	page	record_unit_id	visible_owner	event_ids	event_count	curriculum_status	master_dictation_de	apprentice_response	nonbase_cards
B1-S001	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E101	1	FULLY_BASE_RULED	Kurz einwirken lassen; Schluss.	qokedy	NONE
B1-S002	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	19	BASE_PLUS_EXEMPLAR_CARD	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	kair|kain|dl
B1-S003	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E121|E122	2	BASE_PLUS_EXEMPLAR_CARD	Weiterführen und haltend übertragen; Schluss.	qol sshkchdy	sshkchdy
B1-S004	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E123|E124|E125	3	FULLY_BASE_RULED	Überführen, weiterführen und kurz absetzen lassen; Schluss.	chedy ol shedy	NONE
B1-S005	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E126	1	FULLY_BASE_RULED	Weiterführen; Schluss.	qolchedy	NONE
B1-S006	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E127|E128|E129|E130	4	BASE_PLUS_EXEMPLAR_CARD	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.	qokain shckhy dl ral	qokain|dl
B1-S007	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E131	1	FULLY_BASE_RULED	In die offene Zielstelle einführen; Schluss.	qokchdy	NONE
B1-S008	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E132|E133|E134|E135|E136	5	FULLY_BASE_RULED	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	chey ol cheky ol shedy	NONE
B1-S009	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E137	1	FULLY_BASE_RULED	Kurz einwirken lassen; Schluss.	qokedy	NONE
B1-S010	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E138	1	FULLY_BASE_RULED	Kurz einwirken lassen; Schluss.	qokedy	NONE
B1-S011	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E139|E140	2	FULLY_BASE_RULED	Durch den verbundenen Gang leiten und einsetzen.	chckhy qoky	NONE
B1-S012	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E141|E142|E143	3	BASE_PLUS_EXISTING_SPECIALIST_COMPOSITION	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	lsho qokey lshedy	lsho
B1-S013	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E144	1	FULLY_BASE_RULED	Einen Waschgang ausführen; Schluss.	lshedy	NONE
B1-S014	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E145|E146|E147|E148|E149	5	FULLY_BASE_RULED	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.	chedy qolky lchedal qol otar	NONE
B1-S015	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E150|E151	2	BASE_PLUS_EXEMPLAR_CARD	Den kurzen Teil aus der eben gesetzten Quelle einführen; Schluss.	ytey okchedy	ytey
B1-S016	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E152|E153|E154|E155	4	FULLY_BASE_RULED	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	qokal okeey qol cheedy	NONE
B1-S017	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E156|E157|E158	3	FULLY_BASE_RULED	Dorthin bringen, kurz weiterführen und übertragen; Schluss.	sal teol dchdy	NONE
B1-S018	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	E159|E160|E161|E162	4	BASE_PLUS_EXEMPLAR_CARD	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.	ly dsheol oiiin olkeedy	ly|oiiin|olkeedy
