separated_occurrence_id	event_id	physical_page	statement_id	surface	full_component_recipe	triple_start_atom_ordinal	direct_red_pair	separator_focus	observed_triple_recipe	triple_factor_gate_status	triple_portable_factor_rules	triple_amber_factor_rules	triple_blocked_factor_rules	full_event_factor_gate_status	direct_pair_promoted
G444-O01	G407-E0007	f1r	G404-S001	cthres	CH+T+R+E+S	3	R>S	E	R+E+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:R<-E	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O02	G407-E0028	f1r	G404-S001	cthes	CH+T+E+S	2	T>S	E	T+E+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:T<-E	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O03	G407-E0073	f1r	G404-S005	cphesaiin	CH+P+E+S+AIIN	2	P>S	E	P+E+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:P<-E	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O04	G407-E0495	f17r	P1009-S016	zepchy	S+E+P+CH+Y	1	S>P	E	S+E+P	FACTOR_GREEN_CROSS_PAGE	FOCUS:S<-E	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O05	G407-E0701	f55v	P1009-S024	ykeesan	Y+K+EE+S+AN	2	K>S	EE	K+EE+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:K<-EE	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O06	G407-E0929	f67r2	P1009-S033	salsain	S+AL+S+AIN	1	S>S	AL	S+AL+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:S<-AL	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O07	G407-E0981	f67r2	P1009-S039	yekees	Y+E+K+EE+S	3	K>S	EE	K+EE+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:K<-EE	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O08	G407-E1006	f67r2	P1009-S041	shees	SH+EE+S	1	SH>S	EE	SH+EE+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:SH<-EE	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O09	G407-E1112	f71v	P1009-S047	shepchol	SH+E+P+CH+OL	1	SH>P	E	SH+E+P	FACTOR_GREEN_CROSS_PAGE	FOCUS:SH<-E	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O10	G407-E1131	f71v	P1009-S049	cheekaiin	CH+K+EE+K+AIIN	2	K>K	EE	K+EE+K	FACTOR_GREEN_CROSS_PAGE	FOCUS:K<-EE	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O11	G407-E1393	f72r	P1009-S069	shees	SH+EE+S	1	SH>S	EE	SH+EE+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:SH<-EE	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O12	G407-E1411	f72r	P1009-S069	shes	SH+E+S	1	SH>S	E	SH+E+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:SH<-E	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
