direct_pair	separator_count	green_separator_count	amber_separator_count	stop_separator_count	accepted_separator_count	all_eleven_separators_accepted	remaining_stop_foci	direct_pair_remains_unlicensed
CH>CHD	11	11	0	0	11	YES	NONE	YES
CH>SH	11	11	0	0	11	YES	NONE	YES
CHD>CH	11	10	0	1	10	NO	EEE	YES
CHD>CHD	11	10	0	1	10	NO	EEE	YES
CHD>K	11	10	0	1	10	NO	EEE	YES
CHD>OK	11	10	0	1	10	NO	EEE	YES
CHD>P	11	10	0	1	10	NO	EEE	YES
CHD>R	11	10	0	1	10	NO	EEE	YES
CHD>SH	11	10	0	1	10	NO	EEE	YES
CHD>T	11	10	0	1	10	NO	EEE	YES
K>K	11	11	0	0	11	YES	NONE	YES
K>P	11	11	0	0	11	YES	NONE	YES
K>R	11	11	0	0	11	YES	NONE	YES
K>S	11	11	0	0	11	YES	NONE	YES
K>T	11	11	0	0	11	YES	NONE	YES
OK>K	11	11	0	0	11	YES	NONE	YES
OK>P	11	11	0	0	11	YES	NONE	YES
OK>R	11	11	0	0	11	YES	NONE	YES
OK>T	11	11	0	0	11	YES	NONE	YES
P>K	11	11	0	0	11	YES	NONE	YES
P>OK	11	11	0	0	11	YES	NONE	YES
P>P	11	11	0	0	11	YES	NONE	YES
P>R	11	11	0	0	11	YES	NONE	YES
P>S	11	11	0	0	11	YES	NONE	YES
P>T	11	11	0	0	11	YES	NONE	YES
R>K	11	9	1	1	10	NO	EEE	YES
R>OK	11	9	1	1	10	NO	EEE	YES
R>P	11	9	1	1	10	NO	EEE	YES
R>R	11	8	2	1	10	NO	EEE	YES
R>S	11	9	1	1	10	NO	EEE	YES
S>CHD	11	10	1	0	11	YES	NONE	YES
S>P	11	10	1	0	11	YES	NONE	YES
S>R	11	10	1	0	11	YES	NONE	YES
S>S	11	10	1	0	11	YES	NONE	YES
S>T	11	10	1	0	11	YES	NONE	YES
SH>CHD	11	11	0	0	11	YES	NONE	YES
SH>P	11	11	0	0	11	YES	NONE	YES
SH>R	11	11	0	0	11	YES	NONE	YES
SH>S	11	11	0	0	11	YES	NONE	YES
SH>SH	11	11	0	0	11	YES	NONE	YES
T>K	11	11	0	0	11	YES	NONE	YES
T>P	11	11	0	0	11	YES	NONE	YES
T>S	11	11	0	0	11	YES	NONE	YES
T>T	11	11	0	0	11	YES	NONE	YES
