direct_pair	left_action	separator_focus	right_action	separated_recipe	direct_pair_reader_status	separated_factor_gate_status	separator_decision	scope_selector_rules	portable_factor_rules	amber_factor_rules	blocked_factor_rules	ordered_literal_reading_de	direct_pair_promoted	surface_or_occurrence_prediction
CH>CHD	CH	AIIN	CHD	CH+AIIN+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN	NONE	NONE	NEHMEN · WERT · BEARBEITEN	NO	NO
CH>CHD	CH	AIN	CHD	CH+AIN+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIN	NONE	NONE	NEHMEN · ANTEIL · BEARBEITEN	NO	NO
CH>CHD	CH	AIR	CHD	CH+AIR+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	L_AIR_RIGHT_FALLBACK	FOCUS:CHD<-AIR	NONE	NONE	NEHMEN · BAHN · BEARBEITEN	NO	NO
CH>CHD	CH	AL	CHD	CH+AL+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	AL_AR_ORDERED_FALLBACK	FOCUS:CH<-AL	NONE	NONE	NEHMEN · ZIELORT · BEARBEITEN	NO	NO
CH>CHD	CH	AR	CHD	CH+AR+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	AL_AR_ORDERED_FALLBACK	FOCUS:CH<-AR	NONE	NONE	NEHMEN · AUSGANG · BEARBEITEN	NO	NO
CH>CHD	CH	E	CHD	CH+E+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-E	NONE	NONE	NEHMEN · GRAD I · BEARBEITEN	NO	NO
CH>CHD	CH	EE	CHD	CH+EE+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-EE	NONE	NONE	NEHMEN · GRAD II · BEARBEITEN	NO	NO
CH>CHD	CH	EEE	CHD	CH+EEE+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-EEE	NONE	NONE	NEHMEN · GRAD III · BEARBEITEN	NO	NO
CH>CHD	CH	L	CHD	CH+L+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	L_AIR_RIGHT_FALLBACK	FOCUS:CHD<-L	NONE	NONE	NEHMEN · VERBINDUNG · BEARBEITEN	NO	NO
CH>CHD	CH	OR	CHD	CH+OR+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-OR	NONE	NONE	NEHMEN · EINHEIT · BEARBEITEN	NO	NO
CH>CHD	CH	Y	CHD	CH+Y+CHD	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-Y	NONE	NONE	NEHMEN · POSTEN · BEARBEITEN	NO	NO
CH>SH	CH	AIIN	SH	CH+AIIN+SH	STOP_UNLICENSED	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN	NONE	NONE	NEHMEN · WERT · HALTEN	NO	NO
