atomic_value_de	teaching_slot	events	herbal_events	bio_events	median_statement_position	start_events	middle_events	end_events	apprentice_rule
Sollstellung	ENTRY_CONTROL	9	1	8	0.000	6	3	0	Setze zuerst Arbeitsstufe oder Zieleinsatz.
Zieleinsatz	ENTRY_CONTROL	6	1	5	0.156	4	2	0	Setze zuerst Arbeitsstufe oder Zieleinsatz.
Ansatz	ENTRY_ITEM	7	5	2	0.167	5	2	0	Eröffne einen Ansatz oder Folgeposten.
Folgeposten	ENTRY_ITEM	2	1	1	0.167	1	1	0	Eröffne einen Ansatz oder Folgeposten.
Stelle	ARGUMENT_TARGET	10	1	9	0.267	5	3	2	Nenne die adressierte Stelle.
Gleichvorrat	ARGUMENT_SOURCE	5	2	3	0.333	2	1	2	Binde den vorigen oder gleichen Vorrat.
Zerkleinern	ACTION	2	1	1	0.367	0	2	0	Führe die sichtbare Arbeit aus.
Sollmaß	ARGUMENT_MEASURE	20	9	11	0.464	5	8	7	Setze oder prüfe das Sollmaß.
Langwärme	ACTION_STATE	2	1	1	0.500	0	2	0	Halte den Posten länger warm.
Umsetzen	ACTION	11	1	10	0.500	4	6	1	Führe die sichtbare Arbeit aus.
Klarauszug	ARGUMENT_PRODUCT	4	1	3	0.517	2	0	2	Binde den klaren Auszug als Arbeitsgut.
Fortsetzungsansatz	CONTINUATION_ITEM	2	1	1	0.591	0	2	0	Behalte den fortgesetzten Ansatz.
Fortsetzung	CONTINUATION	19	3	16	0.625	5	9	5	Führe den laufenden Gang weiter.
Bereit	STATE	7	3	4	0.667	3	2	2	Markiere den Posten als bereit.
Einsetzen	ACTION	10	3	7	0.667	1	5	4	Führe die sichtbare Arbeit aus.
Diesposten	ARGUMENT_ITEM	18	9	9	0.683	3	7	8	Halte den aktuellen Posten aktiv.
Fortschluss	CLOSE	2	1	1	0.750	0	1	1	Setze Fortsetzung und Abschluss gemeinsam.
