mode	sequence	slot_sequence	count	recurrent
DIRECT_BIGRAM	Diesposten → Sollmaß	ARGUMENT_ITEM → ARGUMENT_MEASURE	4	YES
DIRECT_BIGRAM	Ansatz → Diesposten	ENTRY_ITEM → ARGUMENT_ITEM	3	YES
DIRECT_BIGRAM	Sollmaß → Diesposten	ARGUMENT_MEASURE → ARGUMENT_ITEM	3	YES
DIRECT_BIGRAM	Einsetzen → Sollmaß	ACTION → ARGUMENT_MEASURE	2	YES
DIRECT_BIGRAM	Fortsetzung → Sollmaß	CONTINUATION → ARGUMENT_MEASURE	2	YES
DIRECT_BIGRAM	Fortsetzungsansatz → Fortsetzung	CONTINUATION_ITEM → CONTINUATION	2	YES
DIRECT_BIGRAM	Sollmaß → Fortsetzung	ARGUMENT_MEASURE → CONTINUATION	2	YES
DIRECT_BIGRAM	Stelle → Fortsetzung	ARGUMENT_TARGET → CONTINUATION	2	YES
DIRECT_BIGRAM	Umsetzen → Fortsetzung	ACTION → CONTINUATION	2	YES
DIRECT_BIGRAM	Ansatz → Ansatz	ENTRY_ITEM → ENTRY_ITEM	1	NO
DIRECT_BIGRAM	Bereit → Ansatz	STATE → ENTRY_ITEM	1	NO
DIRECT_BIGRAM	Bereit → Diesposten	STATE → ARGUMENT_ITEM	1	NO
DIRECT_BIGRAM	Bereit → Stelle	STATE → ARGUMENT_TARGET	1	NO
DIRECT_BIGRAM	Bereit → Zerkleinern	STATE → ACTION	1	NO
DIRECT_BIGRAM	Diesposten → Diesposten	ARGUMENT_ITEM → ARGUMENT_ITEM	1	NO
DIRECT_BIGRAM	Diesposten → Fortsetzung	ARGUMENT_ITEM → CONTINUATION	1	NO
DIRECT_BIGRAM	Diesposten → Stelle	ARGUMENT_ITEM → ARGUMENT_TARGET	1	NO
DIRECT_BIGRAM	Einsetzen → Fortsetzung	ACTION → CONTINUATION	1	NO
DIRECT_BIGRAM	Einsetzen → Stelle	ACTION → ARGUMENT_TARGET	1	NO
DIRECT_BIGRAM	Einsetzen → Umsetzen	ACTION → ACTION	1	NO
DIRECT_BIGRAM	Fortsetzung → Bereit	CONTINUATION → STATE	1	NO
DIRECT_BIGRAM	Fortsetzung → Fortsetzungsansatz	CONTINUATION → CONTINUATION_ITEM	1	NO
DIRECT_BIGRAM	Gleichvorrat → Fortsetzung	ARGUMENT_SOURCE → CONTINUATION	1	NO
DIRECT_BIGRAM	Gleichvorrat → Zerkleinern	ARGUMENT_SOURCE → ACTION	1	NO
DIRECT_BIGRAM	Langwärme → Fortschluss	ACTION_STATE → CLOSE	1	NO
DIRECT_BIGRAM	Sollmaß → Gleichvorrat	ARGUMENT_MEASURE → ARGUMENT_SOURCE	1	NO
DIRECT_BIGRAM	Sollmaß → Langwärme	ARGUMENT_MEASURE → ACTION_STATE	1	NO
DIRECT_BIGRAM	Sollmaß → Umsetzen	ARGUMENT_MEASURE → ACTION	1	NO
DIRECT_BIGRAM	Sollmaß → Zieleinsatz	ARGUMENT_MEASURE → ENTRY_CONTROL	1	NO
DIRECT_BIGRAM	Sollstellung → Bereit	ENTRY_CONTROL → STATE	1	NO
DIRECT_BIGRAM	Sollstellung → Sollmaß	ENTRY_CONTROL → ARGUMENT_MEASURE	1	NO
DIRECT_BIGRAM	Sollstellung → Sollstellung	ENTRY_CONTROL → ENTRY_CONTROL	1	NO
DIRECT_BIGRAM	Sollstellung → Umsetzen	ENTRY_CONTROL → ACTION	1	NO
DIRECT_BIGRAM	Stelle → Bereit	ARGUMENT_TARGET → STATE	1	NO
DIRECT_BIGRAM	Stelle → Diesposten	ARGUMENT_TARGET → ARGUMENT_ITEM	1	NO
DIRECT_BIGRAM	Zieleinsatz → Gleichvorrat	ENTRY_CONTROL → ARGUMENT_SOURCE	1	NO
DIRECT_TRIGRAM	Diesposten → Sollmaß → Diesposten	ARGUMENT_ITEM → ARGUMENT_MEASURE → ARGUMENT_ITEM	2	YES
DIRECT_TRIGRAM	Ansatz → Ansatz → Diesposten	ENTRY_ITEM → ENTRY_ITEM → ARGUMENT_ITEM	1	NO
DIRECT_TRIGRAM	Bereit → Stelle → Diesposten	STATE → ARGUMENT_TARGET → ARGUMENT_ITEM	1	NO
DIRECT_TRIGRAM	Diesposten → Diesposten → Sollmaß	ARGUMENT_ITEM → ARGUMENT_ITEM → ARGUMENT_MEASURE	1	NO
