master_card_id	canonical_surface	registered_surfaces	canonical_value_de	semantic_recipe	visible_component_order	left_of_transfer_core	transfer_core_atom	right_of_transfer_core	core_choice	core_choice_reason	endpoint_interpretation	event_support
MC074	chdy	chdy|chedy	überführen	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	CHD~CHED_TRANSFER>Y_ITEM	NONE	CHD~CHED_TRANSFER	Y_ITEM	FLEX_CHD_CHED__SHORT_CANONICAL	bare current-item transfer permits the short card and its expanded surface allograph	CURRENT_ITEM_NOT_COMMIT	11
MC155	lchedy	lchedy	abführen; Schluss	L+CHED_TRANSFER[LICENSED_CLOSE=YES]	L_OUT>CHED_TRANSFER>TERMINAL	L_OUT	CHED_TRANSFER	TERMINAL	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	TERMINAL_COMMIT	8
MC088	qokchdy	qokchdy	neuen Posten einsetzen; Schluss	OK+DY+CHED_TRANSFER[SUBTYPE=NEW_ITEM_TRANSFER]	Q_FRAME>OK_SET>CHD_NEW_ENTRY>CLOSE	Q_FRAME>OK_SET	CHD_NEW_ENTRY	CLOSE	SHORT_CHD	new active item selects short CHD	TERMINAL_COMMIT	3
MC028	olchedy	olchedy|qolchedy	weiterführen; Schluss	OL+DY+CHED_TRANSFER	OL_CONTINUE>CHED_TRANSFER>TERMINAL_CLOSE	OL_CONTINUE	CHED_TRANSFER	TERMINAL_CLOSE	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	TERMINAL_COMMIT	3
MC005	okchedy	okchedy|qokchedy	vorigen Posten überführen; Schluss	OK+DY+CHED_TRANSFER[SUBTYPE=PREVIOUS_ITEM_TRANSFER]	OK_SET>CHED_TRANSFER_PREVIOUS_ITEM>CLOSE	OK_SET	CHED_TRANSFER_PREVIOUS_ITEM	CLOSE	EXPANDED_CHED	previous active item selects expanded CHED	TERMINAL_COMMIT	2
MC057	otchedy	otchedy|qotchedy	Folgetransfer; Schluss	OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=MAIN_OPERATING_RECORD]	OT_FOLLOW>CHED_TRANSFER>TERMINAL_CLOSE	OT_FOLLOW	CHED_TRANSFER	TERMINAL_CLOSE	EXPANDED_CHED	main operating record selects the expanded OT transfer	TERMINAL_COMMIT	2
MC145	chedain	chedain	Anteilstransfer	AIN+CHED_TRANSFER	CHED_TRANSFER>AIN_PORTION	NONE	CHED_TRANSFER	AIN_PORTION	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	OPEN_TRANSFER	1
MC001	chdal	chdal	Zieltransfer	AL+CHED_TRANSFER	CHD_TRANSFER>AL_TO	NONE	CHD_TRANSFER	AL_TO	SHORT_CHD	unloaded or direct-target transfer uses compact CHD	OPEN_TRANSFER	1
MC031	dalchdy	dalchdy	Zieltransfer; Schluss	AL+DY+CHED_TRANSFER	D>AL_TO>CHD_TRANSFER>CLOSE	D>AL_TO	CHD_TRANSFER	CLOSE	SHORT_CHD	unloaded or direct-target transfer uses compact CHD	TERMINAL_COMMIT	1
MC051	lchedal	lchedal	Zielabführung	AL+L+CHED_TRANSFER	L_OUT>CHED_TRANSFER>AL_TO	L_OUT	CHED_TRANSFER	AL_TO	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	OPEN_TRANSFER	1
MC126	pchedal	pchedal	Zielzuführung	AL+P+CHED_TRANSFER	P_IN>CHED_TRANSFER>AL_TO	P_IN	CHED_TRANSFER	AL_TO	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	OPEN_TRANSFER	1
MC042	cheedar	cheedar	Quelltransfer	AR+CHED_TRANSFER	CHED_TRANSFER>AR_FROM	NONE	CHED_TRANSFER	AR_FROM	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	OPEN_TRANSFER	1
MC011	lchedar	lchedar	Quellabführung	AR+L+CHED_TRANSFER	L_OUT>CHED_TRANSFER>AR_FROM	L_OUT	CHED_TRANSFER	AR_FROM	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	OPEN_TRANSFER	1
MC139	dchdy	dchdy	Transfer; Schluss	DY+CHED_TRANSFER	D>CHD_TRANSFER>CLOSE	D	CHD_TRANSFER	CLOSE	SHORT_CHD	unloaded or direct-target transfer uses compact CHD	TERMINAL_COMMIT	1
MC127	lched	lched	Abführung	L+CHED_TRANSFER	L_OUT>CHED_TRANSFER	L_OUT	CHED_TRANSFER	NONE	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	OPEN_TRANSFER	1
MC167	lochedy	lochedy	Abführung; Schluss	L+DY+CHED_TRANSFER+O_WITHDRAW	L_OUT>O_RESIDUAL_BRANCH>CHED_TRANSFER>CLOSE_EXACT	L_OUT>O_RESIDUAL_BRANCH	CHED_TRANSFER	CLOSE_EXACT	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	TERMINAL_COMMIT	1
MC067	otchdy	otchdy	Nachtransfer; Schluss	OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=COMPACT_TECHNICAL_ADDENDUM]	OT_FOLLOW>CHD_TRANSFER>TERMINAL_CLOSE	OT_FOLLOW	CHD_TRANSFER	TERMINAL_CLOSE	SHORT_CHD	compact technical addendum selects the short OT transfer	TERMINAL_COMMIT	1
MC070	pchedy	pchedy	Zuführung; Schluss	P+CHED_TRANSFER[LICENSED_CLOSE=YES]	P_IN>CHED_TRANSFER>TERMINAL	P_IN	CHED_TRANSFER	TERMINAL	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	TERMINAL_COMMIT	1
MC043	shecthedchy	shecthedchy	Vorbereitungstransfer	Y+CHED_TRANSFER+CTH	CTH_READY>CHED_TRANSFER>Y_CURRENT	CTH_READY	CHED_TRANSFER	Y_CURRENT	EXPANDED_CHED	explicit source, receiver, continuation, portion, or prepared-state load selects CHED	CURRENT_ITEM_NOT_COMMIT	1
MC064	chedchy	chedchy	Postentransfer	Y+CHED_TRANSFER[SUBTYPE=EXPANDED_TRANSFER_FORM]	CHED_TRANSFER>CHY_ITEM	NONE	CHED_TRANSFER	CHY_ITEM	EXPANDED_CHED	learned expanded current-item transfer	CURRENT_ITEM_NOT_COMMIT	1
