statement_id	record_unit_id	page	source_job_ids	visible_owner	unchanged_atomic_chain_de	product_supplied_clause_de	terminal_status	dictionary_change
B1-S001	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schluss.	TERMINAL	NO
B1-S002	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Anteil | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	TERMINAL	NO
B1-S003	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	weiter | Haltetransfer; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiter — Haltetransfer; Schluss.	TERMINAL	NO
B1-S004	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	überführen | weiter | kurz absetzen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — weiter — kurz absetzen; Schluss.	TERMINAL	NO
B1-S005	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	weiterführen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiterführen; Schluss.	TERMINAL	NO
B1-S006	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	Anteil zugeben | durchleiten | Zusatz | Zielmarke	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.	NONCLOSE	NO
B1-S007	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	einführen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: am offenen Ziel in die Überführung weiter: einführen; Schluss.	TERMINAL	NO
B1-S008	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.	TERMINAL	NO
B1-S009	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz einwirken; Schluss.	TERMINAL	NO
B1-S010	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz einwirken; Schluss.	TERMINAL	NO
B1-S011	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	durchleiten | einsetzen	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: durchleiten — einsetzen.	NONCLOSE	NO
B1-S012	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	Waschgang | kurz einwirken | Waschgang; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: mit dem eingesetzten Posten am selben Besitzer weiter: Waschgang — kurz einwirken — Waschgang; Schluss.	TERMINAL	NO
B1-S013	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	Waschgang; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Waschgang; Schluss.	TERMINAL	NO
B1-S014	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	überführen | Weitergang | Zielabführung | weiter | Folgequelle	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — Weitergang — Zielabführung — weiter — Folgequelle.	NONCLOSE	NO
B1-S015	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	Kurzteil | einführen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: von der eben gesetzten Quelle weiter: Kurzteil — einführen; Schluss.	TERMINAL	NO
B1-S016	B1	f81v	J1	gemeinsames zweireihiges Figuren-/Beckenfeld	dorthin einsetzen | lange einwirken | weiter | kurz absetzen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin einsetzen — lange einwirken — weiter — kurz absetzen; Schluss.	TERMINAL	NO
