surface	strict_source_loci	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	parse	working_direction_de	decision	reason
chdaly	f112v.16	3	3	3	3	ch+d+al+y	trockene Rohstoffform	HOLD_SEPARATE_AUDIT	D, AL und Y sind in dieser Reihenfolge noch nicht gemeinsam kalibriert.
checkhy	f30v.4	46	31	43	43	ch+e+ckh+y	offen	REJECT_CURRENT_ROUTE	CKH bleibt opak und darf nicht als CTH oder CH umgedeutet werden.
cheokeey	f27r.12	4	4	4	4	ch+e+o+k+ee+y	Trockenansatz, heiß, E-Länge II	HOLD_SEPARATE_AUDIT	Reihenfolge gehört nicht zur migrierten Qualitätsfamilie und darf nicht umgestellt werden.
chokey	f42v.15	4	4	4	4	ch+o+k+e+y	heiß-trockene Zubereitungsform	HOLD_SEPARATE_AUDIT	Umgestellte CH-O-K-Reihe braucht einen eigenen Formaudit.
cholkaiin	f106v.36	5	5	4	4	chol+(k+a+iin)	Trockengut, heiß im dritten Grad	ACCEPT_V25	both chol and kaiin already have concrete V24 values; independent chol kaiin spans and a reader split bridge the fused exact whole
dchodaiin	f7v.5	2	2	2	2	d+ch+o+d+a+iin	dosierter Trockenansatz, Dosis III	HOLD_SEPARATE_AUDIT	Das führende D-Feld und das innere chodaiin sind nicht separat registriert.
dy	f11r.4	229	117	149	149	d+y	resultatives Feld ohne sichtbaren Besitzer	REJECT_CURRENT_ROUTE	Ein nacktes Hochfrequenzfeld liefert keinen Stoff und würde gebundene DY-Werte globalisieren.
keeey	f38v.6	9	7	7	7	k+eee+y	heiße EEE-Stufe	HOLD_SEPARATE_AUDIT	EEE ist eine eigene Leiter und nicht die migrierte Y/EY/EEY-Achse.
keol	f56r.19	18	16	16	16	k+e+ol	heißer Drogenstoff	ACCEPT_V25	the observed k/t/ch/sh by e by ol/or grid maps k to hot and ol to material, parallel to accepted cheol and sheol
lkar	f106r.35	31	21	29	29	l+(k+ar)	heiße Holzfraktion I	ACCEPT_V25	l is the established drug-wood head, the ar/air quality lattice reads kar as hot fraction I, and an l kar boundary bridge exists
losaiin	f107r.17	1	1	1	1	l+osaiin | lo+saiin	Holzzubereitung oder Holz-Saat-Menge	HOLD_SEPARATE_AUDIT	Singleton mit zwei gleich sichtbaren Zerlegungen.
lsheey	f77r.19	6	5	6	6	l+(sh+ee+y)	eingeweichtes Drogenholz, Form II	ACCEPT_V25	the exact l material head combines with the observed sh+eey moist-form-II body; GDT647 degree-end semantics are not exported to material heads
octhdy	f114r.13	2	2	2	2	o+cth+d+y	fertig aufbereiteter CTH-Ansatz	HOLD_SEPARATE_AUDIT	Nur zwei Belege; außerhalb Herbal darf CTH nicht vorschnell Blatt/Kraut heißen.
odaiin	f95v1.5	55	42	42	42	o+d+(a+iin)	Zubereitungsdosis III	ACCEPT_V25	o marks preparation, d the dose/result field, and a+iin the third value; p/s/r/l+odaiin already preserve the same body
okool	f103r.36	1	1	1	1	o+k+o+ol	kaltes/heißes Gut mit zusätzlichem O-Feld	HOLD_SEPARATE_AUDIT	Das zweite O hat noch keinen kalibrierten Kontrast.
olkeeey	f79r.38	11	11	7	8	ol+k+eee+y	heißes Gut mit EEE-Stufe	HOLD_SEPARATE_AUDIT	Sowohl OL-Besitz als auch EEE-Bedeutung sind offen.
olsaly	f83r.24	1	1	1	1	ol+s+al+y | o+l+saly	offen	REJECT_CURRENT_ROUTE	Internes S erbt keine tokeninitiale Samenfunktion; beide Parses sind unkalibriert.
otol	f77v.2	58	48	56	56	o+t+ol	kaltes Zubereitungsgut	ACCEPT_V25	the complete frame by k/t by optional ch by ol/or grid fixes o preparation, t cold and ol material
qolchey	f83r.25	9	6	8	8	qo+l+ch+e+y | q+ol+chey	Drogenholz im QO-Rahmen, Trockenform I	HOLD_SEPARATE_AUDIT	Nichtinitiales L und Q/OL-Scope müssen zuerst getrennt werden.
sheckhy	f81r.23	33	17	24	24	sh+e+ckh+y	offen	REJECT_CURRENT_ROUTE	SH darf nicht als S-Samenkopf zerlegt werden; CKH bleibt opak.
shedal	f83r.47	11	7	7	7	sh+e+d+al	angefeuchteter Rohstoff	HOLD_SEPARATE_AUDIT	SH ist kein S-Samenkopf; D+AL braucht einen eigenen Audit.
sheor	f49r.5	40	32	31	31	sh+e+or	feuchter Drogenteil	ACCEPT_V25	cheor is dry drug part, sheol is moist material, and the full e+ol/or quality grid predicts sh+e+or without an unattested heor stem
skar	f83r.44	1	1	1	1	s+k+ar	heiße Samenfraktion I	HOLD_SEPARATE_AUDIT	Vorhersage aus lkar, aber nur ein Beleg.
soty	f32r.16	1	1	1	1	s+o+t+y	kalte Saatzubereitungs-Grundform	HOLD_SEPARATE_AUDIT	Konkrete Singleton-Idee ohne wiederholte p/s/r/l-Restfamilie.
ykeey	f2r.13	49	40	41	41	y+k+ee+y	initiale-Y-Leiter offen	REJECT_CURRENT_ROUTE	Rekurrent, aber initiales Y besitzt noch keinen stabilen Sachwert.
ykeody	f14r.13	4	4	2	2	y+k+e+o+d+y	offen	REJECT_CURRENT_ROUTE	Initiales Y ist nicht lizenziert; eine kurze Glosse würde K/E/O/D löschen.
