surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	working_meaning_de	decision
otol	f75r	f75r.46	qokey qokedy sheol qokedy dain shedy otol chedy olor	qokey qokedy sheol qokedy dain shedy otol chedy olor	qokey qokedy sheol qokedy dain shedy tol che y olar	READER_VARIANT	kaltes Zubereitungsgut	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otol	f80r	f80r.38	sor olky qoty ty tor sheyky t otol opchedy qokain sheky qokain ol	sor olky qoty ty tor cheyky totol opchedy qokain sheky qokain ol	sor olky qoty ty tor sheyky t otol opchedy qokain sheky qokain ol	READER_VARIANT	kaltes Zubereitungsgut	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheor	f102v2	f102v2.17	podeesho oteeos sheor qoteeo ch y shkeey chekeod	podeesho oteeos sheos qokeeo chckhhy shkeey chekeod	po eesheo oteeos eos qoteeo chy shkeey chekeod	READER_VARIANT	feuchter Drogenteil	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheor	f103v	f103v.10	or cheey qokeeshy okeey loiin oy otedy lor aiin sheor qotain olldy	or cheey qokeeshy okeey loiin oithy otedy lor aiin sheor qotain olldy	or cheey qokeeshy okeey l iin o ote y lor aiin she r qotain olldy	READER_VARIANT	feuchter Drogenteil	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheor	f104v	f104v.22	ytchedy qokchedy qotchy qokchedy qokchd ls aiin qchor sheor ytaiin chey tal	ytchedy qokchedy qotchy qokchedy qokchd lsaiin qchor sheos ytaiin cheytal	ytchedy qokchedy qotchy qokche y qokchd lsaiin qchor sheos ytaiin chey tal	READER_VARIANT	feuchter Drogenteil	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheor	f111r	f111r.25	so sheor okeedy oteeey qokeey qokeeo s chedar alal oy oxar aiin odaiin chody	so sheor okeedy oteeey qokeey qokeeos chedar alal oikhy oxar aiin odaiin chody	so shear okee y oteeey qokeey qokeeo s che ar alal oy oxar aiin odaiin chod	READER_VARIANT	feuchter Drogenteil	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheor	f112r	f112r.43	yteeo r aiin okar opor aiin ycheedy qeedar yteeey sheor oteeg	yteeo raiin okar opor aiin ycheedy qeedar yteeey sheor oteeg	yteeo r aiin okar opor aiin y cheedy qeedar yteeey eor oteeey	READER_VARIANT	feuchter Drogenteil	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheor	f49r	f49r.14	qo shoqoky shor sheor otol daiin	qo shoqoky shor sheor otol daiin	qo shoqoky shor sheos otol daiin	READER_VARIANT	feuchter Drogenteil	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheor	f4r	f4r.11	qotchoiin sheor qoty	qotchoiin sheyr qoty	qotchoiin she r qot	READER_VARIANT	feuchter Drogenteil	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheor	f77v	f77v.28	ychedy qokedy qoked ol sheor olchdy	ychedy qokedy qoked olsheor olchdy	yche y qoke y qoked ol sheor olch y	READER_VARIANT	feuchter Drogenteil	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheor	f81r	f81r.26	pchedy qokey oteol qol sheor shedy qcthdys	pchedy qokey oteol qol sheor shedy qcthdys	pchedy qokey oteol qol shear shedy qcthdys	READER_VARIANT	feuchter Drogenteil	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
keol	f35v	f35v.19	schokey y keol chol daiin	schokey ykeol chol daiin	schokey ykeol chol daiin	READER_VARIANT	heißer Drogenstoff	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
keol	f88r	f88r.8	ral sheom keol chear shekor qokor daiin sar s aiin oky sam	sal sheom kol chear shekor qokor daiin sar raiin oky sam	sal sheom keol chear shekor qokor aiin sar s aiin oky sam	READER_VARIANT	heißer Drogenstoff	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f105r	f105r.28	pchsed sheefy opchey qoteedy qoeey qokeedy laiiin odaiin aiir opair kechedy	pchsed sheefy opchey qoteedy qoeey qokeedy laiiin odeaiin aiir opair kechedy	pchsed sheefy opchey qoteedy qoeey qokeedy laiiin odaiin aiir opair kechedy	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f105r	f105r.34	dor ail cheky kar odaiin ykl al oees al ar alkam	dor ail cheky kar odaiin ykl al oees al ar alkam	dor ail cheky kar o aiin ykl al oees al ar alkam	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f107v	f107v.39	okain cheor olkaiin oain cheary raiin okoiin odaiin okaiin y	okain cheor olkaiin oain cheary raiin okaiin odaiin okaiin y	okain cheor olkaiin oain cheary raiin okoiin o aiin okaiiny	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f108r	f108r.13	ykeey raiin ar ail odaiin	ykeey raiin ar ail odaiin	ykeey raiin ar ailo aiin	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f10r	f10r.12	odaiin daiin qotchy qotor	rodaiin daiin qotchy qotor	odaiin daiin qotchy qotor	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f115r	f115r.35	posheos aral chaiin shkchedy otais chsi chpchar ar al odaiin chcphy dy	posheos aral chaiin shkchedy otais chs chpchar ar al odaiin chcfhy dy	posheos aral chaiin shkchedy otais chsi chpchar ar al daiin chcphy dy	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f17v	f17v.20	ykeey okeey cheor chol sho odaiin	ykeey okeey cheor chol sho ydaiin	ykeey okeey cheor chol sho odaiin	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f17v	f17v.3	oldaig odaiin okal oldaiin chockhol olol	oldaim odaiin okal oldaiin chockhol olol	oldaig o aiin okal oldaiin chockhol olol	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f24r	f24r.2	qotaiin char odaiin okaial oky	qotaiin char odain okaiikhal oky	qotaiin char odaiin okai l oky	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f29v	f29v.3	chol chol kor shey odaiin qotchy taiin s she otey sy	chol chol kor shey odaiin qotchy taiin s she otey sy	chol chol kor ey o aiin qotchy taiin s e otey sy	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f58r	f58r.18	darar shol cholraly cholaiin odaiin chaly dalar aiin okal otal	darar shol cholraly cholaiin odaiin chaly dalar aiin okal otal	darar shol cholraly cholaiin o aiin chaly dalar aiin okal otal	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f88v	f88v.19	odaiin sheo ol qokeey olaiin cheody chocthey oteody dy	odoiin sheo ol qokeey olaiin cheody chocthey oteody dy	odaiin sheo ol qokeey ol aiin cheody chocthey oteody dy	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
odaiin	f89v1	f89v1.12	qokar odaiin	qokar odaiin	qokar o aiin	READER_VARIANT	Zubereitungsdosis III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
cholkaiin	f95r1	f95r1.8	olkor chdaiin cholkaiin qokeedy qoky chey lchedy chedy alod	olkor chdaiin chol kaiin qokeedy qoky chedy lchedy chedy alod	olkor chdaiin chal kaiin qokee y qoky che y lchedy che y alod	READER_VARIANT	Trockengut, heiß im dritten Grad	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
lkar	f105r	f105r.31	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	kodeey lchl shx ar aiidy cpheesy okal lkedy lkor chedy qokaiin or fchoky	todeey lchl shx ar aiijy cpheesy okal lkedy lk r che y qokaiin or fcho y	READER_VARIANT	heiße Holzfraktion I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
