family	surface	composition	predicted_reading_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	surface_status
CHOL_KAIIN_FUSION	chol	ch+ol	Trockengut	343	125	303	303	OBSERVED
CHOL_KAIIN_FUSION	cholkaiiin	chol+(k+aiiin)	Trockengut, heiß im Grad IV	0	0	0	0	ABSENT_HOLD
CHOL_KAIIN_FUSION	cholkaiin	chol+(k+aiin)	Trockengut, heiß im Grad III	5	5	4	4	TARGET
CHOL_KAIIN_FUSION	cholkain	chol+(k+ain)	Trockengut, heiß im Grad II	1	1	1	1	OBSERVED
CHOL_KAIIN_FUSION	cholkan	chol+(k+an)	Trockengut, heiß im Grad I	0	0	0	0	ABSENT_HOLD
CHOL_KAIIN_FUSION	kaiin	k+(a+iin)	heiß im Grad III	74	42	44	44	OBSERVED
E_OL_OR_QUALITY_GRID	cheol	ch+e+ol	trockener Drogenstoff	142	71	118	119	OBSERVED
E_OL_OR_QUALITY_GRID	cheor	ch+e+or	trockener Drogenteil	71	45	56	57	OBSERVED
E_OL_OR_QUALITY_GRID	chol	ch+ol	trockener Drogenstoff	343	125	303	303	OBSERVED
E_OL_OR_QUALITY_GRID	chor	ch+or	trockener Drogenteil	190	97	176	176	OBSERVED
E_OL_OR_QUALITY_GRID	keol	k+e+ol	heißer Drogenstoff	18	16	16	16	TARGET
E_OL_OR_QUALITY_GRID	keor	k+e+or	heißer Drogenteil	6	6	5	5	OBSERVED
E_OL_OR_QUALITY_GRID	kol	k+ol	heißer Drogenstoff	30	27	20	20	OBSERVED
E_OL_OR_QUALITY_GRID	kor	k+or	heißer Drogenteil	20	20	13	13	OBSERVED
E_OL_OR_QUALITY_GRID	sheol	sh+e+ol	feuchter Drogenstoff	90	52	71	72	OBSERVED
E_OL_OR_QUALITY_GRID	sheor	sh+e+or	feuchter Drogenteil	40	32	31	31	TARGET
E_OL_OR_QUALITY_GRID	shol	sh+ol	feuchter Drogenstoff	163	86	146	146	OBSERVED
E_OL_OR_QUALITY_GRID	shor	sh+or	feuchter Drogenteil	91	62	77	79	OBSERVED
E_OL_OR_QUALITY_GRID	teol	t+e+ol	kalter Drogenstoff	13	12	12	12	OBSERVED
E_OL_OR_QUALITY_GRID	teor	t+e+or	kalter Drogenteil	3	3	3	3	OBSERVED
E_OL_OR_QUALITY_GRID	tol	t+ol	kalter Drogenstoff	34	25	27	27	OBSERVED
E_OL_OR_QUALITY_GRID	tor	t+or	kalter Drogenteil	17	17	12	12	OBSERVED
L_QUALITY_FRACTION_GRID	chaiir	ch+aiir	trockene Fraktion III	0	0	0	0	ABSENT_HOLD
L_QUALITY_FRACTION_GRID	chair	ch+air	trockene Fraktion II	2	2	1	1	OBSERVED
L_QUALITY_FRACTION_GRID	char	ch+ar	trockene Fraktion I	75	51	55	55	OBSERVED
L_QUALITY_FRACTION_GRID	kaiir	k+aiir	heiße Fraktion III	1	1	0	0	OBSERVED
L_QUALITY_FRACTION_GRID	kair	k+air	heiße Fraktion II	11	8	8	8	OBSERVED
L_QUALITY_FRACTION_GRID	kar	k+ar	heiße Fraktion I	57	42	42	42	OBSERVED
L_QUALITY_FRACTION_GRID	lchaiir	l+(ch+aiir)	trockene Holzfraktion III	0	0	0	0	ABSENT_HOLD
L_QUALITY_FRACTION_GRID	lchair	l+(ch+air)	trockene Holzfraktion II	0	0	0	0	ABSENT_HOLD
L_QUALITY_FRACTION_GRID	lchar	l+(ch+ar)	trockene Holzfraktion I	3	3	3	3	OBSERVED
L_QUALITY_FRACTION_GRID	lkaiir	l+(k+aiir)	heiße Holzfraktion III	2	2	2	2	OBSERVED
L_QUALITY_FRACTION_GRID	lkair	l+(k+air)	heiße Holzfraktion II	4	4	2	2	OBSERVED
L_QUALITY_FRACTION_GRID	lkar	l+(k+ar)	heiße Holzfraktion I	31	21	29	29	TARGET
L_QUALITY_FRACTION_GRID	lshaiir	l+(sh+aiir)	feuchte Holzfraktion III	1	1	1	1	OBSERVED
L_QUALITY_FRACTION_GRID	lshair	l+(sh+air)	feuchte Holzfraktion II	0	0	0	0	ABSENT_HOLD
L_QUALITY_FRACTION_GRID	lshar	l+(sh+ar)	feuchte Holzfraktion I	1	1	1	1	OBSERVED
L_QUALITY_FRACTION_GRID	ltaiir	l+(t+aiir)	kalte Holzfraktion III	0	0	0	0	ABSENT_HOLD
L_QUALITY_FRACTION_GRID	ltair	l+(t+air)	kalte Holzfraktion II	0	0	0	0	ABSENT_HOLD
L_QUALITY_FRACTION_GRID	ltar	l+(t+ar)	kalte Holzfraktion I	1	1	0	0	OBSERVED
L_QUALITY_FRACTION_GRID	shaiir	sh+aiir	feuchte Fraktion III	0	0	0	0	ABSENT_HOLD
L_QUALITY_FRACTION_GRID	shair	sh+air	feuchte Fraktion II	1	1	1	1	OBSERVED
L_QUALITY_FRACTION_GRID	shar	sh+ar	feuchte Fraktion I	29	25	24	24	OBSERVED
L_QUALITY_FRACTION_GRID	taiir	t+aiir	kalte Fraktion III	0	0	0	0	ABSENT_HOLD
L_QUALITY_FRACTION_GRID	tair	t+air	kalte Fraktion II	11	10	10	10	OBSERVED
L_QUALITY_FRACTION_GRID	tar	t+ar	kalte Fraktion I	40	33	33	33	OBSERVED
MATERIAL_QUALITY_FORM_GRID	lcheey	l+(ch+eey)	Drogenholz, trocken, Form II	13	11	10	10	OBSERVED
MATERIAL_QUALITY_FORM_GRID	lchey	l+(ch+ey)	Drogenholz, trocken, Form I	46	30	37	38	OBSERVED
MATERIAL_QUALITY_FORM_GRID	lchy	l+(ch+y)	Drogenholz, trocken, Grundform	8	8	7	7	OBSERVED
MATERIAL_QUALITY_FORM_GRID	lsheey	l+(sh+eey)	Drogenholz, feucht/eingeweicht, Form II	6	5	6	6	TARGET
MATERIAL_QUALITY_FORM_GRID	lshey	l+(sh+ey)	Drogenholz, feucht/eingeweicht, Form I	17	12	14	14	OBSERVED
MATERIAL_QUALITY_FORM_GRID	lshy	l+(sh+y)	Drogenholz, feucht/eingeweicht, Grundform	3	3	3	3	OBSERVED
MATERIAL_QUALITY_FORM_GRID	pcheey	p+(ch+eey)	Pulver, trocken, Form II	3	3	3	3	OBSERVED
MATERIAL_QUALITY_FORM_GRID	pchey	p+(ch+ey)	Pulver, trocken, Form I	8	8	6	6	OBSERVED
MATERIAL_QUALITY_FORM_GRID	pchy	p+(ch+y)	Pulver, trocken, Grundform	2	2	1	1	OBSERVED
MATERIAL_QUALITY_FORM_GRID	psheey	p+(sh+eey)	Pulver, feucht/eingeweicht, Form II	1	1	0	0	OBSERVED
MATERIAL_QUALITY_FORM_GRID	pshey	p+(sh+ey)	Pulver, feucht/eingeweicht, Form I	1	1	0	0	OBSERVED
MATERIAL_QUALITY_FORM_GRID	pshy	p+(sh+y)	Pulver, feucht/eingeweicht, Grundform	1	1	1	1	OBSERVED
MATERIAL_QUALITY_FORM_GRID	rcheey	r+(ch+eey)	Wurzel, trocken, Form II	5	4	4	4	OBSERVED
MATERIAL_QUALITY_FORM_GRID	rchey	r+(ch+ey)	Wurzel, trocken, Form I	8	5	5	6	OBSERVED
MATERIAL_QUALITY_FORM_GRID	rchy	r+(ch+y)	Wurzel, trocken, Grundform	3	3	2	3	OBSERVED
MATERIAL_QUALITY_FORM_GRID	rsheey	r+(sh+eey)	Wurzel, feucht/eingeweicht, Form II	0	0	0	0	ABSENT_HOLD
MATERIAL_QUALITY_FORM_GRID	rshey	r+(sh+ey)	Wurzel, feucht/eingeweicht, Form I	2	2	1	1	OBSERVED
MATERIAL_QUALITY_FORM_GRID	rshy	r+(sh+y)	Wurzel, feucht/eingeweicht, Grundform	0	0	0	0	ABSENT_HOLD
MATERIAL_QUALITY_FORM_GRID	scheey	s+(ch+eey)	Saatgut, trocken, Form II	1	1	0	1	OBSERVED
MATERIAL_QUALITY_FORM_GRID	schey	s+(ch+ey)	Saatgut, trocken, Form I	5	5	4	4	OBSERVED
MATERIAL_QUALITY_FORM_GRID	schy	s+(ch+y)	Saatgut, trocken, Grundform	2	2	2	2	OBSERVED
MATERIAL_QUALITY_FORM_GRID	ssheey	s+(sh+eey)	Saatgut, feucht/eingeweicht, Form II	2	1	1	1	OBSERVED
MATERIAL_QUALITY_FORM_GRID	sshey	s+(sh+ey)	Saatgut, feucht/eingeweicht, Form I	5	5	4	5	OBSERVED
MATERIAL_QUALITY_FORM_GRID	sshy	s+(sh+y)	Saatgut, feucht/eingeweicht, Grundform	0	0	0	0	ABSENT_HOLD
ODAIIN_DOSAGE_LADDER	lodaiin	l+(o+d+(a+iin))	Drogenholz: Zubereitungsdosis III	3	3	2	2	OBSERVED
ODAIIN_DOSAGE_LADDER	odaiiin	o+d+(aiiin)	Zubereitungsdosis IV	4	4	3	3	OBSERVED
ODAIIN_DOSAGE_LADDER	odaiin	o+d+(aiin)	Zubereitungsdosis III	55	42	42	42	TARGET
ODAIIN_DOSAGE_LADDER	odain	o+d+(ain)	Zubereitungsdosis II	14	11	11	11	OBSERVED
ODAIIN_DOSAGE_LADDER	odan	o+d+(an)	Zubereitungsdosis I	2	2	2	2	OBSERVED
ODAIIN_DOSAGE_LADDER	podaiin	p+(o+d+(a+iin))	Pulver: Zubereitungsdosis III	4	4	4	4	OBSERVED
ODAIIN_DOSAGE_LADDER	rodaiin	r+(o+d+(a+iin))	Wurzel: Zubereitungsdosis III	2	2	1	1	OBSERVED
ODAIIN_DOSAGE_LADDER	sodaiin	s+(o+d+(a+iin))	Saatgut: Zubereitungsdosis III	3	3	2	2	OBSERVED
