component_id	surface	segment	working_value_de	evidence_path	evidence_kind	licensed_use
G648-B01	otol	o	Ansatz/Zubereitung	experiments/yolo/gdt630_outer_carrier_attachment/REPORT.md	PREPARATION_FRAME	inside exact otol only
G648-B02	otol	t	kalt	experiments/yolo/gdt630_outer_carrier_attachment/REPORT.md	COLD_QUALITY	inside exact otol only
G648-B03	otol	ol	Gut/Material	experiments/yolo/gdt630_outer_carrier_attachment/REPORT.md	MATERIAL_CARRIER	inside exact otol only
G648-B04	sheor	sh	feucht	experiments/yolo/gdt642_exact_e_ol_or_carrier_completion/REPORT.md	MOIST_QUALITY	inside exact sheor only
G648-B05	sheor	e	attributive Verbindung; nur gebunden	experiments/yolo/gdt642_exact_e_ol_or_carrier_completion/REPORT.md	BOUND_ATTRIBUTIVE_LINK	inside exact sheor only
G648-B06	sheor	or	Teil	experiments/yolo/gdt642_exact_e_ol_or_carrier_completion/REPORT.md	PART_CARRIER	inside exact sheor only
G648-B07	keol	k	heiß	experiments/yolo/gdt642_exact_e_ol_or_carrier_completion/REPORT.md	HOT_QUALITY	inside exact keol only
G648-B08	keol	e	attributive Verbindung; nur gebunden	experiments/yolo/gdt642_exact_e_ol_or_carrier_completion/REPORT.md	BOUND_ATTRIBUTIVE_LINK	inside exact keol only
G648-B09	keol	ol	Stoff/Material	experiments/yolo/gdt642_exact_e_ol_or_carrier_completion/REPORT.md	MATERIAL_CARRIER	inside exact keol only
G648-B10	odaiin	o	Zubereitung	experiments/yolo/gdt636_residual_four_head_semantics/REPORT.md	PREPARATION_HEAD	inside exact odaiin only
G648-B11	odaiin	d	Dosis-/Ergebnisfeld; nur hier gebunden	experiments/yolo/gdt636_residual_four_head_semantics/REPORT.md	BOUND_DOSE_FIELD	inside exact odaiin only
G648-B12	odaiin	a+iin	Wert III	experiments/yolo/gdt636_residual_four_head_semantics/REPORT.md	BOUND_VALUE_III	inside exact odaiin only
G648-B13	cholkaiin	chol	Trockengut	experiments/yolo/gdt630_outer_carrier_attachment/REPORT.md	DRY_MATERIAL_WHOLE	inside exact cholkaiin only
G648-B14	cholkaiin	k+a+iin	heiß im dritten Grad	experiments/yolo/gdt647_quality_subdegree_family_migration/REPORT.md	HOT_DEGREE_III_WHOLE	inside exact cholkaiin only
G648-B15	lkar	l	Drogenholz	experiments/yolo/gdt636_residual_four_head_semantics/REPORT.md	WOOD_MATERIAL_HEAD	inside exact lkar only
G648-B16	lkar	k+ar	heiße Fraktion I; nur gebunden	experiments/yolo/gdt645_ranked_five_surface_completion/REPORT.md	BOUND_HOT_FRACTION_I	inside exact lkar only
G648-B17	lsheey	l	Drogenholz	experiments/yolo/gdt636_residual_four_head_semantics/REPORT.md	WOOD_MATERIAL_HEAD	inside exact lsheey only
G648-B18	lsheey	sh+ee+y	Feucht-/Einweichform II; nur gebunden	experiments/yolo/gdt636_residual_four_head_semantics/REPORT.md	BOUND_MOIST_FORM_II	inside exact lsheey only
