audit_id	round	surface	page	locus	section	language	hand	token_ordinal	line_position	previous	following	zl3b_line	it2a_line	rf1b_line	reader_support	reader_exact	split_normalized	before_gloss_de	after_gloss_de	known_other_tokens	clean_known_other_tokens	local_before_de	local_after_de	hard_collision	verdict
G648-A01-001	1	otol	f105r	f105r.21	S	B	3	7	MEDIAL	saiin	shody	ycheo lkedy qoeey qokedy qokedal saiin otol shody chedy okaiin chekaim	ycheo lkedy qoeey qokedy qokedal saiin otol shody chedy okaiin chekaim	ycheo lkedy qoee qokedy qokedal saiin otol shody che y okaiin chekaim	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	4	3	[ycheo:?] | [lkedy:?] | [qoeey:?] | heiß in der Mitte des Grades, abgeschlossen | [qokedal:?] | Samen/Saatgut, Typ/Charge III | [otol:?] | [shody:?] | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III, im Ansatzrahmen | [chekaim:?]	[ycheo:?] | [lkedy:?] | [qoeey:?] | heiß in der Mitte des Grades, abgeschlossen | [qokedal:?] | Samen/Saatgut, Typ/Charge III | kaltes Zubereitungsgut | [shody:?] | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III, im Ansatzrahmen | [chekaim:?]	0	CLEAN_CONTEXT_COMPATIBLE
G648-A01-002	1	otol	f106r	f106r.18	S	B	3	4	MEDIAL	qokeedy	okeedy	kshed dsheol qokeedy otol okeedy lkeedar sheopchy qopchy qotolchy qoty chdy	kshed dsheol qokeedy otol okeedy lkeedar sheopchy qopchy qotolchy qoty chdy	kshed dsheol qokeedy otol okeedy lkeedar sheopchy qopchy qotolchy qoty chdy	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	4	4	[kshed:?] | [dsheol:?] | heiß am Ende des Grades, abgeschlossen | [otol:?] | heißer Ansatz am Ende des Grades, abgeschlossen | [lkeedar:?] | [sheopchy:?] | [qopchy:?] | [qotolchy:?] | kalt am Anfang des Grades | trocken am Anfang des Grades, abgeschlossen	[kshed:?] | [dsheol:?] | heiß am Ende des Grades, abgeschlossen | kaltes Zubereitungsgut | heißer Ansatz am Ende des Grades, abgeschlossen | [lkeedar:?] | [sheopchy:?] | [qopchy:?] | [qotolchy:?] | kalt am Anfang des Grades | trocken am Anfang des Grades, abgeschlossen	0	CLEAN_CONTEXT_COMPATIBLE
G648-A01-003	1	otol	f106v	f106v.44	S	B	3	10	MEDIAL	oteedy	oty	cthey chey okal chey keeyrain okeeo otaiin chedar oteedy otol oty	cthey chey okal chey keey rain okeeo otaiin chedar oteedy otol oty	cthey chey okal chey keeyrain okeeo otaiin che ar oteedy otol oty	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	7	7	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | trocken in der Mitte des Grades | Ansatz aus heißem Rohstoff, Form I | trocken in der Mitte des Grades | [keeyrain:?] | [okeeo:?] | kalt im Zubereitungsrahmen, Grad III | [chedar:?] | kalter Ansatz am Ende des Grades, abgeschlossen | [otol:?] | kalter Ansatz am Anfang des Grades	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | trocken in der Mitte des Grades | Ansatz aus heißem Rohstoff, Form I | trocken in der Mitte des Grades | [keeyrain:?] | [okeeo:?] | kalt im Zubereitungsrahmen, Grad III | [chedar:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kaltes Zubereitungsgut | kalter Ansatz am Anfang des Grades	0	CLEAN_CONTEXT_COMPATIBLE
G648-A01-004	1	otol	f107v	f107v.11	S	B	3	8	MEDIAL	qotaiin	qoteedy	tshedy okal shedy qokchey chky qokeey qotaiin otol qoteedy qopchcfhy	tshedy okal shedy qokchey chky qokeey qotaiin otol qoteedy qopchcfhy	tshed okal she y qokchey chky qokeey qotaiin otol qoteedy qopchcfhy	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	7	5	kalt und feucht in der Mitte des Grades, abgeschlossen | Ansatz aus heißem Rohstoff, Form I | feucht in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades | [chky:?] | heiß am Ende des Grades | kalt, Grad III | [otol:?] | kalt am Ende des Grades, abgeschlossen | [qopchcfhy:?]	kalt und feucht in der Mitte des Grades, abgeschlossen | Ansatz aus heißem Rohstoff, Form I | feucht in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades | [chky:?] | heiß am Ende des Grades | kalt, Grad III | kaltes Zubereitungsgut | kalt am Ende des Grades, abgeschlossen | [qopchcfhy:?]	0	CLEAN_CONTEXT_COMPATIBLE
G648-A01-005	1	otol	f108r	f108r.5	S	B	3	12	FINAL	qotedy	<EOS>	tchokedy chey oteey okeey lkededy okche y pchofar cheo pchedy qotedy otol	tchokedy chey oteey okeey lkedshedy okcheefy pchofar cheo pchedy qotedy otol	tchokedy chey oteey okeey lkededy okcheefy pchofar cheo pchedy qotedy otol	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	6	6	[tchokedy:?] | trocken in der Mitte des Grades | kalter Ansatz am Ende des Grades | heißer Ansatz am Ende des Grades | [lkededy:?] | [okche:?] | [y:?] | [pchofar:?] | trocken angesetzte Zubereitung | getrocknetes Pulver | kalt in der Mitte des Grades, abgeschlossen | [otol:?]	[tchokedy:?] | trocken in der Mitte des Grades | kalter Ansatz am Ende des Grades | heißer Ansatz am Ende des Grades | [lkededy:?] | [okche:?] | [y:?] | [pchofar:?] | trocken angesetzte Zubereitung | getrocknetes Pulver | kalt in der Mitte des Grades, abgeschlossen | kaltes Zubereitungsgut	0	CLEAN_CONTEXT_COMPATIBLE
G648-A01-006	1	otol	f10r	f10r.8	H	A	1	3	MEDIAL	chor	chol	qotchor chor otol chol cholor chol daiin dar	qotchor chor otol chol cholor chol daiin dar	qotchor chor otol chol cholor chol daiin dar	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	5	5	kalt-trockene Drogenportion | Pflanzen-/Reproduktionsteil | [otol:?] | trocken; nominal trockenes Gut/Material | [cholor:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dar:?]	kalt-trockene Drogenportion | Pflanzen-/Reproduktionsteil | kaltes Zubereitungsgut | trocken; nominal trockenes Gut/Material | [cholor:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dar:?]	0	CLEAN_CONTEXT_COMPATIBLE
G648-A01-007	1	otol	f112v	f112v.44	S	B	3	4	MEDIAL	qaiin	teol	qokchal qokey qaiin otol teol okal otedar epalchdy alpchdy	qokchal qokey qaiin otol teol okal otedar opalchdy alpchdy	qokchol qokey qaiin otol teol okal ote ar epalchdy alpchdy	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	2	2	[qokchal:?] | heiß in der Mitte des Grades | [qaiin:?] | [otol:?] | [teol:?] | Ansatz aus heißem Rohstoff, Form I | [otedar:?] | [epalchdy:?] | [alpchdy:?]	[qokchal:?] | heiß in der Mitte des Grades | [qaiin:?] | kaltes Zubereitungsgut | [teol:?] | Ansatz aus heißem Rohstoff, Form I | [otedar:?] | [epalchdy:?] | [alpchdy:?]	0	CLEAN_CONTEXT_COMPATIBLE
G648-A01-008	1	otol	f113v	f113v.26	S	B	3	11	MEDIAL	otaiin	qotody	okiin al keechy qoteeol otar ar otchey otaiin al otaiin otol qotody loty	okiin al keechy qoteeol otar ar otchey otaiin al otaiin otol qotody loty	okiin al keechy qoteeol otar ar otchey otaiin al otaiin otol qotody loty	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	3	3	[okiin:?] | [al:?] | [keechy:?] | [qoteeol:?] | [otar:?] | [ar:?] | kalt-trockener Ansatz in der Mitte des Grades | kalt im Zubereitungsrahmen, Grad III | [al:?] | kalt im Zubereitungsrahmen, Grad III | [otol:?] | [qotody:?] | [loty:?]	[okiin:?] | [al:?] | [keechy:?] | [qoteeol:?] | [otar:?] | [ar:?] | kalt-trockener Ansatz in der Mitte des Grades | kalt im Zubereitungsrahmen, Grad III | [al:?] | kalt im Zubereitungsrahmen, Grad III | kaltes Zubereitungsgut | [qotody:?] | [loty:?]	0	CLEAN_CONTEXT_COMPATIBLE
G648-A01-009	1	otol	f114r	f114r.16	S	B	3	13	MEDIAL	chekar	chedy	cheoal sheedo l kol dair dair chdair cheoty otal cheo dair chekar otol chedy	cheoal sheedo lkol dair dair chdair cheoty otal cheo dair chekor otol chedy	cheoal sheedo l kol dair air chdair cheoty otal cheo dair chek r otol chedy	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	4	3	[cheoal:?] | [sheedo:?] | [l:?] | heiß; nominal heißes Gut/Material | [dair:?] | [dair:?] | [chdair:?] | [cheoty:?] | Ansatz aus kaltem Rohstoff, Form I | trocken angesetzte Zubereitung | [dair:?] | [chekar:?] | [otol:?] | trocken in der Mitte des Grades, abgeschlossen	[cheoal:?] | [sheedo:?] | [l:?] | heiß; nominal heißes Gut/Material | [dair:?] | [dair:?] | [chdair:?] | [cheoty:?] | Ansatz aus kaltem Rohstoff, Form I | trocken angesetzte Zubereitung | [dair:?] | [chekar:?] | kaltes Zubereitungsgut | trocken in der Mitte des Grades, abgeschlossen	0	CLEAN_CONTEXT_COMPATIBLE
G648-A01-010	1	otol	f114v	f114v.11	S	B	3	7	MEDIAL	chepched	shedain	tchedy qotaiin chdy qotedy tedaiin chepched otol shedain pol otam	tchedy qotaiin chdy qotedy tedaiin chepched otol shedain pol otam	tchedy qotaiin chdy qote y tedaiin chepched otol shedain pol otam	ALL_THREE_EXACT	1	1	[otol:?]	kaltes Zubereitungsgut	5	4	kalt und trocken in der Mitte des Grades, abgeschlossen | kalt, Grad III | trocken am Anfang des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | [tedaiin:?] | [chepched:?] | [otol:?] | [shedain:?] | Pulverstoff | [otam:?]	kalt und trocken in der Mitte des Grades, abgeschlossen | kalt, Grad III | trocken am Anfang des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | [tedaiin:?] | [chepched:?] | kaltes Zubereitungsgut | [shedain:?] | Pulverstoff | [otam:?]	0	CLEAN_CONTEXT_COMPATIBLE
