page	locus	strict_complete	enabled_by_surfaces	zl3b_line	literal_v25_de	smoothed_source_reading_de
f106r	f106r.35	1	lkar	okaiin choky lkar chdy lchedy	heiß, Grad III, im Ansatzrahmen; heiß-trockene Zubereitung, Grundform; heiße Holzfraktion I; trocken am Anfang des Grades, abgeschlossen; getrocknetes Drogenholz	Heißer Ansatz, Grad III; heiß-trockene Zubereitung; heiße Holzfraktion I; trocken am Gradanfang, abgeschlossen; getrocknetes Drogenholz.
f106v	f106v.36	1	cholkaiin	sol sheedy qokaiin cholkaiin	Samenmaterial/Saatgut; feucht am Ende des Grades, abgeschlossen; heiß, Grad III; Trockengut, heiß im dritten Grad	Saatgut; feucht und abgeschlossen am Gradende; heiß im dritten Grad; Trockengut, heiß im dritten Grad.
f10r	f10r.12	0	odaiin	odaiin daiin qotchy qotor	Zubereitungsdosis III; Grad-/Maßwert III; kalt und trocken am Anfang des Grades; kalte Drogenportion	NOT_CURATED_SOURCE_LINE
f49r	f49r.5	1	sheor	chor sheor chey teey qotan	Pflanzen-/Reproduktionsteil; feuchter Drogenteil; trocken in der Mitte des Grades; kalt am Ende des Grades; kalt im qo-Rahmen, Grad I	Pflanzenteil; feuchter Drogenteil; trocken in der Gradmitte; kalt am Gradende; kalt im ersten Grad.
f56r	f56r.19	1	keol	otchey keol daiin	kalt-trockener Ansatz in der Mitte des Grades; heißer Drogenstoff; Qualitätsgrad III	Kalt-trockener Ansatz in der Gradmitte; heißer Drogenstoff, Grad III.
f75r	f75r.46	0	otol	qokey qokedy sheol qokedy dain shedy otol chedy olor	heiß in der Mitte des Grades; heiß in der Mitte des Grades, abgeschlossen; feuchtes Material; heiß in der Mitte des Grades, abgeschlossen; Grad-/Maßwert II; feucht in der Mitte des Grades, abgeschlossen; kaltes Zubereitungsgut; trocken in der Mitte des Grades, abgeschlossen; Zutat	NOT_CURATED_SOURCE_LINE
f77r	f77r.19	1	lsheey	qokeedy lchey lsheey qokeedy qokeedy qokar qokeey laiin chey	heiß am Ende des Grades, abgeschlossen; Drogenholz, trocken gebunden, Form I; eingeweichtes Drogenholz, Form II; heiß am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; heiße Portion; heiß am Ende des Grades; Drogenholz, Typ/Charge III; trocken in der Mitte des Grades	Heiß und abgeschlossen am Gradende; trockenes Drogenholz; eingeweichtes Drogenholz, Form II; heiße Portion und Holzcharge III.
f77v	f77v.2	1	otol	otol shedy	kaltes Zubereitungsgut; feucht in der Mitte des Grades, abgeschlossen	Kaltes Zubereitungsgut; feucht in der Gradmitte, abgeschlossen.
f89v1	f89v1.12	0	odaiin	qokar odaiin	heiße Portion; Zubereitungsdosis III	NOT_CURATED_SOURCE_LINE
f95v1	f95v1.5	1	odaiin	otal shedy odaiin chey	Ansatz aus kaltem Rohstoff, Form I; feucht in der Mitte des Grades, abgeschlossen; Zubereitungsdosis III; trocken in der Mitte des Grades	Ansatz aus kaltem Rohstoff, Form I; feucht in der Gradmitte, abgeschlossen; Zubereitungsdosis III; trocken in der Gradmitte.
