card_no	joint_tuple_id	surfaces	events	event_ids	records	origin_deck	origin_drawer	union_drawer	small_value_de
BIOC001	7db18b2f0fb7ed0fcfd3	qokedy	8	E101|E137|E138|E259|E294|E297|E318|E335	B1|B3|B4	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurz ansetzen; Schluss
BIOC002	b5fcea1eaed06b2f2291	okaiin|qokaiin	8	E102|E180|E181|E219|E236|E243|E256|E270	B1|B2|B3	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	bemessen
BIOC003	22fb87a5a83e5c3fb510	kair	1	E103	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	Wasser zufuehren
BIOC004	308e8ea2d5d190c498e8	okal|qokal	5	E104|E152|E172|E186|E241	B1|B2|B3	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	an die Stelle setzen
BIOC005	4d4559019a961b834aa1	char|dar|sar	3	E105|E199|E238	B1|B2|B3	B1	PORTABLE_RECURRENT_WHOLE_CARD	PORTABLE_LEARNED_WHOLE_CARD	dasselbe
BIOC006	dcda95c81a5460feb191	cheol|ol|qol|sol|tol	16	E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378	B1|B3|B4|B5|B6	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	fortsetzen
BIOC007	9da1b6ac2c929daea697	chkain|kain	3	E107|E257|E354	B1|B3|B4	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	eine Portion
BIOC008	94df4847b7b16c98394a	olkain|qolkain	2	E108|E358	B1|B4	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	weitere Portion
BIOC009	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	9	E109|E156|E166|E214|E268|E272|E278|E359|E365	B1|B2|B3|B4|B5	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Stelle
BIOC010	1496a731803a9f48d2e1	rol	1	E111	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	weiter abkuehlen
BIOC011	0f18de177ed7c878bf95	dl	2	E112|E129	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	weiterfuehren
