statement_id	record_unit_id	events	event_ids	fields	owner_zones	owner_break_inside_statement	card_sequence_de	continuous_reading_de
B1-S001	B1	1	E101	F021	B1_SHARED_POOL_WORKSTATION	NO	kurz ansetzen; Schluss	Kurz ansetzen und den Schritt schließen.
B1-S002	B1	19	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	F022|F023	B1_SHARED_POOL_WORKSTATION	NO	bemessen > Wasser zufuehren > an die Stelle setzen > dasselbe > fortsetzen > eine Portion > weitere Portion > Stelle > fortsetzen > weiter abkuehlen > weiterfuehren > weiterer Ansatz > fortsetzen > kurz an der Durchlassstelle > Mass > länger an der Stelle halten > Mass > durchführen > überführen; Schluss	Bemessen, Wasser zufuehren und an die Stelle setzen; denselben Posten mit einer und einer weiteren Portion fortsetzen; weiter abkuehlen, weiterfuehren und einen weiteren Ansatz zugeben; kurz an der Durchlassstelle halten, auf Mass bringen, laenger an der Stelle halten, nochmals bemessen, durchfuehren, ueberfuehren und schliessen.
B1-S003	B1	2	E121|E122	F024|F025	B1_SHARED_POOL_WORKSTATION	NO	fortsetzen > gebuendelt umsetzen; Schluss	Fortsetzen, gebuendelt umsetzen und schliessen.
B1-S004	B1	3	E123|E124|E125	F026	B1_SHARED_POOL_WORKSTATION	NO	dies umsetzen > fortsetzen > kurz absetzen; Schluss	Dies umsetzen, fortsetzen, kurz absetzen und schließen.
B1-S005	B1	1	E126	F027	B1_SHARED_POOL_WORKSTATION	NO	weiterführen; Schluss	Den vorigen Gang weiterführen, überführen und schließen.
B1-S006	B1	4	E127|E128|E129|E130	F028	B1_SHARED_POOL_WORKSTATION	NO	eine Portion zugeben > durchführen > weiterfuehren > an der Stelle abkuehlen	Eine Portion zugeben, durchfuehren, weiterfuehren und an der Stelle abkuehlen.
B1-S007	B1	1	E131	F029	B1_SHARED_POOL_WORKSTATION	NO	Ansatz umsetzen; Schluss	Den Ansatz umsetzen; Schluss.
B1-S008	B1	5	E132|E133|E134|E135|E136	F030	B1_SHARED_POOL_WORKSTATION	NO	dies > fortsetzen > kurz wärmen > fortsetzen > kurz absetzen; Schluss	Dies fortsetzen, kurz wärmen, weiterführen, kurz absetzen und schließen.
B1-S009	B1	1	E137	F031	B1_SHARED_POOL_WORKSTATION	NO	kurz ansetzen; Schluss	Kurz ansetzen; Schluss.
B1-S010	B1	1	E138	F032	B1_SHARED_POOL_WORKSTATION	NO	kurz ansetzen; Schluss	Kurz ansetzen; Schluss.
B1-S011	B1	2	E139|E140	F033	B1_SHARED_POOL_WORKSTATION	NO	durchführen > verwende dies	Durch den Durchlass führen und dies verwenden.
B1-S012	B1	3	E141|E142|E143	F034	B1_SHARED_POOL_WORKSTATION	NO	Waschgang > kurz ansetzen > Waschgang; Schluss	Den Waschgang kurz ansetzen und schliessen.
B1-S013	B1	1	E144	F035	B1_SHARED_POOL_WORKSTATION	NO	Waschgang; Schluss	Den Waschgang schliessen.
B1-S014	B1	5	E145|E146|E147|E148|E149	F036	B1_SHARED_POOL_WORKSTATION	NO	dies umsetzen > dies auffangen > zum Auslass führen > fortsetzen > danach von dort	Dies umsetzen, auffangen, zum Auslass fuehren, fortsetzen und danach von dort weitergehen.
B1-S015	B1	2	E150|E151	F037	B1_SHARED_POOL_WORKSTATION	NO	fuellen > Ansatz umsetzen; Schluss	Fuellen, den Ansatz umsetzen und schliessen.
B1-S016	B1	4	E152|E153|E154|E155	F038	B1_SHARED_POOL_WORKSTATION	NO	an die Stelle setzen > länger ansetzen > fortsetzen > kurz absetzen; Schluss	An die Stelle setzen, länger ansetzen, fortsetzen, kurz absetzen und schließen.
B1-S017	B1	3	E156|E157|E158	F039	B1_SHARED_POOL_WORKSTATION	NO	Stelle > kurz fortsetzen > umsetzen; Schluss	An der Stelle kurz fortsetzen, umsetzen und schliessen.
