dossier_id	bench_step	phase	source_units	statement_or_locus_count	visible_group_count	master_instruction_de	handoff_de
D1_ROOT_BATH_RIGHT_WHEEL	1	WHEN	M67_RIGHT_SECTORS;M67_RIGHT_RING_RULES;M67_RIGHT_PHASES;M67_SHARED_LEGEND	24	69	Am rechten f67r2-Rad einen sichtbaren Sektor wählen, zugehörige Ringregel und Phasenstelle lesen und den lokalen Wert zum Arbeitsfall notieren.	gewählten sichtbaren Bedingungswert auf dem Arbeitszettel notieren
D1_ROOT_BATH_RIGHT_WHEEL	2	WHAT	H1;H2	5	38	Nimm von der abgebildeten Pflanze die Wurzel und richte daraus einen Ansatz. Trenne einen Teil ab, gib ihn ins Arbeitsgefäß und lasse Wasser zulaufen. Führe den nächsten Teil weiter und stelle ihn auf das vorgeschriebene Maß. Nimm später erneut vom ersten Auszug, erwärme ihn gelinde und halte ihn zum Gebrauch bereit. Nimm eine erste Fraktion der abgebildeten Pflanze, zerkleinere sie und presse sie durch Tuch. Fange den Auszug auf, gib einen Zusatz im vorgeschriebenen Maß hinzu und erwärme gelinde. Nimm eine zweite Fraktion, führe den ersten Ansatz weiter und vereinige beide im gleichen Maß. Rühre sie zu einer weichen Bereitung, verwahre sie bedeckt und gebrauche sie an der bezeichneten Stelle.	vorbereiteten Pflanzenposten an die lokale Station übergeben
D1_ROOT_BATH_RIGHT_WHEEL	3	HOW	B1	21	66	Richte am gemeinsamen zweireihigen Figurenbecken eine bemessene Waschcharge ein. Führe sie durch die örtlichen Läufe, gib Portion und Zusatz zum Ziel, halte länger, übertrage und schließe. Setze nacheinander kurze Wasch-, Wärme-, Ruhe-, Durchlauf- und Abführgänge. Sammle den nutzbaren Anteil, reinige Becken und Leitung und führe die Restflüssigkeit über den unteren Ablauf ab.	örtlichen Arbeitsgang schließen und Ergebnis unter der gewählten Bedingung verbuchen
D2_CLEAR_EXTRACT_STAR_ATLAS	1	WHEN	M68_PANEL_HEADERS;M68_STAR_STATIONS;M68_CENTER_KEY	37	65	Auf f68r1 zuerst den sichtbaren Paneelmodus und dann eine Sternstation wählen; Zentrum oder Legende nur als lokalen Grad-/Zielschlüssel benutzen.	gewählten sichtbaren Bedingungswert auf dem Arbeitszettel notieren
D2_CLEAR_EXTRACT_STAR_ATLAS	2	WHAT	H3	4	17	Nimm ausgewähltes Material der abgebildeten Pflanze und bringe es mit einem Auszugsmedium zur Arbeitsstelle. Wringe es aus, lasse den Auszug bis zum Sollstand stehen und seihe ihn nochmals. Nimm den sichtbaren klaren Anteil und stelle ihn beiseite. Behalte eine zweite Pflanzenportion zurück; gebrauche vom ersten Auszug ein kleines Maß und bereite die zweite Portion erwärmt für eine äußere Stelle.	vorbereiteten Pflanzenposten an die lokale Station übergeben
D2_CLEAR_EXTRACT_STAR_ATLAS	3	HOW	B2	22	62	Beginne an den oberen Paarbecken mit Spülen, Bemessen, Temperieren, Durchleiten und Abführen. Wechsle am sichtbaren Mittelknoten zu einer neuen örtlichen Mischung, lasse sie stehen, halte sie warm und prüfe den sichtbaren Zustand. Beim Wechsel ins untere Mehrfigurenfeld beginne eine neue Charge: führe ab, gleiche kurze und längere Gänge aus, wasche, setze einen Tuch- oder Einsatzgang und schließe am unteren Beckenrand.	örtlichen Arbeitsgang schließen und Ergebnis unter der gewählten Bedingung verbuchen
D3_STORED_APPLICATION_THREE_WHEELS	1	WHEN	M69_LEFT_RUBRIC;M69_LEFT_28_SLOTS;M69_MIDDLE_QUALITY;M69_RIGHT_LIGHT	31	140	Auf f69v den linken 28-Platz-Eintrag, die mittlere Qualitätsablesung und den rechten Zustandswert getrennt wählen; keine gemeinsame Drehrichtung voraussetzen.	gewählten sichtbaren Bedingungswert auf dem Arbeitszettel notieren
D3_STORED_APPLICATION_THREE_WHEELS	2	WHAT	H4	4	18	Zerkleinere Material der abgebildeten breitblättrigen Pflanze, gib ein Auszugsmedium hinzu und lasse den Ansatz verschlossen stehen. Miss eine Portion ab, wringe sie durch Tuch, lasse sie klar werden und verwahre den Auszug. Wasche damit die bezeichnete äußere Stelle. Führe zurückbehaltenes Pflanzenmaterial mit einem Zusatz als zweite, gelinde erwärmte Bereitung weiter und lege sie an die Stelle.	vorbereiteten Pflanzenposten an die lokale Station übergeben
D3_STORED_APPLICATION_THREE_WHEELS	3	HOW	B4;B5;B6	20	67	Am sichtbaren Hauptpaar setze den aktuellen Einsatz länger an, führe ihn weiter, befestige ihn und schließe. Übertrage dann eine bemessene Portion durch Tuch, halte sie warm und führe sie ab. Wechsle zur linken Unterlaufstation für einen kurzen Wärme-, Misch- und Waschgang. Nach dem sichtbaren Wechsel zum rechten S-Lauf leite den klaren Anteil zum Ziel, sammle kurz und führe den Rest ab. Nimm am linken Fransen-Endposten den nächsten Arbeitsanteil auf, setze ihn an und übertrage ihn. Lasse ihn an der örtlichen Zielstelle stehen, führe den vorherigen Gang fort, bemesse die nächste Öffnungsstufe und übertrage den aktuellen Posten zum Ziel. Sammle am rechten S-Lauf den längeren Arbeitsanteil. Bearbeite den aktuellen Posten kurz, bringe ihn zur bezeichneten Stelle, führe ihn nach Sollmaß weiter und leite ihn mit dem Tuchposten zum Endziel.	örtlichen Arbeitsgang schließen und Ergebnis unter der gewählten Bedingung verbuchen
D4_FRESH_PLANT_LEFT_WHEEL	1	WHEN	M67_LEFT_ASPECT_FIELDS;M67_LEFT_OUTER_STATIONS;M67_LEFT_RING_RULE	50	121	Am linken f67r2-Rad sichtbares Feld, Aspekt, Quelle und Ziel wählen; äußere Station und Ringregel bleiben lokale Nachschlagewerte.	gewählten sichtbaren Bedingungswert auf dem Arbeitszettel notieren
