held_out_page	slot_skeleton	gdt423_red_causes	event_count	resolved_event_count	local_appendix_event_count	local_appendix_rules	compression_status	event_ids	surfaces	component_recipes
f10r	CH+R|E|Y|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0258	ycheor	Y+CH+E+O+R
f13r	S|EEE|NONE|OPEN	GRADE_SLOT_PAGE_PRIVATE	1	0	1	FOCUS:S<-EEE	LOCAL_APPENDIX_CELL	G407-E0390	oeees	O+EEE+S
f17r	CH+SH|NONE|Y|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0494	choldshy	CH+OL+D_ADDR+SH+Y
f17r	P+CH|NONE|OR|CLOSE	CLOSE_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0497	opchordy	O+P+CH+OR+DY
f18r	P+R|NONE|NONE|CLOSE	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|CLOSE_SLOT_PAGE_PRIVATE	1	0	1	PACKAGE:CLOSE:R&FOCUS:R<-AIR	LOCAL_APPENDIX_CELL	G407-E0521	pdrairdy	P+D_ADDR+R+AIR+DY
f1r	K+OK|NONE|AIIN|OPEN	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	0	1	PAIR:K>OK	LOCAL_APPENDIX_CELL	G407-E0195	kokaiin	K+OK+AIIN
f1r	S+R|NONE|Y|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0022	syaiir	S+Y+IIN+R
f24v	CH+S|EE|NONE|OPEN	GRADE_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0627	odchees	O+D_ADDR+CH+EE+S
f55v	K+S|EE|Y|OPEN	GRADE_SLOT_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0701	ykeesan	Y+K+EE+S+AN
f56r	K+CH|E|Y|OPEN	GRADE_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0870	kchey	K+CH+E+Y
f56r	OK+CH|EE|Y|OPEN	GRADE_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0890	qokcheey	OK+CH+EE+Y
f56r	OK+S|NONE|Y|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0820	choksy	OK+S+Y
f56r	S+CH|E|Y|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0891	schey	S+CH+E+Y
f56r	SH+OK|NONE|AIIN|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0813	shokaiin	SH+OK+AIIN
f56r	T+OK|NONE|Y|OPEN	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	0	1	PAIR:T>OK	LOCAL_APPENDIX_CELL	G407-E0848	tchoky	T+OK+Y
f67r2	S+S|NONE|AIN|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E0929	salsain	S+AL+S+AIN
f68r1	P+CH|EE|NONE|OPEN	GRADE_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1033	opcheeol	O+P+CH+EE+OL
f71v	OK+K|NONE|Y|OPEN	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1095	okaikaly	OK+A_ADDR+IIN+K+AL+Y
f72r	P+CH|NONE|AIIN|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1394	opcholalaiin	O+P+CH+OL+AL+AIIN
f75r	CH+S|NONE|NONE|CLOSE	CLOSE_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1716	chsdy	CH+S+DY
f75r	CHD+K|NONE|Y|OPEN	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1437	chedykar	CHD+Y+K+AR
f75r	CHD+OK|NONE|Y|OPEN	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1630	chedyqokam	CHD+Y+OK+AM_ADDR
f75r	P+SH|NONE|OR|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1654	pdalshor	P+D_ADDR+AL+SH+OR
f75r	S+OK|EE|NONE|CLOSE	GRADE_SLOT_PAGE_PRIVATE|CLOSE_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1782	sokeedy	S+OK+EE+DY
f75r	SH+OK|NONE|AIN|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1567	shokain	SH+OK+AIN
f75r	SH+P|E|Y|OPEN	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|GRADE_SLOT_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1573	shepchy	SH+E+P+Y
f76r	CH+SH|E|OR|CLOSE	GRADE_SLOT_PAGE_PRIVATE|CLOSE_SLOT_PAGE_PRIVATE	1	1	0	NONE	RESOLVED_CELL	G407-E1963	chorshedy	CH+OR+SH+E+DY
