global_running_event_id	held_out_page	surface	component_recipe	ordered_pair	intervening_atoms	r_topology	pair_decision
G407-E0195	f1r	kokaiin	K+OK+AIIN	K>OK	NONE	NONE	LOCAL_ADJACENT_ORDERED_PAIR
G407-E0521	f18r	pdrairdy	P+D_ADDR+R+AIR+DY	P>R	D_ADDR	R_POSITIONAL_NESTED	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY
G407-E0848	f56r	tchoky	T+OK+Y	T>OK	NONE	NONE	LOCAL_ADJACENT_ORDERED_PAIR
G407-E1095	f71v	okaikaly	OK+A_ADDR+IIN+K+AL+Y	OK>K	A_ADDR+IIN	NONE	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY
G407-E1437	f75r	chedykar	CHD+Y+K+AR	CHD>K	Y	NONE	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY
G407-E1573	f75r	shepchy	SH+E+P+Y	SH>P	E	NONE	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY
G407-E1630	f75r	chedyqokam	CHD+Y+OK+AM_ADDR	CHD>OK	Y	NONE	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY
G407-E2393	f77r	poldarais	P+OL+D_ADDR+AR+A_ADDR+IIN+S	P>S	OL+D_ADDR+AR+A_ADDR+IIN	NONE	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY
G407-E3246	f82r	rchey	R+CH+E+Y	R>CH	NONE	NONE	LOCAL_ADJACENT_ORDERED_PAIR
G407-E3311	f82r	ralchey	R+AL+CH+E+Y	R>CH	AL	R_POSITIONAL_HEAD	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY
G407-E3356	f82r	rasy	R+A_ADDR+S+Y	R>S	A_ADDR	NONE	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY
G407-E3541	f83r	skal	S+K+AL	S>K	NONE	NONE	LOCAL_ADJACENT_ORDERED_PAIR
G407-E3794	f83r	rtain	R+T+AIN	R>T	NONE	NONE	LOCAL_ADJACENT_ORDERED_PAIR
G407-E4148	f89r	sheyr	SH+E+Y+R	SH>R	E+Y	R_POSITIONAL_TAIL	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY
