global_running_event_id	held_out_page	surface	focus_core	action_core	focus_edge	selector_rule	attachment_geometry	r_topology	other_page_count	other_pages	factorized_replay_status
G407-E0022	f1r	syaiir	Y	S	S<-Y	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	15	f11r|f13r|f17r|f24v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f82r|f83r|f88r|f89r	OLD_FOCUS_EDGE_OTHER_PAGE
G407-E0195	f1r	kokaiin	AIIN	OK	OK<-AIIN	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	21	f10r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	OLD_FOCUS_EDGE_OTHER_PAGE
G407-E0258	f10r	ycheor	E	CH	CH<-E	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	21	f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	OLD_FOCUS_EDGE_OTHER_PAGE
G407-E0258	f10r	ycheor	Y	CH	CH<-Y	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	NONE	23	f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	OLD_FOCUS_EDGE_OTHER_PAGE
G407-E0390	f13r	oeees	EEE	S	S<-EEE	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	NONE	0	NONE	LOCAL_FOCUS_EDGE
G407-E0494	f17r	choldshy	Y	SH	SH<-Y	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	21	f10r|f11r|f13r|f18r|f1r|f24v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	OLD_FOCUS_EDGE_OTHER_PAGE
G407-E0497	f17r	opchordy	OR	CH	CH<-OR	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	18	f10r|f11r|f13r|f18r|f1r|f24v|f56r|f68r1|f71v|f72r|f75r|f76r|f77r|f82r|f83r|f88r|f88v|f89r	OLD_FOCUS_EDGE_OTHER_PAGE
G407-E0521	f18r	pdrairdy	AIR	R	R<-AIR	L_AIR_RIGHT_FALLBACK	SAME_CARD_LEFT_ACTION	R_POSITIONAL_NESTED	0	NONE	LOCAL_FOCUS_EDGE
G407-E0627	f24v	odchees	EE	CH	CH<-EE	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	17	f1r|f55v|f56r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	OLD_FOCUS_EDGE_OTHER_PAGE
G407-E0701	f55v	ykeesan	EE	K	K<-EE	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	15	f1r|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r	OLD_FOCUS_EDGE_OTHER_PAGE
