global_running_event_id	held_out_page	register	owner_de	surface	component_recipe	gdt423_slot_skeleton	gdt423_red_causes	focus_attachment_count	local_focus_edges	private_pair_decision	close_replay_status	local_appendix_rules	compression_status	imperative_clause_de
G407-E0022	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	S+R|NONE|Y|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	NONE	NOT_PAGE_PRIVATE_PAIR	NO_CLOSE	NONE	RESOLVED_BY_FACTORIZED_OLD_RULES	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.
G407-E0195	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	kokaiin	K+OK+AIIN	K+OK|NONE|AIIN|OPEN	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	NONE	LOCAL_ADJACENT_ORDERED_PAIR	NO_CLOSE	PAIR:K>OK	LOCAL_APPENDIX_RULE_REQUIRED	Ordne den Kennwert zu und trage den Kennwert ein.
G407-E0258	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	ycheor	Y+CH+E+O+R	CH+R|E|Y|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	2	NONE	NOT_PAGE_PRIVATE_PAIR	NO_CLOSE	NONE	RESOLVED_BY_FACTORIZED_OLD_RULES	Nimm den Pflanzenposten und markiere den Pflanzenposten; auf Grad I und als Ausführung.
G407-E0390	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	oeees	O+EEE+S	S|EEE|NONE|OPEN	GRADE_SLOT_PAGE_PRIVATE	1	FOCUS:S<-EEE	NOT_PAGE_PRIVATE_PAIR	NO_CLOSE	FOCUS:S<-EEE	LOCAL_APPENDIX_RULE_REQUIRED	Wähle den Arbeitswert [wie zuvor]; als Ausführung und auf Grad III.
G407-E0494	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	choldshy	CH+OL+D_ADDR+SH+Y	CH+SH|NONE|Y|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	NONE	NOT_PAGE_PRIVATE_PAIR	NO_CLOSE	NONE	RESOLVED_BY_FACTORIZED_OLD_RULES	Weiter nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.
G407-E0497	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	opchordy	O+P+CH+OR+DY	P+CH|NONE|OR|CLOSE	CLOSE_SLOT_PAGE_PRIVATE	1	NONE	NOT_PAGE_PRIVATE_PAIR	OLD_TERMINAL_HEAD_CLOSE_OTHER_PAGE	NONE	RESOLVED_BY_FACTORIZED_OLD_RULES	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung; schließe den Schritt.
G407-E0521	f18r	HERBAL	große abgebildete Blütenpflanze	pdrairdy	P+D_ADDR+R+AIR+DY	P+R|NONE|NONE|CLOSE	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|CLOSE_SLOT_PAGE_PRIVATE	1	FOCUS:R<-AIR	SPLIT_BY_VISIBLE_PACKAGE_OR_R_TOPOLOGY	LOCAL_TERMINAL_HEAD_CLOSE	PACKAGE:CLOSE:R&FOCUS:R<-AIR	LOCAL_APPENDIX_RULE_REQUIRED	Setze ein und markiere; entlang der Verarbeitungsbahn; an der bezeichneten Stelle; schließe den Schritt.
G407-E0627	f24v	HERBAL	F24V_WHOLE_PLANT	odchees	O+D_ADDR+CH+EE+S	CH+S|EE|NONE|OPEN	GRADE_SLOT_PAGE_PRIVATE	1	NONE	NOT_PAGE_PRIVATE_PAIR	NO_CLOSE	NONE	RESOLVED_BY_FACTORIZED_OLD_RULES	Nimm den Pflanzenposten [wie zuvor] und wähle den Pflanzenposten [wie zuvor]; als Ausführung und auf Grad II; an der bezeichneten Stelle.
G407-E0701	f55v	HERBAL	große aromatische Doldenpflanze	ykeesan	Y+K+EE+S+AN	K+S|EE|Y|OPEN	GRADE_SLOT_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	2	NONE	NOT_PAGE_PRIVATE_PAIR	NO_CLOSE	NONE	RESOLVED_BY_FACTORIZED_OLD_RULES	Gib den Pflanzenposten zu und wähle den Pflanzenposten; auf Grad II; in der bezeichneten Klasse.
G407-E0813	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	shokaiin	SH+OK+AIIN	SH+OK|NONE|AIIN|OPEN	ARGUMENT_SLOT_PAGE_PRIVATE	1	NONE	NOT_PAGE_PRIVATE_PAIR	NO_CLOSE	NONE	RESOLVED_BY_FACTORIZED_OLD_RULES	Halte den Arbeitswert und setze den Arbeitswert im Arbeitsgang an.
