cell_id	base	ending	target_atom_sequence	intended_reading_de	lattice_status	compiler_branch	output_atom_sequence	output_surface_sequence	spoken_instruction_de	meaning_drift	exact_registered_fused_form	licensed_for_apprentice	master_action	reason_de
B01E01	OK	Y	OK+Y	ansetzen am aktuellen Posten	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+Y	oky	ansetzen am aktuellen Posten	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	13 beobachtete Gruppe(n)
B01E02	OK	CLOSE	OK+CLOSE	ansetzen und den Schritt schließen	EMPTY_WELL_FORMED_PREDICTION	USE_CONTROLLED_PARAPHRASE	OK+E+CLOSE	qokedy	ansetzen, kurz ausführen und schließen	EXTRA_BRIEF_GRADE	NO_NEAREST_PARAPHRASE	YES_WITH_SPOKEN_DRIFT	BEOBACHTETE_KARTEN_UMSCHREIBEND_SCHREIBEN	gewünschte Fusion fehlt; vorhandene Karten tragen eine ausdrücklich genannte Zusatzbedeutung
B01E03	OK	AIIN	OK+AIIN	ansetzen mit Sollwert	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+AIIN	okaiin	ansetzen mit Sollwert	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	10 beobachtete Gruppe(n)
B01E04	OK	AIN	OK+AIN	ansetzen an einer Portion	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+AIN	okain	ansetzen an einer Portion	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	8 beobachtete Gruppe(n)
B01E05	OK	IIN	OK+IIN	ansetzen bis zur Stufe	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+IIN	okaiiin	ansetzen bis zur Stufe	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	1 beobachtete Gruppe(n)
B01E06	OK	AL	OK+AL	ansetzen am Ziel	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+AL	okal	ansetzen am Ziel	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	7 beobachtete Gruppe(n)
B01E07	OK	AR	OK+AR	ansetzen aus der Quelle	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+AR	okar	ansetzen aus der Quelle	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	5 beobachtete Gruppe(n)
B01E08	OK	AIR	OK+AIR	ansetzen entlang des Laufs	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+AIR	okair	ansetzen entlang des Laufs	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	1 beobachtete Gruppe(n)
B01E09	OK	E+Y	OK+E+Y	ansetzen kurz am aktuellen Posten	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+E+Y	okey	ansetzen kurz am aktuellen Posten	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	2 beobachtete Gruppe(n)
B01E10	OK	EE+Y	OK+EE+Y	ansetzen länger am aktuellen Posten	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+EE+Y	okeey	ansetzen länger am aktuellen Posten	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	7 beobachtete Gruppe(n)
B01E11	OK	E+CLOSE	OK+E+CLOSE	ansetzen kurz und dann schließen	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+E+CLOSE	qokedy	ansetzen kurz und dann schließen	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	8 beobachtete Gruppe(n)
B01E12	OK	EE+CLOSE	OK+EE+CLOSE	ansetzen länger und dann schließen	OBSERVED	USE_OBSERVED_FUSED_CARD	OK+EE+CLOSE	qokeedy	ansetzen länger und dann schließen	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	10 beobachtete Gruppe(n)
B02E01	OL	Y	OL+Y	fortsetzen am aktuellen Posten	OBSERVED	USE_OBSERVED_FUSED_CARD	OL+Y	qolchey	fortsetzen am aktuellen Posten	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	1 beobachtete Gruppe(n)
B02E02	OL	CLOSE	OL+CLOSE	fortsetzen und den Schritt schließen	OBSERVED	USE_OBSERVED_FUSED_CARD	OL+CLOSE	oldy	fortsetzen und den Schritt schließen	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	2 beobachtete Gruppe(n)
B02E03	OL	AIIN	OL+AIIN	fortsetzen mit Sollwert	EMPTY_WELL_FORMED_PREDICTION	USE_ANALYTIC_TWO_CARD_FORM	OL | AIIN	ol aiin	fortsetzen mit Sollwert	BOUNDARY_SPLIT_ONLY	NO_ANALYTIC_EXPRESSION	YES	ZWEI_REGISTERKARTEN_GETRENNT_SCHREIBEN	Basis und Endung sind beide als selbständige Karten belegt
B02E04	OL	AIN	OL+AIN	fortsetzen an einer Portion	OBSERVED	USE_OBSERVED_FUSED_CARD	OL+AIN	olkain	fortsetzen an einer Portion	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	2 beobachtete Gruppe(n)
B02E06	OL	AL	OL+AL	fortsetzen am Ziel	EMPTY_WELL_FORMED_PREDICTION	USE_ANALYTIC_TWO_CARD_FORM	OL | AL	ol al	fortsetzen am Ziel	BOUNDARY_SPLIT_ONLY	NO_ANALYTIC_EXPRESSION	YES	ZWEI_REGISTERKARTEN_GETRENNT_SCHREIBEN	Basis und Endung sind beide als selbständige Karten belegt
B02E07	OL	AR	OL+AR	fortsetzen aus der Quelle	OBSERVED	USE_OBSERVED_FUSED_CARD	OL+AR	olar	fortsetzen aus der Quelle	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	1 beobachtete Gruppe(n)
B02E09	OL	E+Y	OL+E+Y	fortsetzen kurz am aktuellen Posten	EMPTY_WELL_FORMED_PREDICTION	USE_CONTROLLED_PARAPHRASE	OL | OK+E+Y	ol okey	fortsetzen und den aktuellen Posten kurz neu ansetzen	EXTRA_SET_OPERATION	NO_NEAREST_PARAPHRASE	YES_WITH_SPOKEN_DRIFT	BEOBACHTETE_KARTEN_UMSCHREIBEND_SCHREIBEN	gewünschte Fusion fehlt; vorhandene Karten tragen eine ausdrücklich genannte Zusatzbedeutung
B03E01	OT	Y	OT+Y	zum folgenden Posten gehen am aktuellen Posten	OBSERVED	USE_OBSERVED_FUSED_CARD	OT+Y	otchey	zum folgenden Posten gehen am aktuellen Posten	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	3 beobachtete Gruppe(n)
B03E02	OT	CLOSE	OT+CLOSE	zum folgenden Posten gehen und den Schritt schließen	EMPTY_WELL_FORMED_PREDICTION	USE_CONTROLLED_PARAPHRASE	OT+Y | OK+E+CLOSE	otchey qokedy	zum folgenden Posten gehen, kurz ansetzen und schließen	EXTRA_SET_AND_BRIEF_GRADE	NO_NEAREST_PARAPHRASE	YES_WITH_SPOKEN_DRIFT	BEOBACHTETE_KARTEN_UMSCHREIBEND_SCHREIBEN	gewünschte Fusion fehlt; vorhandene Karten tragen eine ausdrücklich genannte Zusatzbedeutung
B03E03	OT	AIIN	OT+AIIN	zum folgenden Posten gehen mit Sollwert	OBSERVED	USE_OBSERVED_FUSED_CARD	OT+AIIN	otaiin	zum folgenden Posten gehen mit Sollwert	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	3 beobachtete Gruppe(n)
B03E04	OT	AIN	OT+AIN	zum folgenden Posten gehen an einer Portion	EMPTY_WELL_FORMED_PREDICTION	USE_ANALYTIC_TWO_CARD_FORM	OT | AIN	ot ain	zum folgenden Posten gehen an einer Portion	BOUNDARY_SPLIT_ONLY	NO_ANALYTIC_EXPRESSION	YES	ZWEI_REGISTERKARTEN_GETRENNT_SCHREIBEN	Basis und Endung sind beide als selbständige Karten belegt
B03E06	OT	AL	OT+AL	zum folgenden Posten gehen am Ziel	OBSERVED	USE_OBSERVED_FUSED_CARD	OT+AL	otal	zum folgenden Posten gehen am Ziel	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	3 beobachtete Gruppe(n)
B03E07	OT	AR	OT+AR	zum folgenden Posten gehen aus der Quelle	OBSERVED	USE_OBSERVED_FUSED_CARD	OT+AR	otar	zum folgenden Posten gehen aus der Quelle	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	3 beobachtete Gruppe(n)
B03E08	OT	AIR	OT+AIR	zum folgenden Posten gehen entlang des Laufs	OBSERVED	USE_OBSERVED_FUSED_CARD	OT+AIR	qotair	zum folgenden Posten gehen entlang des Laufs	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	1 beobachtete Gruppe(n)
B03E09	OT	E+Y	OT+E+Y	zum folgenden Posten gehen kurz am aktuellen Posten	EMPTY_WELL_FORMED_PREDICTION	USE_CONTROLLED_PARAPHRASE	OT+Y | OK+E+Y	otchey okey	zum folgenden Posten gehen und ihn kurz ansetzen	EXTRA_SET_OPERATION	NO_NEAREST_PARAPHRASE	YES_WITH_SPOKEN_DRIFT	BEOBACHTETE_KARTEN_UMSCHREIBEND_SCHREIBEN	gewünschte Fusion fehlt; vorhandene Karten tragen eine ausdrücklich genannte Zusatzbedeutung
B03E10	OT	EE+Y	OT+EE+Y	zum folgenden Posten gehen länger am aktuellen Posten	OBSERVED	USE_OBSERVED_FUSED_CARD	OT+EE+Y	oteey	zum folgenden Posten gehen länger am aktuellen Posten	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	2 beobachtete Gruppe(n)
B03E11	OT	E+CLOSE	OT+E+CLOSE	zum folgenden Posten gehen kurz und dann schließen	OBSERVED	USE_OBSERVED_FUSED_CARD	OT+E+CLOSE	otedy	zum folgenden Posten gehen kurz und dann schließen	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	2 beobachtete Gruppe(n)
B03E12	OT	EE+CLOSE	OT+EE+CLOSE	zum folgenden Posten gehen länger und dann schließen	OBSERVED	USE_OBSERVED_FUSED_CARD	OT+EE+CLOSE	qoteedy	zum folgenden Posten gehen länger und dann schließen	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	2 beobachtete Gruppe(n)
B04E01	CHD	Y	CHD+Y	umsetzen am aktuellen Posten	OBSERVED	USE_OBSERVED_FUSED_CARD	CHD+Y	chdy	umsetzen am aktuellen Posten	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	12 beobachtete Gruppe(n)
B04E02	CHD	CLOSE	CHD+CLOSE	umsetzen und den Schritt schließen	OBSERVED	USE_OBSERVED_FUSED_CARD	CHD+CLOSE	dchdy	umsetzen und den Schritt schließen	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	5 beobachtete Gruppe(n)
B04E03	CHD	AIIN	CHD+AIIN	umsetzen mit Sollwert	OBSERVED	USE_OBSERVED_FUSED_CARD	CHD+AIIN	chedaiin	umsetzen mit Sollwert	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	1 beobachtete Gruppe(n)
B04E04	CHD	AIN	CHD+AIN	umsetzen an einer Portion	OBSERVED	USE_OBSERVED_FUSED_CARD	CHD+AIN	chedain	umsetzen an einer Portion	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	1 beobachtete Gruppe(n)
B04E06	CHD	AL	CHD+AL	umsetzen am Ziel	OBSERVED	USE_OBSERVED_FUSED_CARD	CHD+AL	chdal	umsetzen am Ziel	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	1 beobachtete Gruppe(n)
B04E07	CHD	AR	CHD+AR	umsetzen aus der Quelle	OBSERVED	USE_OBSERVED_FUSED_CARD	CHD+AR	dchdar	umsetzen aus der Quelle	NONE	YES	YES	REGISTERKARTE_ABSCHREIBEN	2 beobachtete Gruppe(n)
B04E09	CHD	E+Y	CHD+E+Y	umsetzen kurz am aktuellen Posten	EMPTY_WELL_FORMED_PREDICTION	USE_CONTROLLED_PARAPHRASE	CHD+Y | OK+E+Y	chdy okey	den aktuellen Posten umsetzen und kurz neu ansetzen	EXTRA_SET_OPERATION	NO_NEAREST_PARAPHRASE	YES_WITH_SPOKEN_DRIFT	BEOBACHTETE_KARTEN_UMSCHREIBEND_SCHREIBEN	gewünschte Fusion fehlt; vorhandene Karten tragen eine ausdrücklich genannte Zusatzbedeutung
B04E10	CHD	EE+Y	CHD+EE+Y	umsetzen länger am aktuellen Posten	EMPTY_WELL_FORMED_PREDICTION	USE_ANALYTIC_TWO_CARD_FORM	CHD | EE+Y	chda oeesy	umsetzen länger am aktuellen Posten	BOUNDARY_SPLIT_ONLY	NO_ANALYTIC_EXPRESSION	YES	ZWEI_REGISTERKARTEN_GETRENNT_SCHREIBEN	Basis und Endung sind beide als selbständige Karten belegt
