microstep_id	statement_id	record_unit_id	page	event_ordinals	event_ids	surfaces	atomic_chain	mode_chain	visible_event_count	source_operation_count	workstep_role	concrete_reading_de	crosses_physical_line	crosses_field_boundary	owner_reset_at_start	owner_resets_inside	read_once_pair
B1-S002-M01	B1-S002	B1	f81v	1-3	E102|E103|E104	qokaiin kair okal	bemessen → Beckenlauf → Orteinsatz	MEASURE>LOCAL_CONTROL>CHARGE	3	3	MENGE_UND_BECKENLAUF	Messe die Arbeitsmenge ab und setze sie in den vorgesehenen Beckenlauf.	NO	NO	NO	NONE	NONE
B1-S002-M02	B1-S002	B1	f81v	4-8	E105|E106|E107|E108|E109	char ol kain olkain al	davon → weiter → Portion → Folgeportion → dorthin	LOCAL_CONTROL>LOCAL_CONTROL>CHARGE>CHARGE>LOCAL_CONTROL	5	5	PORTIONEN_ZUR_STELLE	Nimm davon eine Portion und anschließend die Folgeportion an dieselbe Stelle.	NO	NO	NO	NONE	NONE
B1-S002-M03	B1-S002	B1	f81v	9-14	E110|E111|E112|E113|E114|E115	ol rol dl olor ol sheckhal	weiter → Anschluss → Zusatz → Gleichansatz → weiter → Zielkurzpassage	LOCAL_CONTROL>LOCAL_CONTROL>CHARGE>CHARGE>LOCAL_CONTROL>PASS_FILTER	6	6	ZUSATZ_DURCH_ZIELPASSAGE	Gib am Anschluss den Zusatz aus demselben Ansatz zu und führe ihn durch die kurze Zielpassage.	YES	YES	NO	NONE	NONE
B1-S002-M04	B1-S002	B1	f81v	15-17	E116|E117|E118	aiin qokeedal aiin	Sollmaß → Ziellanghalt → Sollmaß	MEASURE>LOCAL_CONTROL>MEASURE	3	3	VOR_NACH_SOLLKONTROLLE	Prüfe das Sollmaß, halte am Ziel und prüfe das Maß erneut.	NO	NO	NO	NONE	NONE
B1-S002-M05	B1-S002	B1	f81v	18-19	E119|E120	chckhy schedy	durchleiten → überführen	PASS_FILTER>CHARGE	2	2	DURCHLEITEN_UEBERFUEHREN	Leite den Posten hindurch und überführe ihn.	NO	NO	NO	NONE	NONE
B2-S005-M01	B2-S005	B2	f82r	1-3	E177|E178|E179	qokaly solkaiin chckhy	Zieleinsatz → Sollsammlung → durchleiten	LOCAL_CONTROL>LOCAL_CONTROL>PASS_FILTER	3	3	ZIELSAMMLUNG_DURCHLEITEN	Setze am Ziel ein, sammle bis zum Soll und leite hindurch.	NO	NO	NO	NONE	NONE
B2-S005-M02	B2-S005	B2	f82r	4-6	E180|E181|E182	qokaiin qokaiin octheol	bemessen → bemessen → Folgevorbereitung	MEASURE>MEASURE>LOCAL_CONTROL	3	2	EINMAL_MESSEN_FOLGE_VORBEREITEN	Messe einmal ab und bereite den folgenden Durchgang vor.	YES	YES	NO	NONE	E180|E181
B2-S005-M03	B2-S005	B2	f82r	7-8	E183|E184	chkeey ldy	Langwärmen → abziehen	TREAT>DISCHARGE	2	2	LANG_WAERMEN_ABZIEHEN	Wärme lange und ziehe anschließend ab.	NO	NO	NO	NONE	NONE
B2-S012-M01	B2-S012	B2	f82r	1-1	E202	lchy	Abführgut	DISCHARGE	1	1	ABFUEHRGUT_UEBERNEHMEN	Übernimm das Abführgut aus der vorherigen Station.	NO	NO	NO	NONE	NONE
B2-S012-M02	B2-S012	B2	f82r	2-5	E203|E204|E205|E206	cheey qcthey qokeey lcheey	Klarlauf → Kurzvorbereitung → Langkontakt → Klarabzug	PASS_FILTER>LOCAL_CONTROL>TREAT>DISCHARGE	4	4	KLARLAUF_BEARBEITEN	Nimm den Klarlauf, bereite ihn kurz vor, halte ihn lange und ziehe den klaren Anteil ab.	NO	NO	YES	NONE	NONE
B2-S012-M03	B2-S012	B2	f82r	6-8	E207|E208|E209	aiin y qokeeedy	Sollmaß → dies → Volleinsatz	MEASURE>LOCAL_CONTROL>LOCAL_CONTROL	3	3	SOLL_VOLL_EINSETZEN	Stelle das Sollmaß ein und setze diesen Posten vollständig ein.	NO	NO	NO	NONE	NONE
