edition	locus	exact_marker_count	raw_line	source_ids	source_path
ZL3b	f113r.14	1	ycheo lkchey l / chol oiiin qoksheoy qokcheody lcheo l / kchedy chokchy okchdar al	ZL3b|f113r.14|G001|ZL3b|f113r.14|G002|ZL3b|f113r.14|G003|ZL3b|f113r.14|G004|ZL3b|f113r.14|G005|ZL3b|f113r.14|G006|ZL3b|f113r.14|G007|ZL3b|f113r.14|G008|ZL3b|f113r.14|G009|ZL3b|f113r.14|G010|ZL3b|f113r.14|G011|ZL3b|f113r.14|G012|ZL3b|f113r.14|G013	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_ZL3b.json
IT2a	f113r.14	0	ycheo lkcheo lchol oiiin qoksheoy qokcheody lcheo l kchedy chokchy okchdar al	IT2a|f113r.14|G001|IT2a|f113r.14|G002|IT2a|f113r.14|G003|IT2a|f113r.14|G004|IT2a|f113r.14|G005|IT2a|f113r.14|G006|IT2a|f113r.14|G007|IT2a|f113r.14|G008|IT2a|f113r.14|G009|IT2a|f113r.14|G010|IT2a|f113r.14|G011|IT2a|f113r.14|G012	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_IT2a.json
RF1b	f113r.14	0	ycheo ltche@221; lchol oiiin qok{ch'}eoy qokcheo / dy lcheo l kche@152;y chokchy okchdar al	RF1b|f113r.14|G001|RF1b|f113r.14|G002|RF1b|f113r.14|G003|RF1b|f113r.14|G004|RF1b|f113r.14|G005|RF1b|f113r.14|G006|RF1b|f113r.14|G007|RF1b|f113r.14|G008|RF1b|f113r.14|G009|RF1b|f113r.14|G010|RF1b|f113r.14|G011|RF1b|f113r.14|G012|RF1b|f113r.14|G013	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_RF1b.json
ZL3b	f113r.23	1	ykeoeshy qokaiin chal kiin chckhey lkchey qokal chocthy lkchor lkchedy lkaiin	ZL3b|f113r.23|G001|ZL3b|f113r.23|G002|ZL3b|f113r.23|G003|ZL3b|f113r.23|G004|ZL3b|f113r.23|G005|ZL3b|f113r.23|G006|ZL3b|f113r.23|G007|ZL3b|f113r.23|G008|ZL3b|f113r.23|G009|ZL3b|f113r.23|G010|ZL3b|f113r.23|G011	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_ZL3b.json
IT2a	f113r.23	1	ykeoeshy qokaiin chol kiin chckhey lkchey qokal chocthy lkchor lkchedy lkaiin	IT2a|f113r.23|G001|IT2a|f113r.23|G002|IT2a|f113r.23|G003|IT2a|f113r.23|G004|IT2a|f113r.23|G005|IT2a|f113r.23|G006|IT2a|f113r.23|G007|IT2a|f113r.23|G008|IT2a|f113r.23|G009|IT2a|f113r.23|G010|IT2a|f113r.23|G011	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_IT2a.json
RF1b	f113r.23	1	ykeoeshy qokaiin chol kiin chckhey lkchey qokal chocthy lkchor lkche@152;y lkaiin	RF1b|f113r.23|G001|RF1b|f113r.23|G002|RF1b|f113r.23|G003|RF1b|f113r.23|G004|RF1b|f113r.23|G005|RF1b|f113r.23|G006|RF1b|f113r.23|G007|RF1b|f113r.23|G008|RF1b|f113r.23|G009|RF1b|f113r.23|G010|RF1b|f113r.23|G011	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_RF1b.json
ZL3b	f113r.39	0	pcheockhy l / kchey qofsheeey lkeody kcheodaiin por / shed / qopoeey pokeey rair / aly	ZL3b|f113r.39|G001|ZL3b|f113r.39|G002|ZL3b|f113r.39|G003|ZL3b|f113r.39|G004|ZL3b|f113r.39|G005|ZL3b|f113r.39|G006|ZL3b|f113r.39|G007|ZL3b|f113r.39|G008|ZL3b|f113r.39|G009|ZL3b|f113r.39|G010|ZL3b|f113r.39|G011|ZL3b|f113r.39|G012	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_ZL3b.json
IT2a	f113r.39	1	pcheockhy lkchey qofsheeey lkeody kcheodaiin por sheed qopoeey pokeey rair aly	IT2a|f113r.39|G001|IT2a|f113r.39|G002|IT2a|f113r.39|G003|IT2a|f113r.39|G004|IT2a|f113r.39|G005|IT2a|f113r.39|G006|IT2a|f113r.39|G007|IT2a|f113r.39|G008|IT2a|f113r.39|G009|IT2a|f113r.39|G010|IT2a|f113r.39|G011	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_IT2a.json
RF1b	f113r.39	1	pcheockhy lkchey qopsheeey lkeody kcheodaiin por {ch'}ed qopoeey pokeey rair aly	RF1b|f113r.39|G001|RF1b|f113r.39|G002|RF1b|f113r.39|G003|RF1b|f113r.39|G004|RF1b|f113r.39|G005|RF1b|f113r.39|G006|RF1b|f113r.39|G007|RF1b|f113r.39|G008|RF1b|f113r.39|G009|RF1b|f113r.39|G010|RF1b|f113r.39|G011	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_RF1b.json
ZL3b	f113r.49	1	sain cheeey cheo kcheey qokeey lkeeey okeeey lkchey lcho / r / aiin otain al	ZL3b|f113r.49|G001|ZL3b|f113r.49|G002|ZL3b|f113r.49|G003|ZL3b|f113r.49|G004|ZL3b|f113r.49|G005|ZL3b|f113r.49|G006|ZL3b|f113r.49|G007|ZL3b|f113r.49|G008|ZL3b|f113r.49|G009|ZL3b|f113r.49|G010|ZL3b|f113r.49|G011|ZL3b|f113r.49|G012|ZL3b|f113r.49|G013	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_ZL3b.json
IT2a	f113r.49	1	sain cheeey cheo kcheey qokeey lkeeey okeeey lkchey lchor aiin otain al	IT2a|f113r.49|G001|IT2a|f113r.49|G002|IT2a|f113r.49|G003|IT2a|f113r.49|G004|IT2a|f113r.49|G005|IT2a|f113r.49|G006|IT2a|f113r.49|G007|IT2a|f113r.49|G008|IT2a|f113r.49|G009|IT2a|f113r.49|G010|IT2a|f113r.49|G011|IT2a|f113r.49|G012	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_IT2a.json
RF1b	f113r.49	1	sain cheeey cheo kcheey qokeey lkeeey okeeey lkchey lchoraiin otain al	RF1b|f113r.49|G001|RF1b|f113r.49|G002|RF1b|f113r.49|G003|RF1b|f113r.49|G004|RF1b|f113r.49|G005|RF1b|f113r.49|G006|RF1b|f113r.49|G007|RF1b|f113r.49|G008|RF1b|f113r.49|G009|RF1b|f113r.49|G010|RF1b|f113r.49|G011	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_RF1b.json
ZL3b	f113r.8	1	pchosos cheoarkeeol qokeey lkchey qokar chos shey qopchy rchsy chykeor otal	ZL3b|f113r.8|G001|ZL3b|f113r.8|G002|ZL3b|f113r.8|G003|ZL3b|f113r.8|G004|ZL3b|f113r.8|G005|ZL3b|f113r.8|G006|ZL3b|f113r.8|G007|ZL3b|f113r.8|G008|ZL3b|f113r.8|G009|ZL3b|f113r.8|G010|ZL3b|f113r.8|G011	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_ZL3b.json
IT2a	f113r.8	1	pchosos cheoar keeol qokeey lkchey qokar chos shey qopchy rchsy chykeor otal	IT2a|f113r.8|G001|IT2a|f113r.8|G002|IT2a|f113r.8|G003|IT2a|f113r.8|G004|IT2a|f113r.8|G005|IT2a|f113r.8|G006|IT2a|f113r.8|G007|IT2a|f113r.8|G008|IT2a|f113r.8|G009|IT2a|f113r.8|G010|IT2a|f113r.8|G011|IT2a|f113r.8|G012	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_IT2a.json
RF1b	f113r.8	1	pchosos cheoarkeeol qokeey lkchey qokar chos {ch'}ey qopchy rchsy chykeor otal	RF1b|f113r.8|G001|RF1b|f113r.8|G002|RF1b|f113r.8|G003|RF1b|f113r.8|G004|RF1b|f113r.8|G005|RF1b|f113r.8|G006|RF1b|f113r.8|G007|RF1b|f113r.8|G008|RF1b|f113r.8|G009|RF1b|f113r.8|G010|RF1b|f113r.8|G011	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_RF1b.json
ZL3b	f113v.25	1	tokary lkchey / lkeedy otey pcheol qopchey cthol opaiin ol keeor opshedy qotam	ZL3b|f113v.25|G001|ZL3b|f113v.25|G002|ZL3b|f113v.25|G003|ZL3b|f113v.25|G004|ZL3b|f113v.25|G005|ZL3b|f113v.25|G006|ZL3b|f113v.25|G007|ZL3b|f113v.25|G008|ZL3b|f113v.25|G009|ZL3b|f113v.25|G010|ZL3b|f113v.25|G011|ZL3b|f113v.25|G012	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_ZL3b.json
IT2a	f113v.25	1	tokary lkchey lkeedy otey pcheol qopchey cthol opaiin ol keeor opshedy qotam	IT2a|f113v.25|G001|IT2a|f113v.25|G002|IT2a|f113v.25|G003|IT2a|f113v.25|G004|IT2a|f113v.25|G005|IT2a|f113v.25|G006|IT2a|f113v.25|G007|IT2a|f113v.25|G008|IT2a|f113v.25|G009|IT2a|f113v.25|G010|IT2a|f113v.25|G011|IT2a|f113v.25|G012	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_IT2a.json
RF1b	f113v.25	1	tokary lkchey lkeedy otey pcheol qopchey cthol opaiin ol keeor op{ch'}edy qotam	RF1b|f113v.25|G001|RF1b|f113v.25|G002|RF1b|f113v.25|G003|RF1b|f113v.25|G004|RF1b|f113v.25|G005|RF1b|f113v.25|G006|RF1b|f113v.25|G007|RF1b|f113v.25|G008|RF1b|f113v.25|G009|RF1b|f113v.25|G010|RF1b|f113v.25|G011|RF1b|f113v.25|G012	experiments/yolo/gdt915_terminal_lr_phrase_transfer/artifacts/SOURCE_DISCOVERY_RF1b.json
