pattern_id	spoken_idiom_de	source_statement_id	page	start_position	scribe_id	tuple_sequence	source_surface_sequence	scribe_surface_sequence	changed_token_count	semantic_readback_de	tuple_sequence_changed	meaning_changed	copy_status
E01	diesen Posten nach Sollmaß nehmen	H2-S001	f10r	7	S1_BARE_MASTER	b921a237be883a820352 2f1c5e56e8f0ff459065	chy taiin	chey aiin	2	diesen Posten nach Sollmaß nehmen	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E01	diesen Posten nach Sollmaß nehmen	H2-S001	f10r	7	S2_Q_CELL_SCRIBE	b921a237be883a820352 2f1c5e56e8f0ff459065	chy taiin	chey aiin	2	diesen Posten nach Sollmaß nehmen	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E01	diesen Posten nach Sollmaß nehmen	H2-S001	f10r	7	S3_S_LINE_SCRIBE	b921a237be883a820352 2f1c5e56e8f0ff459065	chy taiin	shy aiin	2	diesen Posten nach Sollmaß nehmen	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E01	diesen Posten nach Sollmaß nehmen	H2-S001	f10r	7	S4_MIXED_COMPACT	b921a237be883a820352 2f1c5e56e8f0ff459065	chy taiin	y aiin	2	diesen Posten nach Sollmaß nehmen	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E02	Sollmaß dieses Postens	H2-S001	f10r	8	S1_BARE_MASTER	2f1c5e56e8f0ff459065 b921a237be883a820352	taiin shy	aiin chey	2	Sollmaß dieses Postens	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E02	Sollmaß dieses Postens	H2-S001	f10r	8	S2_Q_CELL_SCRIBE	2f1c5e56e8f0ff459065 b921a237be883a820352	taiin shy	aiin chey	2	Sollmaß dieses Postens	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E02	Sollmaß dieses Postens	H2-S001	f10r	8	S3_S_LINE_SCRIBE	2f1c5e56e8f0ff459065 b921a237be883a820352	taiin shy	aiin chey	2	Sollmaß dieses Postens	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E02	Sollmaß dieses Postens	H2-S001	f10r	8	S4_MIXED_COMPACT	2f1c5e56e8f0ff459065 b921a237be883a820352	taiin shy	aiin shy	1	Sollmaß dieses Postens	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E03	dieser laufende Ansatz	H2-S003	f10r	3	S1_BARE_MASTER	7a4bb8136330ee4e6e56 b921a237be883a820352	chor chy	chor chey	1	dieser laufende Ansatz	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E03	dieser laufende Ansatz	H2-S003	f10r	3	S2_Q_CELL_SCRIBE	7a4bb8136330ee4e6e56 b921a237be883a820352	chor chy	chor chey	1	dieser laufende Ansatz	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E03	dieser laufende Ansatz	H2-S003	f10r	3	S3_S_LINE_SCRIBE	7a4bb8136330ee4e6e56 b921a237be883a820352	chor chy	chor shy	1	dieser laufende Ansatz	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E03	dieser laufende Ansatz	H2-S003	f10r	3	S4_MIXED_COMPACT	7a4bb8136330ee4e6e56 b921a237be883a820352	chor chy	or y	2	dieser laufende Ansatz	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E04	weiterführen, kurz absetzen und schließen	B1-S004	f81v	2	S1_BARE_MASTER	dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	ol shedy	cheol cheedy	2	weiterführen, kurz absetzen und schließen	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E04	weiterführen, kurz absetzen und schließen	B1-S004	f81v	2	S2_Q_CELL_SCRIBE	dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	ol shedy	cheol cheedy	2	weiterführen, kurz absetzen und schließen	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E04	weiterführen, kurz absetzen und schließen	B1-S004	f81v	2	S3_S_LINE_SCRIBE	dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	ol shedy	cheol cheedy	2	weiterführen, kurz absetzen und schließen	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
E04	weiterführen, kurz absetzen und schließen	B1-S004	f81v	2	S4_MIXED_COMPACT	dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	ol shedy	ol tedy	1	weiterführen, kurz absetzen und schließen	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
