pattern_id	pattern	spoken_idiom_de	source_statement_id	source_page	tuple_sequence	four_surface_copies	distinct_surface_variants	meaning_variants
E01	Y > AIIN	diesen Posten nach Sollmaß nehmen	H2-S001	f10r	b921a237be883a820352 2f1c5e56e8f0ff459065	S1_BARE_MASTER:chey aiin | S2_Q_CELL_SCRIBE:chey aiin | S3_S_LINE_SCRIBE:shy aiin | S4_MIXED_COMPACT:y aiin	3	1
E02	AIIN > Y	Sollmaß dieses Postens	H2-S001	f10r	2f1c5e56e8f0ff459065 b921a237be883a820352	S1_BARE_MASTER:aiin chey | S2_Q_CELL_SCRIBE:aiin chey | S3_S_LINE_SCRIBE:aiin chey | S4_MIXED_COMPACT:aiin shy	2	1
E03	OR > Y	dieser laufende Ansatz	H2-S003	f10r	7a4bb8136330ee4e6e56 b921a237be883a820352	S1_BARE_MASTER:chor chey | S2_Q_CELL_SCRIBE:chor chey | S3_S_LINE_SCRIBE:chor shy | S4_MIXED_COMPACT:or y	3	1
E04	OL > SHED+E+CLOSE	weiterführen, kurz absetzen und schließen	B1-S004	f81v	dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	S1_BARE_MASTER:cheol cheedy | S2_Q_CELL_SCRIBE:cheol cheedy | S3_S_LINE_SCRIBE:cheol cheedy | S4_MIXED_COMPACT:ol tedy	2	1
E05	CHD+Y > OL	den Posten umsetzen und weiterführen	B1-S004	f81v	6f7ff8287eddf4da9fdb dcda95c81a5460feb191	S1_BARE_MASTER:chdy cheol | S2_Q_CELL_SCRIBE:chdy cheol | S3_S_LINE_SCRIBE:chdy cheol | S4_MIXED_COMPACT:chdy ol	2	1
E06	Y > AIIN > Y	denselben Posten um das Sollmaß führen	H2-S001	f10r	b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	S1_BARE_MASTER:chey aiin chey | S2_Q_CELL_SCRIBE:chey aiin chey | S3_S_LINE_SCRIBE:shy aiin chey | S4_MIXED_COMPACT:y aiin shy	3	1
E07	AIIN > OL	mit demselben Sollmaß fortfahren	B5-S003	f83r	2f1c5e56e8f0ff459065 dcda95c81a5460feb191	S1_BARE_MASTER:aiin cheol | S2_Q_CELL_SCRIBE:aiin cheol | S3_S_LINE_SCRIBE:aiin sol | S4_MIXED_COMPACT:aiin ol	3	1
E08	AL > OL	am Ziel weiterarbeiten	B1-S002	f81v	dd0ecaf5e27d81befffc dcda95c81a5460feb191	S1_BARE_MASTER:al cheol | S2_Q_CELL_SCRIBE:al cheol | S3_S_LINE_SCRIBE:al cheol | S4_MIXED_COMPACT:al sol	2	1
E09	CHD+Y > OK+EE+CLOSE	umsetzen, länger ansetzen und schließen	B3-S007	f83r	6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	S1_BARE_MASTER:chdy qokeedy | S2_Q_CELL_SCRIBE:chdy qokeedy | S3_S_LINE_SCRIBE:chdy qokeedy | S4_MIXED_COMPACT:chdy qokeedy	1	1
E10	OK+EE+Y > OK+E+CLOSE	länger halten, kurz nachsetzen und schließen	B3-S028	f83r	0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	S1_BARE_MASTER:okeey qokedy | S2_Q_CELL_SCRIBE:qokeey qokedy | S3_S_LINE_SCRIBE:okeey qokedy | S4_MIXED_COMPACT:qokeey qokedy	2	1
E11	OK+EE+Y > OK+Y	den länger gehaltenen Posten weiter ansetzen	B2-S010	f82r	0275fbf14e07935b0a45 276a7c2d74d1143446f4	S1_BARE_MASTER:okeey choky | S2_Q_CELL_SCRIBE:qokeey choky | S3_S_LINE_SCRIBE:okeey choky | S4_MIXED_COMPACT:qokeey oky	3	1
E12	OK+Y > AIIN	den aktuellen Posten auf Sollmaß setzen	H1-S001	f10r	276a7c2d74d1143446f4 2f1c5e56e8f0ff459065	S1_BARE_MASTER:choky aiin | S2_Q_CELL_SCRIBE:choky aiin | S3_S_LINE_SCRIBE:choky aiin | S4_MIXED_COMPACT:oky saiin	2	1
E13	OL > AIIN	fortsetzen und auf Sollmaß stellen	H2-S002	f10r	dcda95c81a5460feb191 2f1c5e56e8f0ff459065	S1_BARE_MASTER:cheol aiin | S2_Q_CELL_SCRIBE:cheol aiin | S3_S_LINE_SCRIBE:cheol saiin | S4_MIXED_COMPACT:ol aiin	3	1
E14	OL+AIN > AL	die nächste Portion zum Ziel bringen	B1-S002	f81v	94df4847b7b16c98394a dd0ecaf5e27d81befffc	S1_BARE_MASTER:olkain al | S2_Q_CELL_SCRIBE:olkain al | S3_S_LINE_SCRIBE:olkain al | S4_MIXED_COMPACT:olkain al	1	1
E15	OL+OR > OL	den Fortsetzungsansatz weiterführen	H2-S002	f10r	dec401773c1f0347793d dcda95c81a5460feb191	S1_BARE_MASTER:cholor cheol | S2_Q_CELL_SCRIBE:cholor cheol | S3_S_LINE_SCRIBE:cholor cheol | S4_MIXED_COMPACT:olor ol	2	1
E16	OT+OL > OL	danach im selben Gang weiter	H1-S002	f10r	e8a6105b5c3a6220b440 dcda95c81a5460feb191	S1_BARE_MASTER:qotchol cheol | S2_Q_CELL_SCRIBE:qotchol cheol | S3_S_LINE_SCRIBE:qotchol cheol | S4_MIXED_COMPACT:qotchol ol	2	1
E17	Y > AL	den aktuellen Posten zum Ziel bringen	B3-S021	f83r	b921a237be883a820352 dd0ecaf5e27d81befffc	S1_BARE_MASTER:chey al | S2_Q_CELL_SCRIBE:chey al | S3_S_LINE_SCRIBE:chey al | S4_MIXED_COMPACT:y sal	2	1
